ID,CMMC Practice
NSA-BANNR-001,AC.2.005
NSA-BANNR-002,AC.2.005
NSA-BANNR-003,AC.2.005
NSA-BANNR-004,AC.2.005
NSA-AUTH-010,AC.2.009
NSA-FLTR-004,AC.2.016
NSA-FLTR-005,AC.2.016
NSA-FLTR-006,AC.2.016
NSA-FLTR-007,AC.2.016
NSA-FLTR-008,AC.2.016
NSA-FLTR-009,AC.2.016
NSA-FLTR-012,AC.2.016
NSA-FLTR-013,AC.2.016
NSA-FLTR-020,AC.2.016
NSA-INTFC-005,AC.3.012
NSA-INTFC-006,AC.3.012
NSA-INTFC-007,AC.3.012
NSA-INTFC-008,AC.3.012
NSA-INTFC-009,AC.3.012
NSA-ADMIN-006,AC.3.014
NSA-ADMIN-011,AC.3.014
NSA-ADMIN-019,AC.3.014
NSA-ADMIN-026,AC.3.014
NSA-ADMIN-033,AC.3.014
NSA-ADMIN-003,AC.3.019
NSA-ADMIN-004,AC.3.019
NSA-ADMIN-008,AC.3.019
NSA-ADMIN-009,AC.3.019
NSA-ADMIN-013,AC.3.019
NSA-ADMIN-014,AC.3.019
NSA-ADMIN-017,AC.3.019
NSA-ADMIN-018,AC.3.019
NSA-ADMIN-021,AC.3.019
NSA-ADMIN-022,AC.3.019
NSA-ADMIN-027,AC.3.019
NSA-ADMIN-028,AC.3.019
NSA-ADMIN-031,AC.3.019
NSA-ADMIN-032,AC.3.019
NSA-ADMIN-038,AC.3.019
NSA-ADMIN-039,AC.3.019
NSA-ADMIN-046,AC.3.019
NSA-FLTR-002,AC.4.023
NSA-FLTR-003,AC.4.023
NSA-FLTR-004,AC.4.023
NSA-FLTR-005,AC.4.023
NSA-FLTR-006,AC.4.023
NSA-FLTR-007,AC.4.023
NSA-FLTR-008,AC.4.023
NSA-FLTR-009,AC.4.023
NSA-FLTR-010,AC.4.023
NSA-FLTR-011,AC.4.023
NSA-FLTR-012,AC.4.023
NSA-FLTR-013,AC.4.023
NSA-FLTR-014,AC.4.023
NSA-FLTR-018,AC.4.023
NSA-FLTR-019,AC.4.023
NSA-FLTR-020,AC.4.023
NSA-LOGG-008,AU.2.041
NSA-TIME-001,AU.2.043
NSA-TIME-002,AU.2.043
NSA-TIME-003,AU.2.043
NSA-TIME-004,AU.2.043
NSA-TIME-005,AU.2.043
NSA-TIME-006,AU.2.043
NSA-TIME-007,AU.2.043
NSA-TIME-008,AU.2.043
NSA-TIME-009,AU.2.043
NSA-TIME-010,AU.2.043
NSA-TIME-011,AU.2.043
NSA-LOGG-005,AU.3.048
NSA-LOGG-002,AU.5.055
NSA-LOGG-003,AU.5.055
NSA-LOGG-004,AU.5.055
NSA-LOGG-005,AU.5.055
NSA-LOGG-006,AU.5.055
NSA-ADMIN-001,CM.2.062
NSA-ADMIN-002,CM.2.062
NSA-ADMIN-005,CM.2.062
