ID,Title,NIST SP 800-171
NSA-ADMIN-001,AUX Port Not Disabled,3.4.2
NSA-ADMIN-002,The BOOTP Service Was Not Disabled,3.4.6 & 3.4.7
NSA-ADMIN-003,Devices with no console timeouts,3.13.9
NSA-ADMIN-004,Long Console Connection Timeout,3.13.9
NSA-ADMIN-005,The Finger Service Was Enabled,3.4.6 & 3.4.7
NSA-ADMIN-006,The FTP Service Was Enabled,3.4.6 & 3.4.7
NSA-ADMIN-007,No FTP Service Network Access Restrictions,3.1.5
NSA-ADMIN-007,No FTP Service Network Access Restrictions,3.4.5
NSA-ADMIN-008,No FTP Server Session Timeout,3.13.9
NSA-ADMIN-009,Long FTP server Session Timeout,3.13.9
NSA-ADMIN-010,Weak FTP Service Network Access Restrictions,3.1.5
NSA-ADMIN-010,Weak FTP Service Network Access Restrictions,3.4.5
NSA-ADMIN-011,Clear Text HTTP Service Enabled,3.5.10
NSA-ADMIN-012,No HTTP Service Network Access Restrictions,3.1.5
NSA-ADMIN-012,No HTTP Service Network Access Restrictions,3.4.5
NSA-ADMIN-013,No HTTP Server Session Timeout,3.13.9
NSA-ADMIN-014,Long HTTP server Session Timeout,3.13.9
NSA-ADMIN-015,Weak HTTP Service Network Access Restrictions,3.1.5
NSA-ADMIN-015,Weak HTTP Service Network Access Restrictions,3.4.5
NSA-ADMIN-016,No HTTPS Service Network Access Restrictions,3.1.5
NSA-ADMIN-016,No HTTPS Service Network Access Restrictions,3.4.5
NSA-ADMIN-017,No HTTPS Server Session Timeout,3.13.9
NSA-ADMIN-018,Long HTTPS server Session Timeout,3.13.9
NSA-ADMIN-019,Weak SSL/early TLS Ciphers Supported,3.5.10
NSA-ADMIN-020,Administration Line Without An ACL Configured,3.1.5
NSA-ADMIN-020,Administration Line Without An ACL Configured,3.4.5
NSA-ADMIN-021,No Exec Administrative Line Timeout Configured,3.13.9
NSA-ADMIN-022,Long Exec Administrative Line Timeout Configured,3.13.9
NSA-ADMIN-023,Administrative Line Login With No Password,3.4.2
