ID,Title,Description,CMMC Practice,PCI DSS,NIST SP 800-53
NSA-AUTH-021,TACACS+ Servers Configured With Default Encryption Key,A *ABBREV*TACACS+*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*TACACS+*-ABBREV* server and a access response is returned. A *ABBREV*TACACS+*-ABBREV* encryption key can be configured on both the client and server in order to encrypt and help protect the traffic. Although *ABBREV*TACACS+*-ABBREV* is considerably more secure than *ABBREV*TACACS*-ABBREV* a number of security issues exist with the protocol.,IA.1.077,2.1.a,IA-5(5)
NSA-AUTH-022,TACACS+ Servers Configured With A Dictionary-Based Encryption Key,A *ABBREV*TACACS+*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*TACACS+*-ABBREV* server and a access response is returned. A *ABBREV*TACACS+*-ABBREV* encryption key can be configured on both the client and server in order to encrypt and help protect the traffic. Although *ABBREV*TACACS+*-ABBREV* is considerably more secure than *ABBREV*TACACS*-ABBREV* a number of security issues exist with the protocol.,,,
NSA-AUTH-023,TACACS+ Servers Configured With No Encryption Key,A *ABBREV*TACACS+*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*TACACS+*-ABBREV* server and a access response is returned. A *ABBREV*TACACS+*-ABBREV* encryption key can be configured on both the client and server in order to encrypt and help protect the traffic. Although *ABBREV*TACACS+*-ABBREV* is considerably more secure than *ABBREV*TACACS*-ABBREV* a number of security issues exist with the protocol.,,,
NSA-AUTH-024,TACACS+ Servers Configured With A Weak Encryption Key,A *ABBREV*TACACS+*-ABBREV* server provides *ABBREV*AAA*-ABBREV* services for network connected devices such as switches and routers. Authentication requests are sent to the *ABBREV*TACACS+*-ABBREV* server and a access response is returned. A *ABBREV*TACACS+*-ABBREV* encryption key can be configured on both the client and server in order to encrypt and help protect the traffic. Although *ABBREV*TACACS+*-ABBREV* is considerably more secure than *ABBREV*TACACS*-ABBREV* a number of security issues exist with the protocol.,,,
NSA-AUTH-025,"User Account Names Contained ""admin""","When User Account names contain \""admin\"", a clear indication is given to an attacker or malicious user that the account most likely has higher privilege levels than a standard user.  This allows an attacker to focus their resources in a more direct way, such as targeted phishing attacks or other social engineering techniques.",,,
NSA-AUTH-026,Weak Password Complexity Policy Setting,Password composition policy options are designed to enforce the use of strong password choices by a user. So when a user sets a password it will be compared to the specified criteria and either accepted or rejected. Different manufacturers and devices offer different password complexity options usually including character type analysis.,IA.2.078,,IA-5(1)
NSA-AUTH-027,Weak Lowercase Password Character Policy Setting,"Password composition policy options are designed to enforce the use of strong password choices by a user. So when a user sets a password it will be compared to the specified criteria and either accepted or rejected. When the lower case password character policy setting is enabled, the device will ensure that when a user sets a password that contains lower case characters or it is rejected.",IA.2.078,,IA-5(1)
NSA-AUTH-028,Weak Numbers Password Character Policy Setting,"Password composition policy options are designed to enforce the use of strong password choices by a user. So when a user sets a password it will be compared to the specified criteria and either accepted or rejected. When the numbers password character policy setting is enabled, the device will ensure that when a user sets a password that contains numbers or it is rejected.",IA.2.078,,IA-5(1)
NSA-AUTH-029,Weak Specials Password Character Policy Setting,"Password composition policy options are designed to enforce the use of strong password choices by a user. So when a user sets a password it will be compared to the specified criteria and either accepted or rejected. When the specials password character policy setting is enabled, the device will ensure that when a user sets a password that contains special characters (such as punctuation marks) or it is rejected.",IA.2.078,,IA-5(1)
NSA-AUTH-030,Weak Uppercase Password Character Policy Setting,"Password composition policy options are designed to enforce the use of strong password choices by a user. So when a user sets a password it will be compared to the specified criteria and either accepted or rejected. When the upper case password character policy setting is enabled, the device will ensure that when a user sets a password that contains upper case characters or it is rejected.",IA.2.078,,IA-5(1)
NSA-AUTH-031,Users With A Weak Authentication Password,Access to restricted network user and administration services are typically secured using username and password authentication credentials. The strength of the authentication credentials is even more important if the service allows for devices to be reconfigured or it allows access to potentially sensitive information.,,,IA-5(1)
NSA-BANNR-001,Information Leakage In Banner Message,"Logon banner messages are an important, but often overlooked, part of a secure configuration. Logon banner messages should provide connecting users with important information and warn against unauthorized access.",AC.2.005,,AC-8
NSA-BANNR-002,No Post Logon Banner Message,Post logon banner messages are ones that are shown to users after they have authenticated and prior to being given access to the device.  It is one that is shown to users when they connect to a device and prior to the user logon.,AC.2.005,,AC-8
NSA-BANNR-003,No Warning In Pre-Logon Banner,"Logon banner messages are an important, but often overlooked, part of a secure configuration. Logon banner messages can provide connecting users with important information and warn against unauthorized access.",AC.2.005,,AC-8
NSA-BANNR-004,No Pre-Logon Banner Message,A pre-logon banner message is one that is shown to users when they connect to a device and prior to the user logon,AC.2.005,,AC-8
NSA-CNFG-001,Configuration Auto-Loading Not Disabled,"It is possible to configure some network devices to load their configuration from a configuration file stored on another network device, rather than using a local configuration file.",,,
NSA-CNFG-002,Service Password Encryption Disabled,"Some device passwords, such as user authentication passwords, do not need to be known by the device which can make authentication checks based on the encrypted hash. Other passwords need to be known by the device in order that it can perform specific operations using the clear-text version of the password. The service password encryption option instructs a device to store passwords using Cisco type-7 encryption where it is possible as these can be reversed to their original clear-text form. By default the passwords are otherwise stored in the configuration file in their clear-text form.",IA.2.081,8.2.1.a,IA-5(1)
NSA-DNS-001,DNS Lookups Were Enabled,"Some network devices can be configured to make use of *ABBREV*DNS*-ABBREV* to perform lookups of addresses that have been specified using a *ABBREV*DNS*-ABBREV* name. In addition to being used for connecting to other devices, the *ABBREV*DNS*-ABBREV* lookup functionality could be used for auditing purposes.",,,
NSA-FLTR-001,Devices with filtering allowing by default,"A number of different network scanning, service identification, vulnerability scanning and service related tools can be downloaded from the Internet, or are provided with some operating systems. An unskilled attacker, or malicious user, could use those tools to gain unauthorized access to network services that should have otherwise been filtered.",SC.3.183,1.2.1.c,"CA-3(5)
SC-7(5)"
NSA-FLTR-002,Filter Rules Allowing ICMP Were Configured,"*ABBREV*ICMP*-ABBREV* is an *ABBREV*IP*-ABBREV* protocol that is commonly used by network administrators for network diagnostic purposes. However, *ABBREV*ICMP*-ABBREV* can be used to send a number of different control messages between networked systems, such as destination unreachable, time exceeded, echo request and echo reply (used by the ping utility).","AC.4.023
CM.3.068
RM.4.151",,CM-7(1)
NSA-FLTR-003,Allow Any ICMP Message Type Filter Rules Were Configured,"*ABBREV*ICMP*-ABBREV* is an *ABBREV*IP*-ABBREV* protocol that is commonly used by network administrators for network diagnostic purposes. However, *ABBREV*ICMP*-ABBREV* can be used to send a number of different control messages between networked systems, such as destination unreachable, time exceeded, echo request and echo reply (used by the ping utility). A number of network filtering devices are capable of being configured with rules that allow or drop specific *ABBREV*ICMP*-ABBREV* message types.","AC.4.023
CM.3.068
RM.4.151",,CM-7(1)
NSA-FLTR-004,Filter Rules Allowing All *ABBREV*IPv4*-ABBREV* Protocols Were Configured,"Network filtering rules are typically configured to enable hosts to access a specific network service or services. Therefore a network filter rule which enables access to a secure web service could be configured to access a specific destination host on *ABBREV*TCP*-ABBREV* port 443. However, it is possible to configure the filter rule to allow access using all *ABBREV*IPv4*-ABBREV* protocols which, for the previous example, would enable access to port 443 using *ABBREV*TCP*-ABBREV* and *ABBREV*UDP*-ABBREV*.","AC.4.023
CM.3.068
RM.4.151","1.2.1.b
1.2.1.c","AC-4(1)
CM-7(1)
SC-7(5)"
NSA-FLTR-005,Filter Rules Allowing All IPv6 Protocols Were Configured,"Network filtering rules are typically configured to enable hosts to access a specific network service or services. Therefore a network filter rule which enables access to a secure web service could be configured to access a specific destination host on *ABBREV*TCP*-ABBREV* port 443. However, it is possible to configure the filter rule to allow access using all *ABBREV*IPv6*-ABBREV* protocols which, for the previous example, would enable access to port 443 using *ABBREV*TCP*-ABBREV* and *ABBREV*UDP*-ABBREV*.","AC.4.023
CM.3.068
RM.4.151","1.2.1.b
1.2.1.c","AC-4(1)
CM-7(1)
SC-7(5)"
NSA-FLTR-006,Filter Rules That Allow Any Protocol Were Configured,"Network filtering rules are typically configured to enable hosts to access a specific network service or services. Therefore a network filter rule which enables access to a secure web service could be configured to access a specific destination host on *ABBREV*TCP*-ABBREV* port 443. However, it is also possible to configure the filter rule to allow access using any protocol which, for the previous example, would enable access to port 443 using both *ABBREV*TCP*-ABBREV* and *ABBREV*UDP*-ABBREV*.","AC.4.023
CM.3.068
RM.4.151","1.2.1.b
1.2.1.c","AC-4(1)
CM-7(1)"
NSA-FLTR-007,Rules Allow Access To Administrative Services,"Administrative network services are essential to enable network administrators to remotely configure, update, modify and monitor the systems. Typically these services fall in to two groups","AC.4.023
RM.4.151",1.2.1.b,"AC-4(1)
AC-6(1)"
NSA-FLTR-008,Rules Allow Access To Clear-Text Protocol Services,"Clear-text protocol services are those network services that provide no encryption of the network traffic between the service and a connected client. Whilst some clear-text protocol services are relatively simple and be of little of interest to an attacker, others may be used for the remote administration of the device and transfer their authentication credentials with no encryption.","AC.4.023
RM.4.151",1.2.1.b,AC-4(1)
NSA-FLTR-009,Black list rules violated by the following rules,The Host and Service Black List specifies traffic that should not be allowed through the network device.  Entries in this black list might typically be internal resources containing highly sensitive or confidential information or external resources that may pose a threat to the network.,"AC.4.023
CM.3.068
RM.4.151",1.2.1.b,"AC-4(1)
CM-7(1)
SC-7(11)
SC-7(21)"
NSA-FLTR-010,Rules Allow Access To Potentially Sensitive Services,"Whilst not strictly administrative services, a number of network services can be classified as potentially sensitive due to their nature. These network services could be database services that enable applications to connect to and query data, authentication services or Microsoft Windows file sharing services.","AC.4.023
RM.4.151",1.2.1.b,SC-7(21)
NSA-FLTR-011,Rules Allow Access To Potentially Unnecessary Services,Description number of different network services provide little to no functionality and are installed by default on some operating systems. Examples of these services are:,"AC.4.023
CM.3.068
RM.4.151",1.2.1.b,CM-7(1)
NSA-FLTR-012,Bypass Action Filter Rules Were Configured,"A number of different network filtering devices are capable of providing several independent layers of filtering. For example, application switches such as Cisco Content Service Switches can apply both network filtering and content rules to the network traffic. In addition to the allow and drop actions that can be applied to network filter rules, a bypass action can also be configured. The bypass action forwards the network traffic to the destination bypassing any further filtering.","AC.4.023
RM.4.151",1.2.1.c,AC-4(1)
NSA-FLTR-013,Default Action Filter Rules Were Configured,Some network devices allow the configuration of actions on individual network ports in addition to the configuration of standard network filter rules. A filter rule can be configured to accept the default action of the individual network ports which can then be configured to allow or deny.,"AC.4.023
RM.4.151",1.2.1.c,AC-4(1)
NSA-FLTR-014,Network Filtering Was Not Enabled,"Network filtering is configured to restricting access to network services from only those hosts that require the access, helping to prevent unauthorized access. When configured, network filter rules are processed sequentially and the first rule in the filter rule list which matches the network packet is applied.","AC.4.023
RM.4.151",,CA-3(5)
NSA-FLTR-015,Filter Allow Rules Were Configured Without Logging,"Network filter rules can be configured to log an access attempt when network traffic matches a specific filter rule. The network filter rule logging facility helps network administrators to diagnose issues, determine a rules usage and provide an audit trail for network traffic accessing specific hosts and services.",,,
NSA-FLTR-016,Filter Drop Rules Were Configured Without Logging,"Network filter rules can be configured to log an access attempt when network traffic matches a specific filter rule. The network filter rule logging facility helps network administrators to diagnose issues, determine a rules usage and provide an audit trail for network traffic accessing specific hosts and services.",,,
NSA-FLTR-017,Filter Rule List Does Not End With Drop All And Log,"Network devices that are capable of performing network filtering will usually drop all network traffic when it does not match any of the configured network filter rules. However, this network traffic is also usually excluded from logging when a network filter rule does not apply.",SC.3.183,1.2.1.c,"CA-3(5)
SC-7(5)"
NSA-FLTR-018,No Network Filtering Rules Were Configured,"Network filtering can be configured to restrict access to network services from only those hosts that require the access, helping to prevent unauthorized access. When configured, network filter rules are processed sequentially and the first rule in the filter rule list which matches the network packet is applied.",AC.4.023,,
NSA-FLTR-019,Reject Action Filter Rules Were Configured,"Network filtering rules can typically be configured to perform a variety of different actions depending on the features offered by the filtering device. Common actions that can be performed when a filter rule matches the network traffic are to allow, drop or reject the network traffic. The drop and reject actions, although both disallow the traffic, differ in how the device handles the action. The drop action will simply block the network traffic and do nothing else, but when the network traffic is rejected an *ABBREV*ICMP*-ABBREV* unreachable message is sent to the sender to notify them that the traffic was blocked.",AC.4.023,,SC-7(23)
NSA-FLTR-020,Filter Rules Allow Packets,"Network filtering rules can be configured on a wide range of network devices to restrict access, helping to prevent unauthorized access to network hosts and services. The filtering rules are processed sequentially when they are applied to network packets, with the first rule that matches the network packet being applied.",AC.4.023,,AC-4(1)
NSA-FLTR-021,Filter Rules Were Configured With No Time Restrictions,"Some network services may only require access on specific days of the week or at a specific time during the day. For example, sensitive user resources may only need to be accessed during office hours or financial systems may only perform their transactions at a specific time of the day. In those situations access to those specific network services should only occur during set times.",,,
NSA-FLTR-022,Filter Allow Rules Were Configured Without All UTM Features,"Unified Threat Management (UTM) features can be configured for network filter allow rules. UTM features can include technologies such as virus scanning, and website blacklists, and may provide an extra level of security to the network.  The technologies provided are dependent on the model and manufacturer of the network device.",,,
NSA-IDS-001,Log Attacks Instead Of Blocking Option Enabled,"Many network devices are capable of detecting and preventing different types of network attacks, malformed network packets, computer viruses, worms and much more. Some of those network devices can also be configured to allow those attacks through even if they are detected with their only action performed by the device is to log the activity. If the device is part of a honeypot, whereby an attackers network traffic needs to be allowed to pass through in order to record their activity, then allowing network attacks rather than blocking them would most likely be a requirement.",,,
NSA-IDS-002,Code Red Worm Blocking Was Disabled,"The Code Red worm is designed to exploit a vulnerability in Microsoft *ABBREV*IIS*-ABBREV* 4 and 5 with Index Server 2.0, which was fixed in the MS01-033 patch. It exploits a buffer overflow vulnerability in the Index Service that it accesses using a large web request. Although the vulnerability has long since been resolved, many network filtering devices are capable of detecting and blocking Code Red attacks helping to prevent the worm from spreading.",,,
NSA-IDS-003,ICMP Flood Attacks Blocking Was Disabled,"*ABBREV*ICMP*-ABBREV* (described in *RFC*792*-RFC*) is primarily used for sending error messages, management and diagnostic purposes. For example when a network packets *ABBREV*TTL*-ABBREV* has been exceeded an *ABBREV*ICMP*-ABBREV* *ABBREV*TTL*-ABBREV* exceeded message will be returned by the terminating routing device. Similarly other messages include destination host is unreachable and destination port unreachable.",,,SC-5(3)
NSA-IDS-004,ICMP Fragmentation Attack Blocking Was Disabled,"*ABBREV*ICMP*-ABBREV* packets are capable of being fragmented. However, due to the nature of the *ABBREV*ICMP*-ABBREV* protocol, the packets should contain only a very short message. Therefore there is no likely legitimate reason why an *ABBREV*ICMP*-ABBREV* packet would become large enough for fragmentation to occur. *ABBREV*IPS*-ABBREV* and network filtering devices will often include options to monitor, detect and prevent potential issues or unusual activity with protocols such as *ABBREV*ICMP*-ABBREV*.",,,
NSA-IDS-005,ICMP Large Frame Blocking Was Disabled,"*ABBREV*ICMP*-ABBREV* (described in *RFC*792*-RFC*) is primarily used for sending error messages, management and diagnostic purposes. For example when a network packets *ABBREV*TTL*-ABBREV* has been exceeded an *ABBREV*ICMP*-ABBREV* *ABBREV*TTL*-ABBREV* exceeded message will be returned by the terminating routing device. Similarly other messages include destination host is unreachable and destination port unreachable.",,,
NSA-IDS-006,Illegal TCP FIN Flag With No ACK Blocking Was Disabled,"*ABBREV*TCP*-ABBREV* is a connection orientated protocol which is described in *RFC*793*-RFC*. The *ABBREV*TCP*-ABBREV* packet headers include a number of different structures, including a series of flags that can be set individually or combined. These flags are used to indicate different states and actions, such as initiating or closing a connection. However, some combinations of the flags, or the order in which they are expected, are considered abnormal.",,,
NSA-IDS-007,Block IP Packets With Bad Options Was Disabled,"The *ABBREV*IP*-ABBREV* standard (described in *RFC*791*-RFC* for version 4) allows for a number of options to be set which can add additional functionality that may be used by a network device. For example, *ABBREV*IP*-ABBREV* packets can contain options such as record route, time stamp, no operation and loose source route",,,
NSA-IDS-008,IP Packet Fragmentation Attack Blocking Was Disabled,"*ABBREV*IP*-ABBREV* network packets can traverse many different network segments when network traffic is routed between communicating network devices. These network segments can be configured with different *ABBREV*MTU*-ABBREV*, which specifies the maximum size of a network packet for a particular network segment. When the *ABBREV*MTU*-ABBREV* for a network segment is less than the packet size, the *ABBREV*IP*-ABBREV* standard allows for a packet to be broken up into smaller parts, this is known as fragmentation. A number of vulnerabilities have been identified around the implementation of packet fragmentation handling on various systems, therefore some *ABBREV*IPS*-ABBREV* systems include an option to block fragmented *ABBREV*IP*-ABBREV* packets.",,,
NSA-IDS-009,Block IP Packets With Source Route Was Disabled,"*ABBREV*TCP*-ABBREV*/*ABBREV*IP*-ABBREV* packets can contain source route information, this can enable a packet to define its own route through a network rather than using a route defined by static routes or routing protocols. The source route option functionality was defined in *RFC*791*-RFC*.",,,
NSA-IDS-010,Block IP Spoofing Attacks Was Disabled,"To help prevent *ABBREV*IP*-ABBREV* spoofing attacks you would typically configure network filtering rules to perform sanity checks on network traffic and ensure that traffic being routed through the network originates from a valid *ABBREV*IP*-ABBREV* address. These checks were typically configured to ensure the traffic from an *ABBREV*IP*-ABBREV* address on an internal interface is not allowed in from an outside interface. However, new networks could be created or removed which adds to the maintenance of the anti-spoofing rules on a device. Also, the greater the number of network filtering rules configured on a device the greater the impact on a device's performance.",,,
NSA-IDS-011,IP Attack Blocking Was Disabled,"Typically prior to an attacker attempting the exploit any network vulnerabilities they will perform information gathering, identifying potential target systems. An attacker could use a *ABBREV*IP*-ABBREV* ping sweep attack in order to enumerate the live hosts on a network segment. A ping sweep attack occurs when an attacker sends *ABBREV*ICMP*-ABBREV* echo requests to multiple target addresses and if a network host responds to the request then the attacker knows that a potential target exists at the specific *ABBREV*IP*-ABBREV* address.",,,
NSA-IDS-012,Block LAND Attacks Option Was Disabled,"A *ABBREV*LAND*-ABBREV* attack is one where an attacker sends a network packet with the SYN flag set to an open port with the source address and destination addresses being spoofed as the target. The SYN flag is used for initiating a connection and therefore this attack will have the effect of the device responding to itself, potentially causing a *ABBREV*DoS*-ABBREV* condition.",,,
NSA-IDS-013,Limit Concurrent Sessions Option Was Disabled,"Network connections to any device service will consume system resources such as memory, processing time and network bandwidth. A typical *ABBREV*DoS*-ABBREV* attack would attempt to make a system excessively consume those resources or otherwise become non-responsive. This could be achieved by sending malicious code to exploit a vulnerability or by simply flooding the device with requests such as opening new connections to the device without closing the old ones.",,,
NSA-IDS-014,Log Loose IP Source Route Packets Was Disabled,"*ABBREV*TCP*-ABBREV*/*ABBREV*IP*-ABBREV* packets can contain loose source route information. Loose *ABBREV*IP*-ABBREV* source route information can specify a partial route for a network packet to take. If the loose source route information is used, a packet will be routed through each address specified in the order specified. Additional routers may be used before, after and between the routers specified. The loose source route option is defined in *RFC*791*-RFC*.",,,
NSA-IDS-015,Log Packets With IP Record Route Was Disabled,"*ABBREV*IP*-ABBREV* packets can be configured with a record route option. When enabled, the *ABBREV*IP*-ABBREV* addresses of a device used to route the packets are added to the network packet. The record route option is defined in *RFC*791*-RFC*.",,,
NSA-IDS-016,Log IP Security Option Packets Was Disabled,The *ABBREV*IP*-ABBREV* standard allows for a number of different options to be set. The security option enables *ABBREV*IP*-ABBREV* network packets to be security marked with a classification level and is described in greater detail in *RFC*1038*-RFC*.,,,
NSA-IDS-017,Log IP Stream ID Option Packets Was Disabled,The *ABBREV*IP*-ABBREV* standard allows for a number of different options to be set. The stream ID option is used to specify a stream identifier and is defined in *RFC*791*-RFC*,,,
NSA-IDS-018,Log IP Time Stamp Option Packets Was Disabled,"*ABBREV*IP*-ABBREV* packets can contain a time stamp data area, as described in *RFC*791*-RFC* with option 4. When used, the originating host sends an *ABBREV*IP*-ABBREV* packet with enough space for the storage of the time stamp data. When forwarding the packet between devices, the routers time stamp is then appended to the field. Some network devices can be configured to log packets that have certain options configured, such as the time stamp option.",,,
NSA-IDS-019,Log Strict IP Source Route Option Packets Was Disabled,The strict source and record route option is used to provide route information to be used when a routing device forwards traffic and to record the route information. The option informs the routing device that it must use the address specified to send the packet either to its destination or another routing device. The strict *ABBREV*IP*-ABBREV* source route option is described in greater detail in *RFC*791*-RFC*.,,,
NSA-IDS-020,Ping Of Death Blocking Was Disabled,"Ping of death attacks exploit a vulnerability in systems that are unable to handle unusually large *ABBREV*ICMP*-ABBREV* echo requests. When the request is received by a vulnerable system that is unable to handle the large *ABBREV*ICMP*-ABBREV* packet, the common result is that the system crashes causing a *ABBREV*DoS*-ABBREV*. Some filtering devices can be configured to block ping of death attacks, helping to prevent vulnerable systems from being exploited.",,,SC-5(3)
NSA-IDS-021,Port Scan Blocking Was Disabled,"An attacker will typically perform network reconnaissance in order to identify potential target devices and services. In order to perform this analysis an attacker could to make use of port scanning tools. Port scanners will send out a series of network packets to the hosts and network ports specified, and often include a variety of features to define the types of network packets sent. In order to help detect when an attacker is trying to identify network services, some network devices can perform an analysis of the network traffic passing through the device in order to identify port scanning.",,,
NSA-IDS-022,SYN ACK ACK Attack Blocking Was Disabled,"During the creation of a *ABBREV*TCP*-ABBREV* connection, a standard sequence of communications occurs between the source and the destination hosts.",,,
NSA-IDS-023,SYN Flood Attack Blocking Was Disabled,"During the creation of a *ABBREV*TCP*-ABBREV* connection, a standard sequence of communications occurs between the source and the destination hosts.",,,
NSA-IDS-024,SYN Fragmentation Attack Blocking Was Disabled,"During the creation of a *ABBREV*TCP*-ABBREV* connection, a standard sequence of communications occurs between the source and the destination hosts.",,,
NSA-IDS-025,Teardrop Attack Blocking Was Disabled,"Network communications can be broken down into smaller network packets which are then are reassembled by the receiving host. Those smaller packets are known as fragments and they can be generated by a routing device between the sending and receiving hosts if a network segment requires smaller packet sizes. A Teardrop attack occurs when fragments are sent that overlap, causing issues for the receiving device when the network packets are reconstructed from their fragments, usually resulting in a *ABBREV*DoS*-ABBREV* condition. To help prevent this kind of attack the network packets sent between hosts can be monitored and the attack blocked once identified.",,,
NSA-IDS-026,Unicast RPF Verification Was Disabled,"To help prevent *ABBREV*IP*-ABBREV* spoofing attacks, you would typically configure network filtering rules to perform sanity checks on network traffic and ensure that traffic being routed through the network originates from a valid *ABBREV*IP*-ABBREV* address. These checks were typically configured to ensure the traffic from an *ABBREV*IP*-ABBREV* address on an internal interface was not allowed in from an outside interface. However, new networks could be created or removed, which adds to the maintenance of the anti-spoofing rules on a device. Also, the greater the number of network filtering rules configured on a device, the greater the impact on a device's performance.",,,
NSA-IDS-027,Flood Guard Disabled,The flood guard feature enables supporting devices to reclaim system resources when the resources available to the user authentication subsystem becomes exhausted,,,
NSA-IDS-028,Block HTTP Containing ActiveX Controls Was Disabled,"Many filtering devices have the facility to monitor different network protocols, identify any potential issues and block the content. One of those options is to detect the transfer of ActiveX applications within web content. ActiveX software components provide Windows binary application components that can be used to provide functionality within Windows applications.",,,
NSA-IDS-029,Block HTTP Containing Active Content Was Disabled,"Many filtering devices have the facility to monitor different network protocols, identify any potential issues and block the content. One of those options is to detect and block the transfer of active content, such as Java or ActiveX components, within web content. Active content is often used to provide a more dynamic web experience with client side applications being delivered and executed.",,,
NSA-IDS-030,Block HTTP Containing Java Was Disabled,"Many filtering devices have the facility to monitor different network protocols, identify any potential issues and block the content. One of those options is to detect the transfer of Java applets within web content. Java applets can be integrated in a web site and delivered to the user over *ABBREV*HTTP*-ABBREV* when the a accesses the site. Then once on the user's computer the applet would typically be executed using a Java run time environment.",,,
NSA-IDS-031,Block HTTP Containing Executable Files Was Disabled,"Many filtering devices have the facility to monitor different network protocols, identify any potential issues and block the content. One of those options is to detect the transfer of executable files within web content. Executable files could be present within web content in order to provide a distribution mechanism for software or updates as well as providing client side applications for web sites.",,,
NSA-IDS-032,Block HTTP Containing ZIP Archives Was Disabled,"Many filtering devices have the facility to monitor different network protocols, identify any potential issues and block the content. One of those options is to detect the transfer of ZIP archive files within web content. ZIP archives are often used to transfer compressed collections of files over the Internet, including program files.",,,
NSA-INTFC-001,Interfaces Were Configured With No Filtering,Network filtering rule lists can be assigned to individual network interfaces to provide filtering of network traffic.,,,
NSA-INTFC-002,Potentially Unused Network Interfaces,Many devices enable the activation and deactivation of individual network interfaces. This allows for any unused network interfaces to be disabled. It is generally considered good security practice to disable unused network interfaces to help prevent unauthorized access to the device and network.,,,
NSA-INTFC-003,Switch Port Security Disabled,"Switch port security is used to monitor and restrict the number of network devices that can be connected to a single switch port. The switch does this by monitoring the *ABBREV*MAC*-ABBREV* addresses that originate from the switch port. The *ABBREV*MAC*-ABBREV* addresses can either be specified for a particular switch port or they can be dynamically learned in order to significantly reduce the administrative overhead. When the number of permitted number of *ABBREV*MAC*-ABBREV* addresses connected to a single switch port is exceeded then a number of different actions can be performed, such as disabling the switch port.",,,
NSA-INTFC-004,Switch Port Trunking Allows All VLANs,"*ABBREV*VLAN*-ABBREV* network packets can be sent between networked devices, extending a *ABBREV*VLAN*-ABBREV* across different physical devices. In order to extend a *ABBREV*VLAN*-ABBREV* to a different physical device a trunk has to be created between the devices. In order to restrict *ABBREV*VLAN*-ABBREV* access over different physical devices the *ABBREV*VLAN*-ABBREV* trunk can be configured to only permit specific *ABBREV*VLAN*-ABBREV*s.",,,
NSA-INTFC-005,Default SSID Wireless Authentication Key,"Wireless networks are useful for enabling enabling network connectivity where users can roam, where it is not possible to use cables or where guest network services are required. Wireless networks by their nature transmit network traffic that could be monitored by other users. Therefore wireless networking includes a number of different security controls that encrypt network traffic to help prevent a malicious user from reading sensitive information and wireless networks can include authentication to help prevent unauthorized access.",,,AC-18(1)
NSA-INTFC-006,Dictionary-Based Wireless SSID Authentication Keys,"Wireless networks are useful for enabling enabling network connectivity where users can roam, where it is not possible to use cables or where guest network services are required. Wireless networks by their nature transmit network traffic that could be monitored by other users. Therefore wireless networking includes a number of different security controls that encrypt network traffic to help prevent a malicious user from reading sensitive information and wireless networks can include authentication to help prevent unauthorized access.",,,AC-18(1)
NSA-INTFC-007,No Wireless Authentication Configured,"Wireless networks are useful for enabling enabling network connectivity where users can roam, where it is not possible to use cables or where guest network services are required. Wireless networks by their nature transmit network traffic that could be monitored by other users. Therefore wireless networking includes a number of different security controls that encrypt network traffic to help prevent a malicious user from reading sensitive information and wireless networks can include authentication to help prevent unauthorized access.",,,AC-18(1)
NSA-INTFC-008,Weak Wireless SSID Authentication Keys Were Configured,"Wireless networks are useful for enabling network connectivity where users can roam, where it is not possible to use cables or where guest network services are required. Wireless networks by their nature transmit network traffic that could be monitored by other users. Therefore wireless networking includes a number of different security controls that encrypt network traffic to help prevent a malicious user from reading sensitive information and wireless networks can include authentication to help prevent unauthorized access.",,,AC-18(1)
NSA-INTFC-009,Weak Wireless Encryption Configured,"Wireless networks are useful for enabling enabling network connectivity where users can roam, where it is not possible to use cables or where guest network services are required. Wireless networks by their nature transmit network traffic that could be monitored by other users. Therefore wireless networking includes a number of different security controls that encrypt network traffic to help prevent a malicious user from reading sensitive information and wireless networks can include authentication to help prevent unauthorized access.",,,AC-18(1)
NSA-LOGG-001,FortiAnalyzer Logging Configured With No Encryption,"FortiAnalyzer logging provides a vendor specific protocol for logging messages to remote devices, enabling the collection, storage and administration of logs from devices in a single location. The storage of logs on other systems, not only provides extra storage space for logs which could be size restricted on the original network device, but it also provides an extra level of protection for the logs in a scenario where an attacker has compromised the security of the message source. To enhance the confidentiality of the FortiAnalyzer messages the connection between the sending device and FortiAnalyzer system can be encrypted via an *ABBREV*IPSec*-ABBREV* *ABBREV*VPN*-ABBREV* tunnel.",,,
NSA-LOGG-002,Message Logging Not Enabled,"With no logging of system messages a network administrator may not be alerted to an intrusion attempt by an attacker. Furthermore, the lack of comprehensive message logs could significantly hinder a forensic investigation and establish what an attacker had achieved. Additionally, without logging, notifications of possible issues with a device that would have been useful for diagnostic purposes would not be recorded.",AU.5.055,"10.2.2
10.2.4","AU-3(2)
AU-4
AU-12(1)"
