ID,PCI DSS
NSA-ADMIN-001,2.2.a
NSA-ADMIN-002,1.1.6.c
NSA-ADMIN-003,2.2.a
NSA-ADMIN-004,2.2.a
NSA-ADMIN-005,1.1.6.c
NSA-ADMIN-006,1.1.6.c
NSA-ADMIN-007,1.1.6.c
NSA-ADMIN-008,8.1.8
NSA-ADMIN-009,8.1.8
NSA-ADMIN-010,1.1.6.c
NSA-ADMIN-011,2.3.b
NSA-ADMIN-012,1.1.6.c
NSA-ADMIN-013,8.1.8
NSA-ADMIN-014,8.1.8
NSA-ADMIN-015,1.1.6.c
NSA-ADMIN-016,2.2.a
NSA-ADMIN-017,8.1.8
NSA-ADMIN-018,8.1.8
NSA-ADMIN-019,2.2.2.b
NSA-ADMIN-020,2.2.a
NSA-ADMIN-021,8.1.8
NSA-ADMIN-022,8.1.8
NSA-ADMIN-023,2.2.a
NSA-ADMIN-024,2.2.a
NSA-ADMIN-025,2.2.a
NSA-ADMIN-026,1.1.6.c
NSA-ADMIN-027,8.1.8
NSA-ADMIN-028,8.1.8
NSA-ADMIN-029,2.2.a
NSA-ADMIN-030,2.2.a
NSA-ADMIN-031,8.1.8
NSA-ADMIN-032,8.1.8
NSA-ADMIN-033,1.1.6.c
NSA-ADMIN-034,2.2.a
NSA-ADMIN-035,1.1.6.c
NSA-ADMIN-036,2.3.b
NSA-ADMIN-037,1.1.6.c
NSA-ADMIN-038,8.1.8
NSA-ADMIN-039,8.1.8
NSA-ADMIN-040,2.2.a
NSA-ADMIN-041,1.1.6.c
NSA-ADMIN-042,1.1.6.c
NSA-ADMIN-043,1.1.6.c
NSA-ADMIN-044,1.1.6.c
NSA-ADMIN-045,1.1.6.c
NSA-ADMIN-046,8.1.8
NSA-AUTH-001,8.2.1.a
NSA-AUTH-002,8.2.1.a
NSA-AUTH-003,8.2.1.a
NSA-AUTH-004,2.1.a
NSA-AUTH-005,2.2.a
NSA-AUTH-006,2.2.a
NSA-AUTH-007,2.1.a
NSA-AUTH-008,2.2.a
NSA-AUTH-009,2.2.a
NSA-AUTH-010,8.1.6.a
NSA-AUTH-011,2.2.a
NSA-AUTH-012,2.2.a
NSA-AUTH-013,2.1.a
NSA-AUTH-014,2.2.a
NSA-AUTH-015,2.2.a
NSA-AUTH-016,2.2.a
NSA-AUTH-017,2.2.a
NSA-AUTH-018,2.2.a
NSA-AUTH-019,2.2.a
NSA-AUTH-020,2.2.a
NSA-AUTH-021,2.1.a
NSA-AUTH-022,2.2.a
NSA-AUTH-023,2.2.a
NSA-AUTH-024,2.2.a
NSA-AUTH-025,2.2.a
NSA-AUTH-026,2.2.a
NSA-AUTH-027,2.2.a
NSA-AUTH-028,2.2.a
NSA-AUTH-029,2.2.a
NSA-AUTH-030,2.2.a
NSA-AUTH-031,2.2.a
NSA-BANNR-001,2.2.a
NSA-BANNR-002,2.2.a
NSA-BANNR-003,2.2.a
NSA-BANNR-004,2.2.a
NSA-CNFG-001,2.2.a
NSA-CNFG-002,8.2.1.a
NSA-DNS-001,2.2.a
NSA-FLTR-001,1.2.1.c
NSA-FLTR-002,2.2.a
NSA-FLTR-003,2.2.a
NSA-FLTR-004,1.2.1.b
NSA-FLTR-004,1.3.1
NSA-FLTR-004,1.3.4
NSA-FLTR-005,1.2.1.b
NSA-FLTR-005,1.3.1
NSA-FLTR-005,1.3.4
NSA-FLTR-006,1.2.1.b
NSA-FLTR-006,1.3.1
NSA-FLTR-006,1.3.4
NSA-FLTR-007,1.2.1.b
NSA-FLTR-007,1.3.1
NSA-FLTR-007,1.3.4
NSA-FLTR-008,1.2.1.b
NSA-FLTR-008,1.3.1
NSA-FLTR-008,1.3.4
NSA-FLTR-009,1.2.1.b
NSA-FLTR-009,1.3.1
NSA-FLTR-009,1.3.2
NSA-FLTR-009,1.3.4
