value,label
tc_add_indicator_workflow.py,"Add Indicator (workflow)"
tc_clear.py,"Clear Collections"
tc_db_stats.py,"DB Stats"
tc_demo_data.py,"Demo Data"
tc_download_groups.py,"Download Groups"
tc_download_indicators.py,"Download Indicators"
tc_download_owners.py,"Download Owners"
tc_download_playbooks.py,"Download Playbooks"
tc_download_tags.py,"Download Tags"
tc_labels_manager.py,"Label Manager"
tc_launch_playbook.py,"Launch Playbooks"
tc_ks_logger.py,"Logger"
tc_migration.py,"Migration"
tc_playbook_workflow_action.py,"Playbook Workflow Action"
tc_report_false_positive.py,"Report False Positive"
tc_report_observations.py,"Report Observations"
tc_search_custom.py,"Search Custom"
tc_search_datamodel.py,"Search Datamodel"
tc_stats.py,"Stats"
