id,field_name,field_label,field_type,list_field,object_field,field_splunk
1,reserved,reserved,text,FALSE,FALSE,
2,agentHostName,Agent Hostname,text,FALSE,FALSE,
3,agentId,Agent ID,text,FALSE,FALSE,
4,agentMacAddress,Agent MAC Address,text,FALSE,FALSE,
5,agentReceiptTime,Agent Receipt Time,datetime,FALSE,FALSE,
6,agentSeverity,Agent Severity,text,FALSE,FALSE,
7,agentTimeZone,Agent Timezone,text,FALSE,FALSE,
8,agentType,Agent Type,text,FALSE,FALSE,
9,agentVersion,Agent Version,text,FALSE,FALSE,
10,agentZoneName,Agent Zone Name,text,FALSE,FALSE,
11,agentZoneURI,Agent Zone URI,text,FALSE,FALSE,
12,applicationProtocol,Application Protocol,text,FALSE,FALSE,
13,baseEventCount,Base Event Count,integer,FALSE,FALSE,count
14,bytesIn,Bytes In,integer,FALSE,FALSE,bytes_in
15,bytesOut,Bytes Out,integer,FALSE,FALSE,bytes_out
9999999,bytes,Bytes,integer,FALSE,FALSE,bytes
16,catdt,catdt,text,FALSE,FALSE,
17,categoryBehavior,Category Behavior,text,FALSE,FALSE,
18,categoryDeviceGroup,Category Device Group,text,FALSE,FALSE,
19,categoryObject,Category Object,text,FALSE,FALSE,
20,categoryOutcome,Category Outcome,text,FALSE,FALSE,
21,categorySignificance,Category Significance,text,FALSE,FALSE,
22,categoryTechnique,Category Technique,text,FALSE,FALSE,
23,customerName,Customer Name,text,FALSE,FALSE,
24,customerURI,Customer URI,text,FALSE,FALSE,
25,destinationAddress,Destination Address,text,FALSE,FALSE,dest_ip
26,destinationDnsDomain,Destination DNS Domain,text,FALSE,FALSE,
27,destinationHostName,Destination Hostname,text,FALSE,FALSE,dest_host
28,destinationMacAddress,Destination Mac Address,text,FALSE,FALSE,dest_mac
29,destinationNtDomain,Destination Active Directory Domain,text,FALSE,FALSE,
30,destinationPort,Destination Port,text,FALSE,FALSE,dest_port
31,destinationProcessName,Destination Process Name,text,FALSE,FALSE,
32,destinationServiceName,Destination Service Name,text,FALSE,FALSE,
33,destinationTranslatedAddress,Destination Translated Address,text,FALSE,FALSE,dest_translated_ip
34,destinationTranslatedPort,Destination Translated Port,text,FALSE,FALSE,dest_translated_port
35,destinationTranslatedZoneName,Destination Translated Zone Name,text,FALSE,FALSE,dest_zone
36,destinationTranslatedZoneURI,Destination Translated Zone URI,text,FALSE,FALSE,
37,destinationUserId,Destination User ID,text,FALSE,FALSE,
38,destinationUserName,Destination Username,text,FALSE,FALSE,
39,destinationZoneName,Destination Zone Name,text,FALSE,FALSE,
40,destinationZoneURI,Destination Zone URI,text,FALSE,FALSE,
41,device,Device,text,FALSE,FALSE,dvc
42,deviceAction,Device Action,text,FALSE,FALSE,
43,deviceAddress,Device Address,text,FALSE,FALSE,dvc_ip
44,deviceCustomNumber1,Device Custom Number 1,text,FALSE,FALSE,
45,deviceCustomNumber1Label,Device Custom Number 1 Label,text,FALSE,FALSE,
46,deviceCustomNumber2,Device Custom Number 2,text,FALSE,FALSE,
47,deviceCustomNumber2Label,Device Custom Number 2 Label,text,FALSE,FALSE,
48,deviceCustomNumber3,Device Custom Number 3,text,FALSE,FALSE,
49,deviceCustomNumber3Label,Device Custom Number 3 Label,text,FALSE,FALSE,
50,deviceCustomString1,Device String 1,text,FALSE,FALSE,
51,deviceCustomString1Label,Device String 1 Label,text,FALSE,FALSE,
52,deviceCustomString2,Device String 2,text,FALSE,FALSE,
53,deviceCustomString2Label,Device String 2 Label,text,FALSE,FALSE,
54,deviceCustomString3,Device String 3,text,FALSE,FALSE,
55,deviceCustomString3Label,Device String 3 Label,text,FALSE,FALSE,
56,deviceCustomString4,Device String 4,text,FALSE,FALSE,
57,deviceCustomString4Label,Device String 4 Label,text,FALSE,FALSE,
58,deviceCustomString5,Device String 5,text,FALSE,FALSE,
59,deviceCustomString5Label,Device String 5 Label,text,FALSE,FALSE,
60,deviceCustomString6,Device String 6,text,FALSE,FALSE,
61,deviceCustomString6Label,Device String 6 Label,text,FALSE,FALSE,
