id,field_name,field_label,field_type,list_field,object_field,field_splunk
1001,emailFrom,From,text,FALSE,FALSE,src_user
1002,emailSender,Sender,text,FALSE,FALSE,src_user
1003,emailTo,To,text,TRUE,FALSE,recipient
1004,emailCC,CC,text,TRUE,FALSE,
1005,emailSubject,Subject,text,FALSE,FALSE,subject
1006,emailDate,RecDate,datetime,FALSE,FALSE,
1007,emailReplyTo,Reply To,text,FALSE,FALSE,
1008,emailHelo,HELO,text,FALSE,FALSE,
1009,emailBoundary,Boundary,text,FALSE,FALSE,
1010,emailMessageId,Message-ID,text,FALSE,FALSE,message_id
1011,emailOriginatingIp,OriginatingIP,text,FALSE,FALSE,orig_src
1012,emailXorginatingIp,XOriginatingIP,text,FALSE,FALSE,src
1013,emailXMailer,Xmailer,text,FALSE,FALSE,
1014,emailRawHeader,Raw Header,json,FALSE,FALSE,
1015,emailRawBody,Raw Body,text,FALSE,FALSE,
1016,emailHTMLBody,HTML Body,text,FALSE,FALSE,
1017,emailURL,URLs,text,TRUE,FALSE,url
1018,campaignId,CampaignID,text,FALSE,FALSE,
1019,emailAuthSender,Email Auth Sender,text,FALSE,FALSE,
1020,emailMTA,MTA,text,FALSE,FALSE,
1021,reportingPerson,Reporting Person,text,FALSE,FALSE,
1022,clickIP,Click IP,text,FALSE,FALSE,
1023,clickTime,Click Time,text,FALSE,FALSE,
1024,completelyRewritten,Completely Rewritten,text,FALSE,FALSE,
1025,sandboxStatus,Sandbox Status,text,FALSE,FALSE,
1026,threat,Thread,text,FALSE,FALSE,
1027,threatType,Threat Type,text,FALSE,FALSE,
