id,field_name,field_label,field_type,list_field,object_field,field_splunk
1101,cid,CS cid,text,FALSE,FALSE,
1102,csFirstSeen,CS First Seen,text,FALSE,FALSE,
1103,csLastSeen,CS Last Seen,text,FALSE,FALSE,
1104,csExternalIP,CS External IP,text,FALSE,FALSE,
1105,csBehaviorID,CS Behavior ID,text,FALSE,FALSE,
1106,csScenario,CS Scenario,text,FALSE,FALSE,
1107,csIocType,IOC Type,text,FALSE,FALSE,
1108,csIocValue,IOC Value,text,FALSE,FALSE,
1109,csIocDescription,IOC Description,text,FALSE,FALSE,
1110,csIoCSource,IOC Source,text,FALSE,FALSE,
