id,field_name,field_label,field_type,list_field,object_field,field_splunk
2001,acknowledgedDate,Acknowledged Date,datetime,FALSE,FALSE,
2002,acknowledgedUsername,Acknowledged Username,text,FALSE,FALSE,
2003,events,All Events,json,FALSE,FALSE,
2004,assignee,Assignee,text,FALSE,FALSE,
2005,assigneeId,Assignee ID,text,FALSE,FALSE,
2006,description,Description,text,FALSE,FALSE,description
2007,eventId,Event ID,text,FALSE,FALSE,ticket_id
2008,externalApplication,External Application,text,TRUE,FALSE,
2009,matchValue,Match Value,text,FALSE,FALSE,
2010,name,Name,text,FALSE,FALSE,
2011,severity,Severity,integer,FALSE,FALSE,severity
2012,sourceEvents,Source Events,json,FALSE,FALSE,
2013,summary,Summary,text,FALSE,FALSE,
2014,triggeredDate,Triggered Date,datetime,FALSE,FALSE,time_submitted
