"_time",chaddr,ciaddr,dest,"dest_ip","dest_mac","dest_port","dns_server",giaddr,"lease_duration",siaddr,"src_ip","src_port","src_mac",yiaddr
"2018-09-28T12:19:08.722+1000","34-08-bc-6e-d8-d2","0.0.0.0","192.168.1.104","192.168.1.104","34:08:BC:6E:D8:D2",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.104"
"2018-09-28T11:12:09.974+1000","e0-ac-cb-7b-83-22","0.0.0.0","192.168.1.115","192.168.1.115","E0:AC:CB:7B:83:22",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.115"
"2018-09-28T09:20:33.281+1000","e0-ac-cb-7b-83-22","0.0.0.0","192.168.1.115","192.168.1.115","E0:AC:CB:7B:83:22",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.115"
"2018-09-28T08:48:54.966+1000","8c-85-90-37-0e-3f","0.0.0.0","192.168.1.105","192.168.1.105","8C:85:90:37:0E:3F",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.105"
"2018-09-28T08:48:54.537+1000","8c-85-90-37-0e-3f","0.0.0.0","192.168.1.105","192.168.1.105","8C:85:90:37:0E:3F",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.105"
"2018-09-28T08:45:23.863+1000","34-08-bc-6e-d8-d2","0.0.0.0","192.168.1.104","192.168.1.104","34:08:BC:6E:D8:D2",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.104"
"2018-09-28T08:43:28.286+1000","e0-ac-cb-7b-83-22","0.0.0.0","192.168.1.115","192.168.1.115","E0:AC:CB:7B:83:22",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.115"
"2018-09-27T15:33:49.660+1000","78-4f-43-8b-49-db","0.0.0.0","192.168.1.123","192.168.1.123","78:4F:43:8B:49:DB",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.123"
"2018-09-27T15:19:07.009+1000","78-4f-43-8b-49-db","0.0.0.0","192.168.1.123","192.168.1.123","78:4F:43:8B:49:DB",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.123"
"2018-09-27T15:05:07.659+1000","78-4f-43-8b-49-db","0.0.0.0","192.168.1.123","192.168.1.123","78:4F:43:8B:49:DB",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.123"
"2018-09-27T13:38:55.343+1000","88-e9-fe-78-00-91","0.0.0.0","192.168.1.117","192.168.1.117","88:E9:FE:78:00:91",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.117"
"2018-09-27T13:38:50.981+1000","88-e9-fe-78-00-91","0.0.0.0","192.168.1.117","192.168.1.117","88:E9:FE:78:00:91",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.117"
"2018-09-26T11:12:00.042+1000","e0-ac-cb-7b-83-22","0.0.0.0","192.168.1.115","192.168.1.115","E0:AC:CB:7B:83:22",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.115"
"2018-09-26T08:59:55.896+1000","e0-ac-cb-7b-83-22","0.0.0.0","192.168.1.115","192.168.1.115","E0:AC:CB:7B:83:22",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.115"
"2018-09-20T10:10:35.727+1000","98-01-a7-de-60-e5","0.0.0.0","192.168.1.134","192.168.1.134","98:01:A7:DE:60:E5",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.134"
"2018-09-20T10:09:53.658+1000","98-01-a7-8f-3f-65","0.0.0.0","192.168.1.133","192.168.1.133","98:01:A7:8F:3F:65",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.133"
"2018-09-20T09:59:03.765+1000","98-01-a7-8f-3f-65","0.0.0.0","192.168.1.133","192.168.1.133","98:01:A7:8F:3F:65",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.133"
"2018-09-20T09:55:27.629+1000","98-01-a7-8f-3f-65","0.0.0.0","192.168.1.133","192.168.1.133","98:01:A7:8F:3F:65",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.133"
"2018-09-20T09:33:50.739+1000","98-01-a7-8f-3f-65","0.0.0.0","192.168.1.133","192.168.1.133","98:01:A7:8F:3F:65",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.133"
"2018-09-20T09:29:25.553+1000","98-01-a7-8f-3f-65","0.0.0.0","255.255.255.255","255.255.255.255","FF:FF:FF:FF:FF:FF",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.133"
"2018-09-20T09:29:25.466+1000","98-01-a7-8f-3f-65","0.0.0.0","255.255.255.255","255.255.255.255","FF:FF:FF:FF:FF:FF",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.133"
"2018-09-27T09:04:56.131+1000","38-de-ad-ce-d1-6e","0.0.0.0","192.168.1.125","192.168.1.125","38:DE:AD:CE:D1:6E",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.125"
"2018-09-27T08:09:19.777+1000","4c-32-75-92-ed-d3","0.0.0.0","192.168.1.110","192.168.1.110","4C:32:75:92:ED:D3",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.110"
"2018-09-26T13:05:58.402+1000","e0-ac-cb-7b-83-22","0.0.0.0","192.168.1.115","192.168.1.115","E0:AC:CB:7B:83:22",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.115"
"2018-09-20T08:52:37.139+1000","e0-ac-cb-7b-83-22","0.0.0.0","192.168.1.115","192.168.1.115","E0:AC:CB:7B:83:22",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.115"
"2018-09-20T08:50:10.404+1000","8c-85-90-37-0e-3f","0.0.0.0","192.168.1.105","192.168.1.105","8C:85:90:37:0E:3F",68,,"0.0.0.0",86400,"0.0.0.0","192.168.1.1",67,"FC:EC:DA:02:5B:F7","192.168.1.105"
