alert_message,alert_type,alert_message_snpm_trap,alert_code,severity,recommended_action
License expired,LICENSE_EXPIRED,System.License.License_Expired,SIO01.02.0000001,5 (Critical),"To resume operational mode, contact EMC Support for license renewal. If you have already renewed your license, install it."
The system's license will expire in n days,LICENSE_ABOUT_TO_EXPIRE,System.License.License_Is_About_To_Expire,SIO01.02.0000002,3 (Error) 2 (Warning) according to time left and limits,"Contact EMC Support for license renewal. If you have already renewed your license, install it."
PowerFlex OS is using a trial license,TRIAL_LICENSE_USED,System.License.Trial_License_Used,SIO01.02.0000003,2 (Warning),Purchase a license and install it.
Oscillating failures reported,OBJECT_HAS_OSCILLATING_FAILURES,System.Oscillating_Failures.Object_has_oscillating_failures,SIO01.03.0000001,2 (Warning),"Check oscillating failures of the component and take action accordingly. If the oscillating failure does not indicate a problem, change the settings of the oscillating failure window to supress this alert"
There are oscillating network failures. Download network counters for detailed information,OBJECT_HAS_OSCILLATING_NETWORK_FAILURES,System.Oscillating_Failures.OBJECT_HAS_OSCILLATING_NETWORK_FAILURES,SIO01.03.0000002,2 (Warning),"Check the oscillating failure report, that can be accessed from one of the management interfaces. Check whether there is a problem with network links, fix, and restart the counters."
No valid MDM credentials are configured in PowerFlex OS Gateway,GW_CONFIGURATION_INVALID_MDM_CREDENTIALS,System.Credentials.GW_CONFIGURATION_INVALID_MDM_CREDENTIALS,SIO01.04.0000001,5 (Critical),Configure the MDM credentials in the PowerFlex OS Gateway using the FOSGWTool.
MDM credentials are not configured in the PowerFlex OS Gateway,MDM_CREDENTIALS_ARE_NOT_CONFIGURED,System.Credentials.MDM_CREDENTIALS_ARE_NOT_CONFIGURED,SIO01.04.0000002,5 (Critical),Configure MDM credentials on the PowerFlex OS Gateway using theFOSGWTool
The MDM user configured in PowerFlex OS Gateway requires a password change,GW_REQUIRES_MDM_USER_PW_CHANGE,System.Credentials.GW_REQUIRES_MDM_USER_PW_CHANGE,SIO01.04.0000004,5 (Critical),Configure MDM credentials on the PowerFlex OS Gateway using the FOSGWTool
System upgrade is in progress,UPGRADE_IN_PROGRESS,System.Upgrade.UPGRADE_IN_PROGRESS,SIO01.05.0000001,3 (Error),"Monitor the upgrade process, and check that it is completed successfully."
PowerFlex OS Gateway version is too old,GW_TOO_OLD,System.Upgrade.GW_TOO_OLD,SIO01.05.0000002,5 (Critical),Upgrade the PowerFlex OS Gateway to the same version as the rest of your system.
The MDM is not operating in clustered mode,MDM_NOT_CLUSTERED,MDM.MDM_Cluster.MDM_Not_Clustered,SIO02.01.0000001,5 (Critical),"MDM cluster was manually set to SINGLE mode. Confirm that this is an expected operation. Working in SINGLE mode is not recommended. Prepare the cluster modules (if needed), and return to CLUSTER mode."
MDM fails over frequently,MDM_FAILS_OVER_FREQUENTLY,MDM.MDM_Cluster.MDM_Fails_Over_Frequently,SIO02.01.0000003,5 (Critical) 3 (Error) 2 (Warning) according to disconnect count and hardcoded values (2/3/10),The MDMs frequently swap ownership. No action required.
Forward rebuild cannot proceed,FWD_REBUILD_STUCK,MDM.MDM_Cluster.FWD_REBUILD_STUCK,SIO02.01.0000004,2 (Warning)-5 (Critical),"Check the system for lack of spare capacity and/or failed capacity, and either fix the problem or add capacity if necessary."
Backward rebuild cannot proceed,BKWD_REBUILD_STUCK,MDM.MDM_Cluster.BKWD_REBUILD_STUCK,SIO02.01.0000005,2 (Warning)-5 (Critical),"Check the system for lack of spare capacity and/or failed capacity, and either fix the problem or add capacity if necessary."
Rebalance cannot proceed,REBALANCE_STUCK,MDM.MDM_Cluster.REBALANCE_STUCK,SIO02.01.0000006,5 (Critical) 3 (Error) 2 (Warning),"Add a physical disk; if this is not possible, reduce the spare policy while maintaining enough spare to sustain a rebuild, if necessary."
"The MDM cluster is degraded, and data is not protected",CLUSTER_DEGRADED,MDM.MDM_Cluster.CLUSTER_DEGRADED,SIO02.01.0000007,3 (Error)-5 (Critical),"Check that all MDM cluster nodes are functioning correctly, and fix and replace faulty nodes, if necessary, in order to return to full protection."
"Cannot connect to the MDM cluster, but the cluster itself is operational",MDM_CONNECTION_LOST,MDM.MDM_Cluster.MDM_CONNECTION_LOST,SIO02.01.0000008,3 (Error),Check the connection to the MDM
The MDM is not operating in Clustered mode,MDM_NOT_CLUSTERED_VOLUMES_EXIST,MDM.MDM_Cluster.MDM_Not_Clustered_Volume_Exist,SIO02.01.0000009,5 (Critical),"The MDM cluster was manually set to SINGLE mode. Working in SINGLE mode is not recommended. Single mode means that there is only one copy of the MDM repository. If you lose this copy, all System configurations and all the data on all the existing volumes will be lost. Please verify that this is an expected operation. Prepare the cluster modules (if needed), and return to CLUSTERED mode as soon as possible."
Inactive Protection Domain,PD_INACTIVE,MDM.Protection_Domain.Protection_Inactive,SIO02.02.0000001,2 (Warning),"Protection Domain was inactivated by a user command. Confirm that this is an expected operation. This is usually done for maintenance. When maintenance is complete, reactivate the Protection Domain."
Storage Pool has failed capacity,STORAGE_POOL_HAS_FAILED_CAPACITY,MDM.Storage_Pool.Storage_Pool_has_Failed_Capacity,SIO02.04.0000001,5 (Critical),"For the given Storage Pool, for some blocks, both primary and secondary copies are inaccessible. Check and fix the state of all devices in the Storage Pool and all the server's holding devices in the Storage Pool."
Storage Pool has degraded capacity,STORAGE_POOL_HAS_DEGRADED_CAPACITY,MDM.Storage_Pool.Storage_Pool_has_Degraded_Capacity,SIO02.04.0000002,3 (Error),"For the given Storage Pool, for some blocks, one of the two copies is inaccessble. Check if a server is offline or if there is another server hardware-related issue. Check if a storage device is down."
Capacity utilization above critical threshold,CAPACITY_UTILIZATION_ABOVE_CRITICAL_THRESHOLD,MDM.Storage_Pool.Capacity_Utilization_Above_Critical_Threshold,SIO02.04.0000003,5 (Critical),"The capacity utilization of the Storage Pool is reaching a critical threshold. Remove unneeded volumes and snapshots, if possible, or add physical storage."
Capacity utilization above high threshold,CAPACITY_UTILIZATION_ABOVE_HIGH_THRESHOLD,MDM.Storage_Pool.Capacity_Utilization_Above_High_Threshold,SIO02.04.0000004,2 (Warning) 3 (Error),"The capacity utilization of the Storage Pool is reaching a high threshold. Remove unneeded volumes and snapshots, if possible, or add physical storage."
Failure recovery capacity is below the threshold,FAILURE_RECOVERY_CAPACITY_BELOW_THRESHOLD,MDM.Storage_Pool.Failure_Recovery_Capacity_Below_Threshold,SIO02.04.0000005,3 (Error),The capacity available for recovery in a degraded storage event is lower than the predefined threshold. Replace failed hardware or add more physical storage.
Background device scanning has found data conflicts,BACKGROUND_SCANNER_COMPARE_ERROR,MDM.Storage_Pool.Background_Scanner_Compare_Error,SIO02.04.0000007,5 (Critical),Primary and secondary data copies do not match. Check the volumes running on the Storage Pool for any consistency issues. Contact Customer Support for assistance.
Configured spare capacity is smaller than the size of the largest Fault Set,CONFIGURED_SPARE_CAPACITY_SMALLER_THAN_LARGEST_FAULT_UNIT,MDM.Storage_Pool.Configured_Spare_Capacity_Smaller_Than_Largest_Fault_Unit,SIO02.04.0000008,2 (Warning),"Increase the ""spare percentage"", configured in the Storage Pool and reserved for failure recovery, so that it is larger than the largest Fault Unit in the Storage Pool."
The Storage Pool relies too heavily (over 50%) on capacity from a single SDS or Fault Set. Balance capacity over other SDSs or Fault Sets.,STORAGE_POOL_UNBALANCED,MDM.Storage_Pool.STORAGE_POOL_UNBALANCED,SIO02.04.0000009,3 (Error),"Move some physical disks from the large SDS to the others, or add disks to the smaller SDS in order to approximate the capacity of the large SDS as much as possible."
Storage Pool does not meet the minimum requirement of 3 fault units,NOT_ENOUGH_FAULT_UNITS_IN_SP,MDM.Storage_Pool.Not_Enough_Fault_Units,SIO02.04.0000010,3 (Error),Add more SDSs to the Storage Pool to meet the minimum requirement of 3 hosts.
"There are cluster certificates pending approval. For more information, open System Settings > Connection.",UNTRUSTED_CERTIFICATE,MDM.CERTIFICATE.UNTRUSTED_CERTIFICATE,SIO02.05.0000001,3 (Error),Pending for approval certificates can be viewed and approved via System Settings > Connection.
Master MDM Certificate is about to expire,CERTIFICATE_ABOUT_TO_EXPIRE,MDM.CERTIFICATE.CERTIFICATE_ABOUT_TO_EXPIRE,SIO02.05.0000002,5 (Critical),Install a valid SSL certificate on the MDM before the old one expires
Master MDM Certificate has expired,MDM_CERTIFICATE_EXPIRED,MDM.CERTIFICATE.MDM_CERTIFICATE_EXPIRED,SIO02.05.0000003,5 (Critical),Install a valid SSL certificate on the host
Secure connection disabled on MDM,MDM_SECURE_CONNECTION_DISABLED,MDM.CERTIFICATE.MDM_SECURE_CONNECTION_DISABLED,SIO02.05.0000004,5 (Critical),Enable secure connections on the MDM in order to protect your login information
The self-signed certificate presented by the Master MDM is not trusted,MDM_SELF_SIGNED_CERTIFICATE_NOT_TRUSTED,MDM.CERTIFICATE.MDM_SELF_SIGNED_CERTIFICATE_NOT_TRUSTED,SIO02.05.0000005,5 (Critical),"Check the certificate, and trust it if you see fit to do so"
MDM does not support secure connections,MDM_SECURE_CONNECTION_NOT_SUPPORTED,MDM.CERTIFICATE.MDM_SECURE_CONNECTION_NOT_SUPPORTED,SIO02.05.0000006,5 (Critical),Check MDM cluster nodes
The validity period of the certificate presented by the Master MDM starts in the future,MDM_CERTIFICATE_NOT_YET_VALID,MDM.CERTIFICATE.MDM_CERTIFICATE_NOT_YET_VALID,SIO02.05.0000007,5 (Critical),The time and date on the computer where the certificate was created is not consistent with the time and date set in the PowerFlex OS system. Replace the certificate or fix the system time.
The Certificate Authority that signed the Master MDM's certificate is not trusted,MDM_CA_SIGNED_CERTIFICATE_CA_NOT_TRUSTED,MDM.CERTIFICATE.MDM_CA_SIGNED_CERTIFICATE_CA_NOT_TRUSTED,SIO02.05.0000008,5 (Critical),Trust the CA certificate if you see fit
SDS is disconnected,SDS_DISCONNECTED,SDS.SDS.SDS_Disconnected,SIO03.01.0000001,3 (Error),The SDS service may be down or unreachable over the network. Verify that the SDS service is up and running and that the network is properly connected.
SDS disconnects frequently,SDS_DISCONNECTS_FREQUENTLY,SDS.SDS.SDS_Disconnected_Frequently,SIO03.01.0000002,3 (Error) 2 (Warning) according to disconnect count and hard-coded,"The SDS connection is fluctuating due to an unstable network connection. Check the SDS data network connection for Packet Drops, and try to disconnect one of the ports to see if the SDS disconnection issue is resolved by using only one port. If this does not resolve the issue, switch to the other port. If there is still an issue, it may be due to a Faulty NIC, Faulty Switch ports, or a faulty switch. If there is no issue with another switch, the issue was switch-related. Otherwise, the issue may be due to a faulty NIC, which requires NIC replacement."
