vendor_action,dataset_name,action,change_type
Warning,alert,,filesystem
Update Link,change,updated,link
update,change,updated,filesystem
Stop,change,stopped,filesystem
stop,change,stopped,filesystem
status update,change,updated,filesystem
Start,change,started,filesystem
start,change,started,filesystem
Save Branch,change,modified,filesystem
run,change,started,filesystem
restart,change,restarted,filesystem
Rename Project,change,modified,filesystem
rename,change,modified,filesystem
Remove Dependencies,change,deleted,dependencies
Read,change,read,filesystem
Purge queue,change,deleted,filesystem
Publish to Exchange,change,created,exchange
publish,change,created,filesystem
Permissions change,change,modified,change
Patch Dependencies,change,modified,dependencies
Move File,change,updated,file
Modify queue,change,modified,filesystem
Modify exchange,change,modified,exchange
Modify,change,modified,filesystem
modify,change,modified,filesystem
Migrate role,change,updated,role
Merge Branch,change,updated,filesystem
Logout,logout,,
Login,auth,,
Import Project,change,created,filesystem
Edit,change,modified,filesystem
edit,change,modified,filesystem
download,alert,,filesystem
deploy,change,created,filesystem
Delete store,change,deleted,store
Delete queue,change,deleted,filesystem
Delete Project,change,deleted,filesystem
Delete private space,change,deleted,private space
Delete Link,change,deleted,link
Delete File,change,deleted,filesystem
Delete exchange,change,deleted,exchange
Delete client,change,deleted,client
Delete Branch,change,deleted,filesystem
Delete binding,change,deleted,filesystem
Delete,change,deleted,filesystem
delete,change,deleted,filesystem
Create Trusted Domain,change,created,domain
Create store,change,created,store
Create queue,change,created,filesystem
Create Project,change,created,filesystem
Create private space,change,created,private space
Create Link,change,created,link
Create exchange,change,created,exchange
Create client,change,created,client
Create Branch,change,created,filesystem
Create binding,change,created,filesystem
Create,change,created,filesystem
create,change,created,filesystem
Clone Project,change,created,filesystem
Clean Branch,change,cleared,filesystem
Approved,alert,,
