alarm_type_id,vendor_desc,dataset_name,action,type
5,SYN Flood,ids,allowed,
6,UDP Flood,ids,allowed,
7,ICMP Flood,ids,allowed,
8,Packet Flood,ids,allowed,
9,High Volume Email,alert,,alarm
10,Mail Relay,alert,,alarm
11,Spam Source,ids,allowed,
12,Mail Rejects,alert,,alarm
13,Watch Port Active,alert,,alarm
14,New Host Active,alert,,alarm
15,High Target Index,alert,,alarm
16,High Total Traffic,alert,,alarm
17,Max Flows Initiated,alert,,alarm
18,New Flows Initiated,alert,,alarm
19,SYNs Received,alert,,alarm
20,High File Sharing Index,alert,,alarm
24,Suspect UDP Activity,alert,,alarm
25,MAC Address Violation,alert,,alarm
26,Half Open Attack,ids,allowed,
28,Touched,alert,,alarm
29,Low Traffic,alert,,alarm
30,High Traffic,alert,,alarm
31,Watch Host Active,alert,,alarm
32,High Concern Index,alert,,alarm
33,Suspect Long Flow,alert,,alarm
34,Trapped Host,alert,,alarm
35,Worm Activity,ids,allowed,
36,Worm Propagation,ids,allowed,
37,Max Flows Served,alert,,alarm
38,New Flows Served,alert,,alarm
39,Beaconing Host,ids,allowed,
40,Data Loss,dlp,allowed,
41,Bot Infected Host - Attempted C&C Activity (Partial Match),ids,blocked,
42,Bot Infected Host - Successful C&C Activity (Full Match),ids,allowed,
43,Bot Command & Control Server (Controlled),ids,allowed,
44,Slow Connection Flood,ids,allowed,
45,Data Exfiltration,ids,allowed,
46,Command and Control,ids,allowed,
47,Policy Violation,alert,,alarm
48,Suspect Quiet Long Flow,alert,,alarm
49,UDP Received,alert,,alarm
50,ICMP Received,alert,,alarm
51,Recon,ids,allowed,
52,Data Hoarding,alert,,alarm
53,High DDoS Target Index,ids,allowed,
54,High DDoS Source Index,ids,allowed,
55,Port Scan,ids,allowed,
56,Exploitation,ids,allowed,
57,Anomaly,alert,,alarm
58,Brute Force Login,ids,allowed,
59,Talks to Phantoms,alert,,alarm
60,High SMB Peers,ids,allowed,
61,SSH Reverse Shell,ids,allowed,
62,Fake Application Detected,ids,allowed,
63,Scanner Talking,alert,,alarm
257,Ping,alert,,alarm
