error_group_id , error_code ,error_code_str,action
0,0, Success,success
100,101, Failed to perform service classification,failed
100,102, Failed to perform policy evaluation,failed
100,103, Failed to perform posture notification,failed
100,104, Failed to query authstatus,failed
100,105, Internal error in performing authentication,failed
100,106, Internal error in RADIUS server,failed
200,201, User not found,failed
200,202, Password mismatch,failed
200,203, Failed to contact AuthSource,failed
200,204, Failed to classify request to service,failed
200,205, AuthSource not configured for service,failed
200,206, Access denied by policy,failed
200,207, Failed to get client macAddress to perform webauth,failed
200,208, No response from home server,failed
200,209, No password in request,failed
200,210, Unknown CA in client certificate,failed
200,211, Client certificate not valid,failed
200,212, Client certificate has expired,failed
200,213, Certificate comparison failed,failed
200,214, No certificate in authentication source,failed
200,215, TLS session error,failed
200,216, User authentication failed,failed
200,217, Search failed due to insufficient permissions,failed
200,218, Authentication source timed out,failed
200,219, Bad search filter,failed
200,220, Search failed,failed
200,221, Authentication source error,failed
200,222, Password change error,failed
200,223, Username not available in request,failed
200,224, CallingStationID not available in request,failed
200,225, User account disabled,failed
200,226, User account expired or not active yet,failed
200,227, User account needs approval,failed
200,228, User account has exceeded bandwidth limit,failed
200,229, User account has exceeded session duration limit,failed
200,230, User account has exceeded session count limit,failed
6000,6001, Unsupported Tacacs parameter in request,failed
6000,6002, Invalid sequence number,failed
6000,6003, Sequence number overflow,failed
6100,6101, Not enough inputs to perform authentication,failed
6100,6102, Authentication privilege level mismatch,failed
6100,6103, No enforcement profiles matched to perform authentication,failed
6200,6201, Authorization failed as session is not authenticated,failed
6200,6202, Authorization privilege level mismatch,failed
6200,6203, Command not allowed,failed
6200,6204, No enforcement profiles matched to perform command authorization,failed
6300,6301, New password entered does not match,failed
6300,6302, Empty password,failed
6300,6303, Change password allowed only for local users,failed
6300,6304, Internal error in performing change password,failed
9000,9001, Wrong shared secret,failed
9000,9002, Request timed out,failed
9000,9003, Phase2 PAC failure,failed
9000,9004, Client rejected after PAC provisioning,failed
9000,9005, Client does not support posture request,failed
9000,9006, Received error TLV from client,failed
9000,9007, Received failure TLV from client,failed
9000,9008, Phase2 PAC not found,failed
9000,9009, Unknown Phase2 PAC,failed
9000,9010, Invalid Phase2 PAC,failed
9000,9011, PAC verification failed,failed
9000,9012, PAC binding failed,failed
9000,9013, Session resumption failed,failed
9000,9014, Cached session data error,failed
9000,9015, Client does not support configured EAP methods,failed
9000,9016, Client did not send cryptobinding,failed
9000,9017, Could not contact the OCSP server,failed
9000,9018, RADIUS protocol error,failed
9000,9019, Client sent conflicting identities,failed
5000,5001, Internal Error,failed
5000,5002, Invalid MAC Address,failed
5000,5003, Invalid request received,failed
5000,5004, Insufficient parameters received,failed
5000,5005, Query - No MAC address record found,failed
5000,5006, Query - No supported actions,failed
5000,5007, Query - Cannot fetch MAC address details,failed
5000,5008, Request - MAC address not online,failed
5000,5009, Request - No MAC address record found,failed
