"check_title","loe_name","old_loe_name"
"apps_local_settings","apps_local_settings__total","apps_local_settings"
"apps_local_user_content","apps_local_user_content__total","apps_local_user_content"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__disabled","apps_splunk_apps_vet_status__issue_disabled"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__eol","apps_splunk_apps_vet_status__end_of_life"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__es_version","installed_version_SplunkEnterpriseSecuritySuite"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__good","apps_splunk_apps_vet_status__good"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__itsi_version","installed_version_itsi"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__multiple_versions","apps_splunk_apps_vet_status__issue_multiple_versions"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__no_appinspect_record","apps_splunk_apps_vet_status__warning_no_appinspect_record"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__not_latest_certified","apps_splunk_apps_vet_status__warning_not_8x_certified"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__pci_version",
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__total","apps_splunk_apps_vet_status"
"apps_splunk_apps_vet_status","apps_splunk_apps_vet_status__upgrade_for_latest_support","apps_splunk_apps_vet_status__warning_upgrade_for_8x_support"
"apps_top_app_hits","apps_top_app_hits__total",
"data_hygiene_event_indexing","data_hygiene_event_indexing__total","data_hygiene_event_indexing"
"data_hygiene_events_future","data_hygiene_events_future__total","data_hygiene_events_future"
dogfood,"license_core","license_core"
dogfood,"license_es","license_es"
dogfood,"license_itsi","license_itsi"
dogfood,"license_pci","license_pci"
dogfood,"ps_app_splunk_soar","ps_app_splunk_soar"
dogfood,"ps_app_uba","ps_app_uba"
dogfood,"scma_app_version","scma_app_version"
dogfood,"scma_import_status","import_status"
dogfood,"scma_meta_account_id","scma_meta_account_id"
dogfood,"scma_meta_account_name","scma_meta_account_name"
dogfood,"scma_meta_upload_method","scma_meta_upload_method"
dogfood,"scma_run_time",
"environment_dashboard_migration","environment_dashboard_migration__total",
"environment_excessive_cpu_load_average","environment_excessive_cpu_load_average__total",
"environment_instance_inventory","environment_instance_inventory__core_version","installed_version_core"
"environment_instance_inventory","environment_instance_inventory__roles","environment_instance_inventory"
"environment_instance_inventory","environment_instance_inventory__sum_shidx_cpus",
"environment_instance_inventory","environment_instance_inventory__sum_shidx_mem_gb",
"environment_instance_inventory","environment_instance_inventory__win","environment_instance_indexer_os"
"environment_ko_alert_action_inventory","environment_ko_alert_action_inventory__total",
"environment_ko_inventory","environment_ko_inventory__actions",
"environment_ko_inventory","environment_ko_inventory__actions_max",
"environment_ko_inventory","environment_ko_inventory__apps","environment_ko_inventory__apps"
"environment_ko_inventory","environment_ko_inventory__apps_max",
"environment_ko_inventory","environment_ko_inventory__collections","environment_ko_inventory__collections"
