environment,premium_apps,provider,sweet_spot_floor,sweet_spot_ceiling
core,none,aws,5,100000
core,es,aws,50,30000
core,itsi,aws,50,30000
core,pci,aws,50,15000
hipaa,none,aws,5,100000
hipaa,es,aws,50,30000
hipaa,itsi,aws,50,30000
hipaa,pci,aws,50,15000
pci,none,aws,5,100000
pci,es,aws,50,30000
pci,itsi,aws,50,30000
pci,pci,aws,50,15000
fedramp,none,aws,50,40000
fedramp,es,aws,50,15000
fedramp,itsi,aws,50,15000
fedramp,pci,aws,50,15000
il5,none,aws,50,40000
il5,es,aws,50,15000
il5,itsi,aws,50,15000
il5,pci,aws,50,15000
irap,none,aws,50,40000
irap,es,aws,50,15000
irap,itsi,aws,50,15000
irap,pci,aws,50,15000
core,none,gcp,5,100000
core,es,gcp,50,30000
core,itsi,gcp,50,30000
core,pci,gcp,50,15000
hipaa,none,gcp,5,100000
hipaa,es,gcp,50,30000
hipaa,itsi,gcp,50,30000
hipaa,pci,gcp,50,15000
pci,none,gcp,5,100000
pci,es,gcp,50,30000
pci,itsi,gcp,50,30000
pci,pci,gcp,50,15000
fedramp,none,gcp,0,0
fedramp,es,gcp,0,0
fedramp,itsi,gcp,0,0
fedramp,pci,gcp,0,0
il5,none,gcp,0,0
il5,es,gcp,0,0
il5,itsi,gcp,0,0
il5,pci,gcp,0,0
irap,none,gcp,0,0
irap,es,gcp,0,0
irap,itsi,gcp,0,0
irap,pci,gcp,0,0
