check_name,mini,base,standard,premium
license_usage,250,750,2000,2000
indexer,3,6,9,9
search_head,1,2,3,3
search_head_cluster_deployer,0,0,1,1
cloud_vetted_apps,5,10,15,15
private_apps,2,5,10,10
premium_apps,0,1,1,2
total_historical_migration_gb,500,1000,20000,20000
total_historical_snowball_migration,0,0,80000,240000
splunk_upgrades,4,7,10,10
users,20,75,150,200
intermediate_forwarders,2,3,6,6
deployment_servers,0,1,3,3
