premium_app,version
Splunk Cloud,8.2
Splunk Enterprise Security,7.0
Splunk IT Service Intelligence,4.11
Splunk IT Essentials Work,4.12
Splunk App for Microsoft Exchange (End of Sale),4.0
Splunk App for PCI Compliance,4.6
Splunk App for VMware (End of Sale),4.0
