ingest,svc_utilization,svc_out,multiplier,premium_apps
2-6,0-20,190,20,no
2-6,20-40,350,11,no
2-6,40-100,520,8,no
2-6,100-1000,Custom quote required,"999",no
2-6,0-40,650,6,yes
2-6,40-100,840,5,yes
2-6,100-1000,Custom quote required,"999",yes
4-10,0-20,360,20,no
4-10,20-40,570,12,no
4-10,40-100,900,8,no
4-10,100-1000,Custom quote required,"999",no
4-10,0-40,1180,6,yes
4-10,40-100,1460,5,yes
4-10,100-1000,Custom quote required,"999",yes
8-15,0-20,470,24,no
8-15,20-40,810,14,no
8-15,40-100,1230,9,no
8-15,100-1000,Custom quote required,"999",no
8-15,0-40,1560,7,yes
8-15,40-100,2080,6,yes
8-15,100-1000,Custom quote required,"999",yes
12-20,0-20,670,24,no
12-20,20-40,1090,15,no
12-20,40-100,1620,10,no
12-20,100-1000,Custom quote required,"999",no
12-20,0-40,2130,8,yes
12-20,40-100,2900,6,yes
12-20,100-1000,Custom quote required,"999",yes
20++,0-20,Custom quote required,"999",no
20++,20-40,Custom quote required,"999",no
20++,40-100,Custom quote required,"999",no
20++,100-1000,Custom quote required,"999",no
20++,0-40,Custom quote required,"999",yes
20++,40-100,Custom quote required,"999",yes
20++,100-1000,Custom quote required,"999",yes
