"_mkv_child","forwarder_cloud_versions","forwarder_version","heavy_forwarder_support_end_date","univeral_forwarder_full_support_end_date","universal_forwarder_p3_support_end_date"
,"8.2.x, 9.0.x, 9.1.x","9.2.*","January 31, 2026","January 31, 2026","January 31, 2029"
,"8.2.x, 9.0.x","9.1.*","June 28, 2025","June 28, 2025","June 28, 2028"
,"8.2.x, 9.0.x","9.0.*","June 14, 2024","June 14, 2024","June 14, 2027"
,"8.0.x, 8.1.x., 8.2.x, 9.0.x","8.2.*","May 12, 2023","September 30, 2023","May 12, 2026"
,"8.0.x, 8.1.x., 8.2.x, 9.0.x","8.1.*","April 19, 2023","April 19, 2023","October 22, 2025"
,"8.0.x, 8.1.x., 8.2.x, 9.0.x","8.0.*","October 22, 2021","October 22, 2021","October 22, 2024"
,"8.0.x, 8.1.x., 9.0.x","7.3.*","October 22, 2021","October 22, 2021","June 4, 2024"
0,"9.0.x-9.4.x, 10.0.x, 10.2.x (Splunk Enterprise matrix); Splunk Cloud Platform incl. 10.1.x (Cloud-only stack, not Splunk Enterprise 10.1.x)","9.3.*","July 24, 2026","July 24, 2026","July 24, 2029"
1,"9.0.x-9.4.x, 10.0.x, 10.2.x (Splunk Enterprise matrix); Splunk Cloud Platform incl. 10.1.x (Cloud-only stack, not Splunk Enterprise 10.1.x)","9.4.*","December 16, 2026","December 16, 2026","December 16, 2029"
2,"Splunk Enterprise 9.2.x-9.4.x, 10.0.x, 10.2.x (matrix); Splunk Cloud Platform incl. 10.1.x (Cloud-only stack, not Splunk Enterprise 10.1.x)","10.0.*","July 31, 2028","July 31, 2028","July 31, 2031"
3,"Splunk Enterprise 9.2.x-9.4.x, 10.0.x, 10.2.x (matrix); Splunk Cloud Platform incl. 10.1.x (Cloud-only stack, not Splunk Enterprise 10.1.x)","10.1.*","January 31, 2029","January 31, 2029","January 31, 2032"
4,"Splunk Enterprise 9.2.x-9.4.x, 10.0.x, 10.2.x (matrix); Splunk Cloud Platform incl. 10.1.x (Cloud-only stack, not Splunk Enterprise 10.1.x)","10.2.*","July 31, 2030","July 31, 2030","July 31, 2033"
5,"Splunk Enterprise 9.2.x-9.4.x, 10.0.x, 10.2.x (matrix); Splunk Cloud Platform incl. 10.1.x, 10.3.x (Cloud stacks; 10.1.x is not Splunk Enterprise 10.1.x in the matrix)","10.3.*","December 31, 2030","December 31, 2030","December 31, 2033"
