provider,region,zone,country,compatibility,latitude,longitude
aws,AMER,"Sao Paulo",Brazil,"hipaa|pci|core","-23.34","-46.38"
aws,AMER,Central,Canada,"hipaa|pci|core","45.508888","-73.561668"
gcp,AMER,Montreal,Canada,"hipaa|pci|core","45.508888","-73.561668"
aws,AMER,"Ashburn, Virginia","United States","hipaa|pci|core","39.00174058537852","-77.47606150233138"
gcp,AMER,"Ashburn, Virginia","United States","hipaa|pci|core","39.00174058537852","-77.47606150233138"
gcp,AMER,"Council Bluffs, Iowa","United States","hipaa|pci|core","42.032974","-93.581543"
aws,AMER,"GovCloud US-East, Columbus, OH","United States","fedramp|il5|hipaa|pci","40.12174047132368","-83.0017163826712"
aws,AMER,"GovCloud US-West, Umatilla, OR","United States","fedramp|il5|hipaa","45.92035982702889","-119.2658719258588"
gcp,AMER,"Los Angeles, California","United States","hipaa|pci|core","34.0522","-118.2437"
gcp,AMER,"Moncks Corner, South Carolina","United States","hipaa|pci|core","33.1960","-80.0131"
gcp,AMER,"Salt Lake City, Utah","United States","hipaa|pci|core","40.7608","-111.8910"
gcp,AMER,"The Dalles, Oregon","United States","hipaa|pci|core","45.5946","-121.1787"
aws,AMER,"Umatilla, Oregon","United States","hipaa|pci|core","45.92035982702889","-119.2658719258588"
aws,ANZ,Sydney,Australia,"irap|hipaa|pci|core","-33.865143","151.209900"
gcp,ANZ,Sydney,Australia,"hipaa|pci|core","-33.865143","151.209900"
aws,APAC,Mumbai,India,"hipaa|pci|core","19.076090","72.877426"
aws,APAC,Tokyo,Japan,"hipaa|pci|core","35.652832","139.839478"
gcp,APAC,Tokyo,Japan,"hipaa|pci|core","35.6762","139.6503"
gcp,APAC,"Jurong West",Singapore,"hipaa|pci|core","1.290270","103.851959"
aws,APAC,Singapore,Singapore,"hipaa|pci|core","1.290270","103.851959"
aws,APAC,Seoul,"South Korea","hipaa|pci|core","37.532600","127.024612"
gcp,APAC,"Changhua County",Taiwan,"hipaa|pci|core","24.0518","120.5161"
gcp,EMEA,"St. Ghislain",Belgium,"hipaa|pci|core","50.5039","4.4699"
aws,EMEA,Paris,France,"hipaa|pci|core","48.864716","2.349014"
aws,EMEA,Frankfurt,Germany,"hipaa|pci|core","50.110924","8.682127"
gcp,EMEA,Frankfurt,Germany,"hipaa|pci|core","50.110924","8.682127"
aws,EMEA,Dublin,Ireland,"hipaa|pci|core","53.350140","-6.266155"
gcp,EMEA,Eemshaven,Netherlands,"hipaa|pci|core","53.4386","6.8355"
aws,EMEA,Stockholm,Sweden,"hipaa|pci|core","59.3293","18.0686"
aws,EMEA,London,"United Kingdom","hipaa|pci|core","51.509865","-0.118092"
gcp,EMEA,London,"United Kingdom","hipaa|pci|core","51.509865","-0.118092"
