offering_name,offering_more_info
"Assigned Expert Subscription Services",https://www.splunk.com/pdfs/data-sheets/platform-assigned-expert-datasheet.pdf
"OnDemand Subscription Services",https://www.splunk.com/pdfs/legal/Splunk-On-Demand-Datasheet-101.pdf
"Splunk Optimization Check",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-offerings-splunk-optimization-check.pdf
"Data Onboarding Assistance",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-offerings-data-onboarding-assistance.pdf
"Data Analysis Assistance",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-offerings-data-analysis-assistance.pdf
"Tactical Security Response",https://www.splunk.com/pdfs/professional-services/2019/tactical-security-response.pdf
"Security Use Case Workshop",https://www.splunk.com/pdfs/professional-services/splunk-pro-services-offerings-security-workshop.pdf
"Splunk SOAR Adoption",https://www.splunk.com/pdfs/professional-services/2019/splunk-phantom-adoption-success-use-cases.pdf
"Value Path Adoption",https://www.splunk.com/pdfs/professional-services/2019/splunk-prescriptive-value-path-offering.pdf
"ITOA Roadmap Workshop",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-itsi-roadmap-workshop.pdf
"Machine Learning Workshop",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-offerings-machine-learning-workshop.pdf
"SIEM Replacement Assessment",https://www.splunk.com/pdfs/professional-services/splunk-pro-services-offerings-siem-replacement-workshop.pdf
"IT Operations Platform Replacement Assessment",https://www.splunk.com/pdfs/professional-services/2019/splunk-itops-monitoring-platform-replacement.pdf
"CIS Top 20 Assessment",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-offerings-cis-top-20.pdf
"IT Service Intelligence Service Discovery Workshop",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-offerings-itsi-service-mapping.pdf
"Value Acceleration",https://www.splunk.com/pdfs/professional-services/2019/splunk-pro-services-offerings-value-acceleration.pdf
"Splunk Enterprise Adoption Success Offering",https://www.splunk.com/pdfs/professional-services/2019/splunk-eaa-success.pdf
"Enterprise Security Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-enterprise-security-implementation-success.pdf
"ITSI Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-itsi-implementation-success.pdf
"Splunk SOAR Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-phantom-implementation-success.pdf
"Splunk SignalFx Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-signalfx-implementation-success.pdf
"Splunk SignalFx Migration Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-signalfx-migration-success.pdf
"UBA Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-uba-implementation-success.pdf
"GDPR Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-gdpr-implementation-success.pdf
"Industrial IOT Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-for-industrial-iot-implementation-success.pdf
"Cloud Enterprise Security Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-cloud-enterprise-security-implementation-success.pdf
"Cloud IT Service Intelligence Implementation Success",https://www.splunk.com/pdfs/professional-services/2019/splunk-cloud-itsi-implementation-success.pdf

