AKMS_Types,AKMS_Type_Name
0,NONE
1,WPA
2,PSK
3,FT over IEEE 802.1X
4,FT using PSK
5,WPA (SHA256)
6,PSK (SHA256)
7,TDLS / TPK Handshake (SHA256)
8,SAE (SHA256)
9,FT using SAE (SHA256)
10,APPeerKey (SHA256)
11,WPA (SHA256-SuiteB)
12,WPA (SHA384-SuiteB)
13,FT over IEEE 802.1X (SHA384)
14,"FILS (SHA256 , AES-SIV-256)"
15,"FILS (SHA384 , AES-SIV-512)"
16,"FT over FILS (SHA256 , AES-SIV-256)"
17,"FT over FILS (SHA384 , AES-SIV-512)"
18,Opportunistic Wireless Encryption
19,FT using PSK (SHA384)
20,PSK (SHA384)
21,PASN
24,SAE (GROUP-DEPEND)
25,FT using SAE (GROUP-DEPEND)
Unknown,Unknown
