logon_type_id,logon_type,logon_type_description
0,"System","Used only by the System account, for example at system startup.""
2,Interactive,"A local logon to device console.""
3,Network,"A user or device logged onto this device from the network."
4,Batch,"A batch server logon, where processes may be executing on behalf of a user without their direct intervention."
5,"OS Service","A logon by a service or daemon that was started by the OS."
7,Unlock,"A user unlocked the device."
8,"Network Cleartext","A user logged on to this device from the network. The user's password in the authentication package was not hashed."
9,"New Credentials","A caller cloned its current token and specified new credentials for outbound connections. The new logon session has the same local identity, but uses different credentials for other network connections."
10,"Remote Interactive","A remote logon using Terminal Services or remote desktop application."
11,"Cached Interactive","A user logged on to this device with network credentials that were stored locally on the device and the domain controller was not contacted to verify the credentials."
12,"Cached Remote Interactive","Same as Remote Interactive. This is used for internal auditing."
13,"Cached Unlock","Workstation logon."
99,Other,"Other logon type."
