analytic.type_id,analytic.type,analytic.type_description
0,Unknown,"The type is unknown."
1,Rule,
2,Behavioral,
3,Statistical,
4,"Learning (ML/DL)",
99,Other,"The type is not mapped. See the type attribute, which may contain a data source specific value."
