name,hostname,createdate,os,primaryip,managementip,realm,agentversion,reachability,customer,facility,serialno,manufacturer,model,osversion
"hpsa-core","hpsa-core","Tue Apr  7 17:05:58 2015","linux","192.168.3.141","192.168.3.141","Transitional","50.0.37124.0","True","Opsware","PHL","VMWARE-42 15 E4 ED E9 86 EC E0-E0 9E 34 42 91 5D 12 95","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"HPSA_Satellite","hpsa-satellite","Mon Apr 13 09:17:11 2015","linux","192.168.3.135","192.168.3.135","PHLSAT92","50.0.37124.0","True","Opsware","PHLSAT92","VMWARE-56 4D E0 FD 90 B2 31 AE-F8 8C 26 A2 66 40 97 48","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"wind2008r2","WINDOWS-7AKW98E","Thu May 14 11:37:06 2015","windows","172.16.248.18","172.16.248.61","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 1D 8A EB CC C4 A7 FA-A3 AB E4 9E 52 6A 50 92","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64  Build 7600 (05-14-2015)"
"sys11-31","sys11-31","Thu Jun  4 18:32:41 2015","hp-ux","192.168.220.12","192.168.220.12","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE4453N8M","HP","9000/800/SD64A","HP-UX 11.31"
"vcenter","vcenter","Mon Jun  8 23:12:46 2015","windows","192.168.3.213","192.168.3.213","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-56 4D 78 C5 0C FB 22 07-72 AA BB 0F AA A5 E2 8D","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64 Service Pack 1 Build 7601 (06-03-2015)"
"BackupExec_Master","BackupExecMaster","Mon Jun  8 23:17:47 2015","windows","192.168.3.195","192.168.3.195","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 10 CD F6 E3 A6 5C BD-A7 E2 99 C6 22 FB 0C B4","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  Service Pack 1 Build 7601 (05-27-2015)"
"Veeam-Master","Veeam-Master","Wed Jun 24 10:43:54 2015","windows","192.168.3.198","192.168.3.198","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 19 4B 03 73 4B 0E 8C-DD F1 38 86 7B 7F 79 75","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (11-15-2012)"
"TSMCLIENT1","TSMCLIENT1","Fri Jul 10 14:50:01 2015","windows","192.168.3.229","192.168.3.229","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 D9 1D B4 76 94 8F-4D 64 48 7C 91 40 20 1B","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-20-2015)"
"TSMCLIENT1","TSMCLIENT1","Mon Jul 20 19:40:00 2015","windows","192.168.3.226","192.168.3.226","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","VMWARE-42 15 A5 44 34 3E 11 BE-5F 5F 7F BC 06 4B 94 D5","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-20-2015)"
"WIN2K8SR248VM","WIN2K8SR248VM","Tue Jul 21 13:46:59 2015","windows","192.168.3.233","192.168.3.233","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 2E EC 43 9E 5D 33-65 02 78 44 8C 0C 53 74","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-21-2015)"
