Impact,impact_desc
0,Level 0 - Unknown
1,Level 1 - Probably Compromised Host
2,Level 2 - Possibly Compromised Host
3,Level 3 - Currently Not Vulnerable
4,Level 4 - Unknown Target
5,Level 5 - Impact Not Determined
