event_id,EventType
430001,IntrusionEvent
430002,ConnectionEvent
430003,ConnectionEvent
430004,FileEvent
430005,FileMalwareEvent
430008,DiscoveryEvent
430009,IntrusionPacketEvent
430010,CorrelationEvent
430100,UserActivityEvent
430101,UserActivityEvent
430102,UserActivityEvent
430103,UserActivityEvent
430104,UserActivityEvent
430105,UserActivityEvent
430106,UserActivityEvent
431001,http
431002,ftp
431003,conn
431004,dns
431005,weird
431006,notice
431007,quic
431008,ssl
431009,ssh
431010,file
