action.objectType,event_type,action,status
api.token.create,okta_event_change_app,created,success
app.ad.agent.read-ldap,okta_event_change_account,read,success
app.ad.agent.real-time-sync,okta_event_change_account,modified,success
app.ad.agent.real-time-sync.error,okta_event_change_account,modified,failure
app.ad.login.bad_password,okta_event_authentication,failure,
app.ad.login.success,okta_event_authentication,success,
app.admin.sso.bad_response,okta_event_authentication,failure,
app.admin.sso.no_response,okta_event_authentication,failure,
app.admin.sso.orgapp.notfound,okta_event_authentication,failure,
app.app_instance.change,okta_event_change_app,modified,success
app.app_instance.config-error,okta_event_change_app,modified,failure
app.app_instance.logo_reset,okta_event_change_app,modified,success
app.app_instance.logo_update,okta_event_change_app,modified,success
app.app_instance.outbound_delauth_disabled,okta_event_change_app,modified,success
app.app_instance.outbound_delauth_enabled,okta_event_change_app,modified,success
app.auth.delegated.outbound,okta_event_authentication,success,
app.auth.sso,okta_event_authentication,success,
app.generic.config.app_activated,okta_event_change_app,modified,success
app.generic.config.app_deactivated,okta_event_change_app,modified,success
app.generic.config.app_password_update,okta_event_change_app,modified,success
app.generic.config.app_updated,okta_event_change_app,modified,success
app.generic.config.app_user_update,okta_event_change_app,modified,success
app.generic.config.app_username_update,okta_event_change_app,modified,success
app.generic.import.complete,okta_event_change_app,modified,success
app.generic.import.details.add_custom_object,okta_event_change_app,modified,success
app.generic.import.details.add_group,okta_event_change_app,modified,success
app.generic.import.details.add_user,okta_event_change_account,modified,success
app.generic.import.details.delete_custom_object,okta_event_change_app,deleted,success
app.generic.import.details.delete_group,okta_event_change_app,deleted,success
app.generic.import.details.delete_user,okta_event_change_account,deleted,success
app.generic.import.details.update_custom_object,okta_event_change_app,modified,success
app.generic.import.details.update_group,okta_event_change_account,modified,success
app.generic.import.details.update_user,okta_event_change_account,modified,success
app.generic.import.import_user,okta_event_change_account,modified,success
app.generic.import.new_user,okta_event_change_account,modified,success
app.generic.import.provisioning_data,okta_event_change_app,modified,success
app.generic.import.started,okta_event_change_app,modified,success
app.generic.import.summary.custom_object,okta_event_change_app,read,success
app.generic.import.summary.group,okta_event_change_account,read,success
app.generic.import.summary.group_membership,okta_event_change_account,read,success
app.generic.import.summary.user,okta_event_change_account,read,success
app.generic.import.user_delete,okta_event_change_account,deleted,success
app.generic.import.user_match.complete,okta_event_change_account,modified,success
app.generic.import.user_update,okta_event_change_account,modified,success
app.generic.provision.assign_user_to_app,okta_event_change_account,modified,success
app.generic.provision.deactivate_user_from_app,okta_event_change_account,modified,success
app.generic.reversibility.credentials.recover,okta_event_change_app,modified,success
app.generic.reversibility.individual.app.recovery,okta_event_change_app,modified,success
app.generic.reversibility.personal.app.recovery,okta_event_change_app,modified,success
app.inbound_del_auth.failure.account_not_found,okta_event_authentication,failure,
app.inbound_del_auth.failure.instance_not_found,okta_event_authentication,failure,
app.inbound_del_auth.failure.invalid_login_credentials,okta_event_authentication,failure,
app.inbound_del_auth.failure.invalid_request.could_not_parse_credentials,okta_event_authentication,failure,
app.inbound_del_auth.failure.not_supported,okta_event_authentication,failure,
app.inbound_del_auth.login_success,okta_event_authentication,success,
app.rich_client.account_not_found,okta_event_authentication,failure,
app.rich_client.instance_not_found,okta_event_authentication,failure,
