struct,description
addressac,"Address ac."
changedobject,"Changed object information."
dhcpmember,"Grid member serving DHCP."
dhcpoption,"DHCP option"
discoverydata,"Discovered data"
dnsseckeyparams,"DNSSEC Key parameters."
dnssectrustedkey,"DNSSEC Trusted Key."
exclusionrange,"Exclusion range"
extserver,"External Server."
filterrule,"Filter rule"
forwardingmemberserver,"Forwarding Member Server."
logicfilterrule,"Logic Filter rule"
memberserver,"Member Server."
msdhcpoption,"Microsoft DHCP Options"
msdhcpserver,"MS DHCP server struct"
msdnsserver,"Msserver Server."
sortlist,"DNS Sortlist struct."
tsigac,"TSIG ac."
zoneassociation,"Zone association struct"
