fields,object
agent_circuit_id,fixedaddress
agent_remote_id,fixedaddress
always_update_dns,fixedaddress
bootfile,fixedaddress
bootserver,fixedaddress
client_identifier_prepend_zero,fixedaddress
comment,fixedaddress
ddns_domainname,fixedaddress
ddns_hostname,fixedaddress
deny_bootp,fixedaddress
dhcp_client_identifier,fixedaddress
disable,fixedaddress
discovered_data,fixedaddress
enable_ddns,fixedaddress
extattrs,fixedaddress
ignore_dhcp_option_list_request,fixedaddress
ipv4addr,fixedaddress
mac,fixedaddress
match_client,fixedaddress
ms_options,fixedaddress
ms_server,fixedaddress
name,fixedaddress
network,fixedaddress
network_view,fixedaddress
nextserver,fixedaddress
options,fixedaddress
pxe_lease_time,fixedaddress
template,fixedaddress
use_bootfile,fixedaddress
use_bootserver,fixedaddress
use_ddns_domainname,fixedaddress
use_deny_bootp,fixedaddress
use_enable_ddns,fixedaddress
use_ignore_dhcp_option_list_request,fixedaddress
use_nextserver,fixedaddress
use_options,fixedaddress
dhcp_client_identifier,ipv4address
extattrs,ipv4address
fingerprint,ipv4address
ip_address,ipv4address
is_conflict,ipv4address
lease_state,ipv4address
mac_address,ipv4address
names,ipv4address
network,ipv4address
network_view,ipv4address
objects,ipv4address
status,ipv4address
types,ipv4address
usage,ipv4address
username,ipv4address
duid,ipv6address
extattrs,ipv6address
ip_address,ipv6address
is_conflict,ipv6address
lease_state,ipv6address
names,ipv6address
network,ipv6address
network_view,ipv6address
objects,ipv6address
status,ipv6address
types,ipv6address
usage,ipv6address
address_type,ipv6fixedaddress
comment,ipv6fixedaddress
disable,ipv6fixedaddress
discovered_data,ipv6fixedaddress
domain_name,ipv6fixedaddress
domain_name_servers,ipv6fixedaddress
duid,ipv6fixedaddress
extattrs,ipv6fixedaddress
ipv6addr,ipv6fixedaddress
ipv6prefix,ipv6fixedaddress
ipv6prefix_bits,ipv6fixedaddress
name,ipv6fixedaddress
network,ipv6fixedaddress
network_view,ipv6fixedaddress
options,ipv6fixedaddress
preferred_lifetime,ipv6fixedaddress
template,ipv6fixedaddress
use_domain_name,ipv6fixedaddress
use_domain_name_servers,ipv6fixedaddress
use_options,ipv6fixedaddress
use_preferred_lifetime,ipv6fixedaddress
use_valid_lifetime,ipv6fixedaddress
valid_lifetime,ipv6fixedaddress
auto_create_reversezone,ipv6network
comment,ipv6network
ddns_domainname,ipv6network
ddns_enable_option_fqdn,ipv6network
ddns_generate_hostname,ipv6network
ddns_server_always_updates,ipv6network
ddns_ttl,ipv6network
disable,ipv6network
domain_name,ipv6network
domain_name_servers,ipv6network
enable_ddns,ipv6network
enable_ifmap_publishing,ipv6network
extattrs,ipv6network
members,ipv6network
network,ipv6network
network_container,ipv6network
network_view,ipv6network
options,ipv6network
preferred_lifetime,ipv6network
recycle_leases,ipv6network
template,ipv6network
update_dns_on_lease_renewal,ipv6network
use_ddns_domainname,ipv6network
use_ddns_enable_option_fqdn,ipv6network
use_ddns_generate_hostname,ipv6network
use_ddns_ttl,ipv6network
use_domain_name,ipv6network
use_domain_name_servers,ipv6network
use_enable_ddns,ipv6network
use_enable_ifmap_publishing,ipv6network
use_options,ipv6network
use_preferred_lifetime,ipv6network
use_recycle_leases,ipv6network
use_update_dns_on_lease_renewal,ipv6network
use_valid_lifetime,ipv6network
use_zone_associations,ipv6network
valid_lifetime,ipv6network
zone_associations,ipv6network
auto_create_reversezone,ipv6networkcontainer
comment,ipv6networkcontainer
extattrs,ipv6networkcontainer
network,ipv6networkcontainer
network_container,ipv6networkcontainer
network_view,ipv6networkcontainer
use_zone_associations,ipv6networkcontainer
zone_associations,ipv6networkcontainer
address_type,ipv6range
comment,ipv6range
disable,ipv6range
end_addr,ipv6range
exclude,ipv6range
extattrs,ipv6range
ipv6_end_prefix,ipv6range
ipv6_prefix_bits,ipv6range
ipv6_start_prefix,ipv6range
member,ipv6range
name,ipv6range
network,ipv6range
network_view,ipv6range
recycle_leases,ipv6range
server_association_type,ipv6range
start_addr,ipv6range
template,ipv6range
use_recycle_leases,ipv6range
address,lease
billing_class,lease
binding_state,lease
client_hostname,lease
cltt,lease
discovered_data,lease
ends,lease
hardware,lease
ipv6_duid,lease
ipv6_iaid,lease
ipv6_preferred_lifetime,lease
ipv6_prefix_bits,lease
network,lease
network_view,lease
never_ends,lease
never_starts,lease
next_binding_state,lease
on_commit,lease
on_expiry,lease
on_release,lease
option,lease
protocol,lease
served_by,lease
server_host_name,lease
starts,lease
tsfp,lease
tstp,lease
uid,lease
username,lease
variable,lease
authentication_time,macfilteraddress
comment,macfilteraddress
expiration_time,macfilteraddress
extattrs,macfilteraddress
filter,macfilteraddress
guest_custom_field1,macfilteraddress
guest_custom_field2,macfilteraddress
guest_custom_field3,macfilteraddress
guest_custom_field4,macfilteraddress
guest_email,macfilteraddress
guest_first_name,macfilteraddress
guest_last_name,macfilteraddress
guest_middle_name,macfilteraddress
guest_phone,macfilteraddress
is_registered_user,macfilteraddress
mac,macfilteraddress
never_expires,macfilteraddress
reserved_for_infoblox,macfilteraddress
username,macfilteraddress
host_name,member
access_list,namedacl
comment,namedacl
exploded_access_list,namedacl
extattrs,namedacl
name,namedacl
authority,network
auto_create_reversezone,network
bootfile,network
bootserver,network
comment,network
ddns_domainname,network
ddns_generate_hostname,network
ddns_server_always_updates,network
ddns_ttl,network
ddns_update_fixed_addresses,network
ddns_use_option81,network
deny_bootp,network
disable,network
email_list,network
enable_ddns,network
enable_dhcp_thresholds,network
enable_email_warnings,network
enable_ifmap_publishing,network
enable_snmp_warnings,network
extattrs,network
high_water_mark,network
high_water_mark_reset,network
ignore_dhcp_option_list_request,network
ipv4addr,network
lease_scavenge_time,network
low_water_mark,network
low_water_mark_reset,network
members,network
netmask,network
network,network
network_container,network
network_view,network
nextserver,network
options,network
pxe_lease_time,network
recycle_leases,network
template,network
update_dns_on_lease_renewal,network
use_authority,network
use_bootfile,network
use_bootserver,network
use_ddns_domainname,network
use_ddns_generate_hostname,network
use_ddns_ttl,network
use_ddns_update_fixed_addresses,network
use_ddns_use_option81,network
use_deny_bootp,network
use_email_list,network
use_enable_ddns,network
use_enable_dhcp_thresholds,network
use_enable_ifmap_publishing,network
use_ignore_dhcp_option_list_request,network
use_lease_scavenge_time,network
use_nextserver,network
use_options,network
use_recycle_leases,network
use_update_dns_on_lease_renewal,network
use_zone_associations,network
zone_associations,network
auto_create_reversezone,networkcontainer
comment,networkcontainer
extattrs,networkcontainer
network,networkcontainer
network_container,networkcontainer
network_view,networkcontainer
use_zone_associations,networkcontainer
zone_associations,networkcontainer
comment,networkview
extattrs,networkview
is_default,networkview
name,networkview
always_update_dns,range
authority,range
bootfile,range
bootserver,range
comment,range
ddns_domainname,range
ddns_generate_hostname,range
deny_all_clients,range
deny_bootp,range
disable,range
email_list,range
enable_ddns,range
enable_dhcp_thresholds,range
enable_email_warnings,range
enable_ifmap_publishing,range
enable_snmp_warnings,range
end_addr,range
