domain,Category,Score
.ass0.fr,25,120
.assexyas.com,25,120
.asso.st,25,120
.astrodust.com,25,120
.astrologie-horoscop.ro,25,120
.astrolojiburc.com,25,120
.asu.su,25,120
.asusdriver.ru,25,120
.at-band-camp.net,25,120
.at.gg,25,120
.at.tc,25,120
.at.tf,25,120
.atasnamacinta.org,25,120
.atelierrua.com,25,120
.atfacebook.net,25,120
.ath.cx,25,120
.ath.cx,27,120
.ath.ro,25,120
.athens-athens.com,25,120
.athersite.com,25,120
.athissite.com,25,120
.athleticpharma.com,25,120
.atitudine.net,25,120
.atmyspace.net,25,120
.atskype.net,25,120
.attackus.net,25,120
.attwell.net,25,120
.attwitter.net,25,120
.atyoutube.net,25,120
.au.mn,25,120
.au.ms,25,120
.au.tc,25,120
.audicarfans.com,25,120
.audio-stream.net,25,120
.auploadservice.com,1,120
.auraria.org,25,120
.australiatravelling.net,25,120
.authorizeddns.net,25,120
.authorizeddns.org,25,120
.authorizeddns.us,25,120
.autofull.pl,25,120
.autogas-adapter.eu,25,120
.autohemoterapia.com,25,120
.automillion.ru,25,120
.automotive.ro,25,120
.automotive.si,25,120
.autoroutedemorges.ch,25,120
.autotema.info,25,120
.auxlang.net,25,120
.avangardkennel.ru,25,120
.avdbturnike.gov.tr,25,120
.avon-chat.com,25,120
.avssk.com,25,120
.avtobizz.ru,25,120
.avtoopt-nn.ru,25,120
.avtoservis-hladin.si,25,120
.aweandreverence.com,25,120
.awiki.org,25,120
.awmail.org,25,120
.ax.lt,25,120
.axisglobal.co.id,25,120
.axsol.com.ar,25,120
.ayaka.ws,25,120
.ayakacomputer.biz,25,120
.ayakanet.biz,25,120
.ayakanet.org,25,120
.azote.org,25,120
.azstronghold.com,25,120
.b0ne.com,25,120
.b0tnet.com,25,120
.b2barea.ru,25,120
.babylon.com,5,120
.bacek.com,25,120
.bad.mn,25,120
.badabrasil.com.br,25,120
.bagus.org,25,120
.baidu.com,19,120
.baidu.jp,19,120
.bakerweb.biz,25,120
.bakumarket.com,25,120
.balmed.ru,25,120
.bambong.net,25,120
.bamoon.com,25,120
.bamteli.org,25,120
.bapat.org,25,120
.barbaforte.org,25,120
.barcelona.com.ru,25,120
.barge-online.com,25,120
.barkpark.com,25,120
.barrel-of-knowledge.info,25,120
.barrell-of-knowledge.info,25,120
.base-v.ch,25,120
.bash.si,25,120
.bashpoisk.ru,25,120
.bashpretty.ru,25,120
.bashtourism.ru,25,120
.basicnetwork.ro,25,120
.battlecore.ru,25,120
.bayipazar.com,25,120
.bbsindex.com,25,120
.bd.to,25,120
.be.ma,25,120
.be.tc,25,120
.beachwaralaba.com,25,120
.bebelemeu.ro,25,120
.becompany.org,25,120
.bee.pl,25,120
.begroup.cc,25,120
.belabat.org,25,120
.belanjaaudio.com,25,120
.bellasclown.com,25,120
.belopolsky.ru,25,120
.ben7.net,25,120
.bengkayang.go.id,25,120
.benz.la,25,120
.bernovo.ru,25,120
.bertmillernatureclub.org,25,120
.besafe.com.br,25,120
.best-times.ru,25,120
.best-vid.com,25,120
.bestcp.com,25,120
.bestdeals.at,25,120
.bestforever.com,25,120
.bestreferaty.ru,25,120
.bestshells.ro,25,120
.betsy.cc,25,120
.betsypowers.com,25,120
.better-than.tv,25,120
.bflogos.ru,25,120
.bg-news.org,25,120
.bg.tc,25,120
.bg.tf,25,120
