event_type,severity,severity_id,category
*identity_verification*,informational,1,authentication
*password_authentication*,informational,1,authentication
*mfa_*,informational,1,authentication
*ota_*,informational,1,authentication
*prelogin_*,informational,1,authentication
*token_verification*,informational,1,authentication
*token_extension*,informational,1,authentication
*password_reset*,medium,3,authentication
*password_generate*,medium,3,authentication
*mobile_*,informational,1,authentication
*session_connected*,informational,1,session
*session_start*,informational,1,session
*session_created*,informational,1,session
*session_init*,informational,1,session
*session_challenge*,informational,1,session
*session_disconnect*,informational,1,session
*session_end*,informational,1,session
*session_reconnect*,informational,1,session
*session_denied*,high,4,session
*vault_field_unlock*,medium,3,vault
*vault_field_copy*,medium,3,vault
*vault_record_create*,informational,1,vault
*vault_record_update*,informational,1,vault
*vault_record_delete*,medium,3,vault
*vault_folder_*,informational,1,vault
*vault_password_rotation*,informational,1,vault
*collaboration_record_reveal_secret*,medium,3,vault
*collaboration_record_*,informational,1,vault
*collaboration_folder_*,informational,1,vault
*personal_*,informational,1,vault
*deleted_record_permanent_delete*,medium,3,vault
*deleted_record_restore*,informational,1,vault
*deleted_folder_*,informational,1,vault
*usermanagement_user_*,medium,3,change
*usermanagement_group_*,medium,3,change
*usermanagement_team_*,medium,3,change
*usermanagement_roleandpermission_*,high,4,change
*usermanagement_identitypolicy_*,high,4,change
*usermanagement_externalaccesspolicy_*,high,4,change
*authentication_profile_*,medium,3,change
*authentication_securityquestion_*,medium,3,change
*userdirectory_*,medium,3,change
*networksegment_*,medium,3,change
*virtualinfrastructure_*,medium,3,change
*replacement_message_*,informational,1,change
*access_control_*,high,4,policy
*resource_setup_*,medium,3,policy
*data_protection_*,medium,3,policy
*dns_filter_*,medium,3,policy
*virtual_firewall_*,medium,3,policy
*file_control_*,medium,3,policy
*web_filter_*,medium,3,policy
*command_blocking_*,medium,3,policy
*connection_profiles_*,medium,3,policy
*setting_update*,medium,3,system
*snmp_update*,informational,1,system
*syslog_update*,informational,1,system
*tenant_*,high,4,system
*connector_register*,informational,1,connector
*connector_authenticate*,informational,1,connector
*connector_revoke*,high,4,connector
*connector_logout*,informational,1,connector
*connector_posture*,informational,1,connector
*connector_ca_sync*,informational,1,connector
*connector_fleet_revoke*,high,4,connector
*connector_fleet_delete*,high,4,connector
*connector_vault_unlock*,medium,3,connector
*asset_request_*,informational,1,workflow
*asset_approval_approve*,informational,1,workflow
*asset_approval_reject*,high,4,workflow
*asset_approval_revoke*,high,4,workflow
*login_request_*,informational,1,workflow
*login_approval_approve*,informational,1,workflow
*login_approval_reject*,high,4,workflow
*login_approval_revoke*,high,4,workflow
*vault_request_*,informational,1,workflow
*vault_approval_approve*,informational,1,workflow
*vault_approval_reject*,high,4,workflow
*vault_approval_revoke*,high,4,workflow
*hook_policy_*,medium,3,hook
*hook_quorum_request_approve*,informational,1,hook
*hook_quorum_request_reject*,high,4,hook
*hook_quorum_request_veto*,high,4,hook
*hook_execution*,informational,1,hook
*hook_execution_failed*,high,4,hook
*hook_execution_blocked*,high,4,hook
*formtemplate_*,informational,1,automation
*webapp_*,informational,1,automation
*task_*,informational,1,automation
*pipeline_*,informational,1,automation
*fabric_pool_*,medium,3,fabric
*fabric_gateway_*,medium,3,fabric
*proxygate_*,medium,3,fabric
*ztna_*,medium,3,fabric
*device_*,informational,1,inventory
*application_*,informational,1,inventory
*discovery_*,informational,1,inventory
*saml_initiate*,informational,1,authentication
*saml_callback*,informational,1,authentication
*saml_validate*,informational,1,authentication
*saml_logout*,informational,1,authentication
*hsm_config_save*,high,4,system
*hsm_config_delete*,critical,5,system
*hsm_test_connection*,informational,1,system
*hsm_generate_key*,critical,5,system
*hsm_enable*,critical,5,system
*hsm_disable*,critical,5,system
*hsm_mode_change*,critical,5,system
