process,vendor_message,vendor_class,action,status,severity
scb/web,Authentication error,system-authentication,failure,,
scb/web,Configuration is changed,system-change-management,modified,success,
scb/web,Element at*changed*,system-change-management,modified,success,
scb/web,Element removed:*,system-change-management,deleted,success,
scb/web,New element added:*,system-change-management,created,success,
zorp/scb_*,Address removed from interface,system-netiface-state,,started,
zorp/scb_*,Address added to interface,system-netif-state,,started,
zorp/scb_*,Interface added,system-netif-state,,started,
zorp/scb_*,Interface info updated,system-netif-state,,started,
zorp/scb_*,Starting up,system-process-state,,started,
zorp/scb_*,Starting service,system-service-state,,started,
zorp/scb_*,Shutting down,system-process-state,,stopped,
zorp/scb_*,Audit event was recognized,proxy-connection-audit,created,,
zorp/scb_*,User authentication successful,proxy-authentication,success,,
zorp/scb_*,Authentication failed,proxy-authentication,failure,,
zorp/scb_*,Incoming username in client info,proxy-authentication,unknown,,
zorp/scb_*,Replacing username in client info,proxy-authentication,unknown,,
zorp/scb_*,Starting connection,proxy-connection-start,added,,
zorp/scb_*,Closing connection,proxy-connection-end,,,
zorp/scb_*,Server connection established,proxy-instance-ready,added,,
zorp/scb_*,Starting proxy instance,proxy-instance-start,added,,
zorp/scb_*,Ending proxy instance,proxy-instance-end,,,
zorp/scb_*,Stream read error,proxy-connection-error,,,
zorp/scb_*,Stream read failed,proxy-connection-error,,,
zorp/scb_*,Connection needs to be terminated,proxy-connection-violation,,,
zorp/scb_*,Starting new channel rejected by policy,proxy-connection-violation,,,
zorp/scb_*,"Error writing audit trail, exiting",proxy-connection-error,,,
zorp/scb_*,New command is detected,proxy-connection-audit,,,
zorp/scb_*,Policy accepted channel,policy-alert,,alert,informational
zorp/scb_*,Starting command rejected by policy,policy-alert,,alert,high
zorp/scb_*,Policy rejected channel,policy-alert,,alert,high
zorp/scb_*,No rule has matched,policy-alert,,alert,high
zorp/scb_*,Policy rejected device,policy-alert,,alert,high
zorp/scb_*,This request type is not permitted in transparent mode,policy-alert,,alert,high
zorp/scb_*,No 'Host:' header in request, and policy requires this,policy-alert,,alert,high
zorp/scb_*,Policy callback returned invalid verdict,policy-alert,,alert,high
zorp/scb_*,Starting audit trail file,proxy-trail-audit,,,informational,
zorp/scb_*,Channel accepted,proxy-channel-start,,,,
zorp/scb_ssh,Opening direct-tcpip channel rejected by policy,policy-alert,,alert,high
zorp/scb_ssh,Unable to receive signed key from ssh agent,proxy-authentication,failure,,
indexerservice,Adding job to waiting queue,indexer,,,,
indexerservice,Worker selected for job,indexer,,,,
indexerservice,Scheduler: can not find any worker which can decrypt the trail,indexer,,,,
indexerservice,Adding job to completed queue,indexer,,,,
indexerservice,Adding job to failed queue,indexer,,,,
indexerservice,Deleting jobs,indexer,,,,
indexerservice,Delete jobs,indexer,,,,
indexer.jobgenerator,Index job finished,indexer,,,,
indexer.jobgenerator,Job id received for index job,indexer,,,,
indexer.jobgenerator,Adding index job to waiting completed jobs,indexer,,,,
indexer.jobgenerator,Index job finished,indexer,,,,
indexer.jobgenerator,Submitting new index job,indexer,,,,
