EventCode,Source_Network_Address,Target_Server_Name,Logon_Type,log_subtype,app
552,,,,,win:remote
4648,,,,,win:remote
,127.0.0.1,,,,win:local
,::1,,,,win:local
,,localhost,,,win:local
,,,0,Logon,win:unknown
,,,1,Logon,win:unknown
,,,2,Logon,win:local
,,,3,Logon,win:remote
,,,4,Logon,win:local
,,,5,Logon,win:local
,,,6,Logon,win:local
,,,7,Logon,win:local
,,,8,Logon,win:remote
,,,9,Logon,win:local
,,,10,Logon,win:remote
,,,11,Logon,win:local
,,,-,Logon,win:unknown
,,,-,Security,win:unknown
