name,class,version,read,write,center,count,domainMin,domainMax,numConcepts,size,type,notes,format,uom,search,width,alfacut,concept,shape,points
SignalSeverity,"",1499375979,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map signal severity",v4,"Severity","",0.0000,0.1000,minimal,curvedecrease,0.0000|12.5000|25.0000
SignalSeverity,"",1499375979,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map signal severity",v4,"Severity","",0.0000,0.1000,low,pi,0.0000|12.5000|25.0000|37.5000|50.0000
SignalSeverity,"",1499375979,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map signal severity",v4,"Severity","",0.0000,0.1000,medium,pi,25.0000|37.5000|50.0000|62.5000|75.0000
SignalSeverity,"",1499375979,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map signal severity",v4,"Severity","",0.0000,0.1000,high,pi,50.0000|62.5000|75.0000|87.5000|100.0000
SignalSeverity,"",1499375979,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map signal severity",v4,"Severity","",0.0000,0.1000,extreme,curveincrease,75.0000|87.5000|100.0000
ThreatSeverity,"",1499375853,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map threat severity",v4,"Risk","",0.0000,0.1000,information,curvedecrease,0.0000|12.5000|25.0000
ThreatSeverity,"",1499375853,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map threat severity",v4,"Risk","",0.0000,0.1000,low,pi,0.0000|12.5000|25.0000|37.5000|50.0000
ThreatSeverity,"",1499375853,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map threat severity",v4,"Risk","",0.0000,0.1000,medium,pi,25.0000|37.5000|50.0000|62.5000|75.0000
ThreatSeverity,"",1499375853,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map threat severity",v4,"Risk","",0.0000,0.1000,high,pi,50.0000|62.5000|75.0000|87.5000|100.0000
ThreatSeverity,"",1499375853,*,*,0.0000,0,0.0000,100.0000,5,0.0000,domain,"Used to map threat severity",v4,"Risk","",0.0000,0.1000,critical,curveincrease,75.0000|87.5000|100.0000
CIX,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"General context for CIX values",v4,"CIX","",0.0000,0.1000,minimal,curvedecrease,0.0000|0.1250|0.2500
CIX,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"General context for CIX values",v4,"CIX","",0.0000,0.1000,low,pi,0.0000|0.1250|0.2500|0.3750|0.5000
CIX,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"General context for CIX values",v4,"CIX","",0.0000,0.1000,medium,pi,0.2500|0.3750|0.5000|0.6250|0.7500
CIX,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"General context for CIX values",v4,"CIX","",0.0000,0.1000,high,pi,0.5000|0.6250|0.7500|0.8750|1.0000
CIX,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"General context for CIX values",v4,"CIX","",0.0000,0.1000,extreme,curveincrease,0.7500|0.8750|1.0000
Relevancy,"",1481668076,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for CIX values in Relevancy Graphs",v4,"Relevancy","",0.0000,0.1000,minimal,curvedecrease,0.0000|0.1250|0.2500
Relevancy,"",1481668076,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for CIX values in Relevancy Graphs",v4,"Relevancy","",0.0000,0.1000,low,pi,0.0000|0.1250|0.2500|0.3750|0.5000
Relevancy,"",1481668076,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for CIX values in Relevancy Graphs",v4,"Relevancy","",0.0000,0.1000,medium,pi,0.2500|0.3750|0.5000|0.6250|0.7500
Relevancy,"",1481668076,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for CIX values in Relevancy Graphs",v4,"Relevancy","",0.0000,0.1000,high,pi,0.5000|0.6250|0.7500|0.8750|1.0000
Relevancy,"",1481668076,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for CIX values in Relevancy Graphs",v4,"Relevancy","",0.0000,0.1000,extreme,curveincrease,0.7500|0.8750|1.0000
ThreatModelTrust,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for scaling actor risk using model trust. This context is used to look-up model trust scaling factor which is then applied to actor risk.",v4,"CIX","",0.0000,0.1000,minimal,curvedecrease,0.0000|0.1250|0.2500
ThreatModelTrust,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for scaling actor risk using model trust. This context is used to look-up model trust scaling factor which is then applied to actor risk.",v4,"CIX","",0.0000,0.1000,low,pi,0.0000|0.1250|0.2500|0.3750|0.5000
