Port,Device IP,Device MAC,Switch,First Detected on Port,Last Detected on Port
Fa4/0/1,192.168.0.5,00:08:e3:19:94:80,192.168.0.2,No Data Available,No Data Available
Fa4/0/13,192.168.0.3,00:16:47:15:82:80,192.168.0.2,No Data Available,No Data Available
Fa4/0/14,192.168.0.9,00:c0:b7:74:e5:e8,192.168.0.2,1397218548,1398438873
Fa4/0/16,192.168.0.40,00:0e:0c:67:75:fa,192.168.0.2,1381508668,1392638622
Fa4/0/17,192.168.0.123,74:2b:62:80:7b:41,192.168.0.2,1398413665,1398438873
Fa4/0/17,192.168.0.130,74:2b:62:94:25:e9,192.168.0.2,1398410064,1398438873
Fa4/0/19,192.168.0.130,74:2b:62:94:25:e9,192.168.0.2,1397659232,1397666433
Fa4/0/21,192.168.0.13,00:11:43:de:86:a0,192.168.0.2,1398312837,1398438873
Fa4/0/23,192.168.0.20,00:0b:db:e6:d6:cf,192.168.0.2,1397218548,1398438873
Fa4/0/25,192.168.0.40,00:0e:0c:67:75:fa,192.168.0.2,1397218548,1397240576
Fa4/0/31,192.168.0.1,00:1e:13:4e:9f:f6,192.168.0.2,1397218548,1398438873
Fa4/0/31,212.50.189.18,00:1e:13:4e:9f:f6,192.168.0.2,1397218548,1398438873
Fa4/0/33,192.168.0.116,00:21:70:c5:1c:77,192.168.0.2,1398413665,1398438873
Fa4/0/35,192.168.0.16,00:04:23:af:65:ff,192.168.0.2,1394809543,1397207745
Fa4/0/37,192.168.0.10,f0:1f:af:ce:f9:dc,192.168.0.2,1397218548,1397577814
Fa4/0/38,192.168.0.11,00:c0:9f:3a:ed:fc,192.168.0.2,1397218548,1398438873
Fa4/0/45,192.168.0.105,00:26:b0:f8:2a:22,192.168.0.2,1398327241,1398438873
Fa4/0/46,192.168.0.10,f0:1f:af:ce:f9:dc,192.168.0.2,1397581415,1398438873
Fa4,192.168.0.120,00:21:86:5a:e0:a9,192.168.0.3,1396809352,1397204142
Fa5,192.168.0.108,94:de:80:50:50:ba,192.168.0.3,1398417265,1398438871
Fa6,192.168.0.144,8c:89:a5:a5:2c:7e,192.168.0.3,1398327239,1398438871
Fa10,192.168.0.108,94:de:80:50:50:ba,192.168.0.3,1392631418,1392638620
Fa18,192.168.0.10,00:26:55:ed:6e:e0,192.168.0.3,1379077893,1395285016
Fa20,192.168.0.38,00:1e:0b:1a:f9:48,192.168.0.3,1395393038,1398438871
Fa21,192.168.0.103,f0:de:f1:c6:2f:8e,192.168.0.3,1398413663,1398438871
Fa23,192.168.0.39,2c:76:8a:ce:f6:95,192.168.0.3,1395393038,1398438871
Fa24,192.168.0.2,00:18:73:ef:c6:80,192.168.0.3,No Data Available,No Data Available
00-15-70-CA-D2-0E:R2,192.168.0.102,00:23:4e:07:89:3d,192.168.0.41,1392627821,1392627821
Fa0/1,192.168.0.2,00:18:73:ef:c6:80,192.168.0.5,No Data Available,No Data Available
