APP,"Deployment_Type",Description,"LM_apps","MC_apps","DS_apps","DS_deployment_apps","IDX_apps","IDX_Peer_Node_apps","CM_apps","CM_manager_apps","SH_apps","SHCD_apps","SH_Cluster_Member_apps","SHCD_shcluster_apps","SHCD_shcluster_users","HFWD_nix_apps","HFWD_nix_DS_SC","HFWD_WIN_apps","HFWD_WIN_DS_SC","FWD_nix_apps","FWD_nix_DS_SC","FWD_WIN_apps","FWD_WIN_DS_SC","SN_apps"
"TA-org_splunk","1. Single Node Install","TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting.",,,"YES!","YES!",,,,,,,,,,,YES,,YES,,,,,YES
"org_all_app_props","1. Single Node Install","Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle.",,,,,,,,,,,,,,,,,,,,,,"YES!"
"org_all_indexes","1. Single Node Install","Put all customer (and default) indexes here.
Index definitions",,,,,,,,,"YES!",,,,,,,,,,,,,"YES!"
"org_all_search_base","1. Single Node Install","If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)",,,,,,,,,,,,,,,,,,,,,,"YES!"
"org_dept_app_inputs","1. Single Node Install","This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer.",,,,,,,,,,,,,,,,,,,,,,
"org_indexer_volume_indexes","1. Single Node Install","Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app.",,,,,,,,,,,,,,,,,,,,,,"YES!"
"TA-org_splunk","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting.",,"YES!","YES!","YES!","YES!",,,,"YES!",,,,,,YES,,YES,,,,,
"org_all_app_props","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle.",,,,"YES!",YES,,,,YES,,,,,,YES,,YES,,YES,,YES,
"org_all_deploymentclient","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients.",,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,
"org_all_forwarder_outputs","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","Even full instances of Splunk that are not indexers (things like the deployment server, license manager (if separate), cluster manager, etc) should forward their data to the indexing tier.
List of target indexers that gets shipped to any forwarder; this way, all data makes it to the indexer pool, and there’s only one place to edit when the indexer list changes.","YES!","YES!","YES!","YES!",,,,,"YES!",,,,,,YES,,YES,,YES,,YES,
"org_all_indexer_base","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","This primes the host to act as an indexer. Optionally disable the web interface.
Baseline settings for an indexer, such as input port, disabling Splunkweb, etc.  In larger environments, where there are more than, say, three indexers, it's common to disable the Splunk UI. This helps avoid configuration issues caused by logging in to the UI to do something directly via the manager, as well as saving some system resources.",,,,,"YES!",,,,,,,,,,,,,,,,,
"org_all_indexes","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","Put all customer (and default) indexes here.
Index definitions",,,,,"YES!",,,,"YES!",,,,,,,,,,,,,
"org_all_search_base","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)","YES!","YES!","YES!","YES!",,,,,"YES!",,,,,,YES,,YES,,,,,
"org_all_syslog_inputs","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"org_all_unix_inputs","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"org_all_windows_inputs","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"org_dept_app_inputs","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer.",,,,"YES!",,,,,,,,,,,,,,,YES,,YES,
"org_full_license_server","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster manager are licensed functionalities (for example).
Location of the license manager.  In distributed environments, it's common to have a lone search head acting as the license manager as well. In this configuration, providing the URI of the license manager is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same.",,"YES!","YES!","YES!","YES!",,,,"YES!",,,,,,YES,,YES,,,,,
"org_indexer_volume_indexes","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app.",,,,,"YES!",,,,,,,,,,,,,,,,,
"org_search_volume_indexes","2. Non-clustered Indexers & Non-clustered SHs (Single-Site)","The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally).",,"YES!",,"YES!",,,,,"YES!",,,,,,,,,,,,,
"TA-org_splunk","3. Clustered Indexers and Non-clustered SHs (Single Site)","TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting.",,"YES!","YES!","YES!","YES!",,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,
"org_all_app_props","3. Clustered Indexers and Non-clustered SHs (Single Site)","Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle.",,,,"YES!",,,,"YES!","YES!",,,,,,YES,,YES,,YES,,YES,
"org_all_deploymentclient","3. Clustered Indexers and Non-clustered SHs (Single Site)","Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients.",,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,
"org_all_indexes","3. Clustered Indexers and Non-clustered SHs (Single Site)","Put all customer (and default) indexes here.
Index definitions",,,,,,,,"YES!","YES!",,,,,,,,,,,,,
"org_all_search_base","3. Clustered Indexers and Non-clustered SHs (Single Site)","If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)","YES!","YES!","YES!","YES!",,,"YES!",,,,,,,,YES,,YES,,,,,
"org_all_syslog_inputs","3. Clustered Indexers and Non-clustered SHs (Single Site)",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"org_all_unix_inputs","3. Clustered Indexers and Non-clustered SHs (Single Site)",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"org_all_windows_inputs","3. Clustered Indexers and Non-clustered SHs (Single Site)",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"org_cluster_forwarder_outputs","3. Clustered Indexers and Non-clustered SHs (Single Site)","If the customer has strict requirements about data integrity, this app layers on with org_all_forwarder_outputs to increase the size of the output queue and set the ""useAck"" flag.
Forward all data to the primary_indexers group of Indexers
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed",,"YES!","YES!","YES!",,,"YES!",,"YES!",,,,,,YES,,YES,,YES,,YES,
"org_cluster_indexer_base","3. Clustered Indexers and Non-clustered SHs (Single Site)","This primes the indexer to act as an indexing member of a cluster. The location of the manager and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,"YES!",,,,,,,,,,,,,,,,
