Index,Component,Sub_Component,Field_Display_Name,Field_Name,Default,Field_Description
Search job inspector,Search job properties,,,*,,The Search job properties fields provide information about the search job. The Search job properties fields are listed in alphabetical order.
Search job inspector,Execution costs of dispatched searches,dispatch.stream.remote,,<peer>,,Per-peer breakout of dispatch.stream.remote.
_introspection,splunk_resource_usage,,Time,_time,,The time that the search was started.
_internal,scheduler,,Time,_time,,The time that the search was started.
_audit,audittrail,,Time,_time,,The time that the search was started.
_introspection,splunk_resource_usage,data.search_props,Acceleration ID,acceleration_id,,Data Model or Reporting Acceleration Acceleration ID
CIM,,,,access_count,,The number of times the data model summary has been accessed since it was created.
CIM,,,,access_time,,The timestamp of the most recent access of the data model summary.
CIM,,,,action_mode,,"Specifies whether the action was executed as an ad hoc action or from a saved search, based on whether a search_name exists."
CIM,,,,action_name,,The name of the action.
CIM,,,,action_status,,"The status of the action. For example, ""success"", ""failure"", or ""pending""."
_internal,scheduler,,Alert Actions,alert_actions,,"The Alert or Trigger Action performed when the Trigger condition is meet. Examples:
email,logevent,lookup,outputtelemetry,script
logevent,lookup,outputtelemetry
outputtelemetry
populate_lookup"
savedsearches.conf,,,,alert_severity,,
savedsearches.conf,,,,alert_track,,
savedsearches.conf,,,,alert_type,,
savedsearches.conf,,,,allow_skew,,"allow_skew = <percentage>|<duration-specifier>
* Lets the search scheduler randomly distribute scheduled searches more evenly over the scheduled time periods.
* When set to non-zero for searches with the following cron_schedule values, the search scheduler randomly ""skews"" the second, minute, and hour that the search actually runs on: * * * * * Every minute. */M * * * * Every M minutes (M > 0). 0 * * * * Every hour. 0 */H * * * Every H hours (H > 0). 0 0 * * * Every day (at midnight).
* When set to non-zero for a search that has any other 'cron_schedule' setting, the search scheduler can only randomly skew the second that the search runs on.
* The amount of skew for a specific search remains constant between edits of the search.
* To specify a percentage: Use an integer value followed by the percent '%' symbol. This specifies the maximum amount of time to skew, as a percentage of the scheduled search period.
* To specify a duration: Use <integer><timescale> to specify a maximum duration. Supported units are: m, min, minute, mins, minutes h, hr, hour, hrs, hours d, day, days The <timescale> is required and can be omitted only when <integer> is 0.
* Skew examples: 100% (For an every-5-minute search = 5 minutes maximum) 50% (For an every-1-minute search = 30 seconds maximum) 5m = 5 minutes maximum 1h = 1 hour maximum
* A value of 0 does not allow a skew to occur.
* Default: 0"
_audit,audittrail,,"The earliest time of the API call, which is the earliest time for which events were requested. Time range passed down from API args, before any search-based time modifiers",api_et,,"The earliest time of the API call, which is the earliest time for which events were requested. Time range passed down from API args, before any search-based time modifiers"
_audit,audittrail,,"The latest time of the API call, which is the latest time for which events were requested. Time range passed down from API args, before any search-based time modifiers",api_lt,,"The latest time of the API call, which is the latest time for which events were requested. Time range passed down from API args, before any search-based time modifiers"
_introspection,splunk_resource_usage,data.search_props,App,app,,App name
_internal,scheduler,,App,app,,App name
CIM,,,,app,,"The app name which contains the view.
The application context in which the data model summary was accessed.
The app context in which the scheduled search was run.
The app ID of the app or add-on that owns the action."
Introspection,PerProcess,,Non-search process arguments,args,Access operating system resource utilization information.,Non-search process arguments.
_introspection,splunk_resource_usage,,,args,,Non-search process arguments.
savedsearches.conf,,,,auto_summarize,,
_audit,audittrail,,Available Count,available_count,,The number of events that are available for export.
Introspection,iostats,,"Average time requests caused the CPU to be in use, in milliseconds",avg_service_ms,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.","Average time requests caused the CPU to be in use, in milliseconds."
Introspection,iostats,,"Average queue + execution time for requests to be completed, in milliseconds",avg_total_ms,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.","Average queue + execution time for requests to be completed, in milliseconds."
CIM,,,,buckets,,The number of index buckets spanned by the data model acceleration summary.
CIM,,,,buckets_size,,The total size of the bucket(s) spanned by the data model acceleration summary.
Search job inspector,Execution costs of search commands,command.search.expand_search,,calcfield,,Calculated fields - EVAL in props.conf
Search job inspector,Search job properties,,,canSummarize,,
REST,Authorization,Roles,Role-level Capabilities,capabilities,,List of capabilities assigned to this role.
Search job inspector,Execution costs of dispatched searches,dispatch,,check_disk_usage,,The time spent checking the disk usage of this job.
CIM,,,,complete,,The percentage of the data model summary that is currently complete.
CIM,,,,component,,The component of the modular action script involved in the event. Often used in conjunction with duration.
_internal,scheduler,,Concurrency Category,concurrency_category,,"One of :
historical
historical_scheduled
real-time
real-time_scheduled
summarization"
_internal,scheduler,,Concurrency Context,concurrency_context,,"One of:
Instance-wide - auto-summary
Instance-wide - historical
Instance-wide - real-time
Instance-wide - scheduled historical
Instance-wide - scheduled real-time
Instance-wide, search-based
Role-based - historical
Role-based - real-time
SHC-wide - auto-summary
SHC-wide - historical
SHC-wide - real-time
SHC-wide - scheduled historical
SHC-wide - scheduled real-time
SHC-wide, search-based
SHC-wide, user-based - historical
SHC-wide, user-based - real-time
User-based - real-time"
_internal,scheduler,,Concurrency Limit,concurrency_limit,,
Search job inspector,Execution costs of search commands,startup,,configuration,,
_audit,audittrail,,Considered Events,considered_events,,Total events in considered buckets (searched - eliminated).
Introspection,hostwide,,CPU architecture,cpu_arch,Access host-level dynamic CPU utilization and paging information,CPU architecture
Introspection,hostwide,,CPU count,cpu_count,Access host-level dynamic CPU utilization and paging information.,CPU count
Introspection,hostwide,,Percentage of time CPU is idle,cpu_idle_pct,Access host-level dynamic CPU utilization and paging information.,Percentage of time CPU is idle. Value reported as 100.0 on Windows except for Vista+ and XP/Win2003 English-only operating systems.
Introspection,iostats,,Percentage of time the CPU was servicing requests,cpu_pct,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.",Percentage of time the CPU was servicing requests.
Introspection,hostwide,,Percentage of time CPU is running in system mode,cpu_system_pct,Access host-level dynamic CPU utilization and paging information.,Percentage of time CPU is running in system mode. Missing from Windows except for Vista+ and XP/Win2003 English-only operating systems.
Introspection,PerProcess,,Cumulative time this process has spent executing in kernel (incl. system calls),cpu_system_time,Access operating system resource utilization information.,Cumulative time this process has spent executing in kernel (incl. system calls). Extra field.
_introspection,splunk_resource_usage,,Cumulative time this process has spent executing in kernel,cpu_system_time,,Cumulative time this process has spent executing in kernel (incl. system calls). Extra field.
Introspection,hostwide,,Percentage of time CPU is running in user mode,cpu_user_pct,Access host-level dynamic CPU utilization and paging information.,Percentage of time CPU is running in user mode. Missing from Windows except for Vista+ and XP/Win2003 English-only operating systems.
_introspection,splunk_resource_usage,,,cpu_user_time,,Cumulative time this process has spent executing in user space (incl. library functions). Extra field.
Introspection,PerProcess,,Cumulative time this process has spent executing in user space (incl. library functions),cpu_user_time,Access operating system resource utilization information.,Cumulative time this process has spent executing in user space (incl. library functions). Extra field.
Search job inspector,Execution costs of dispatched searches,dispatch,,createdSearchResultInfrastructure,,The time to create and set up the collectors for each peer and execute the HTTP post to each peer.
Search job inspector,Search job properties,,,createTime,,
CIM,,,,cron,,The cron expression used to accelerate the data model.
savedsearches.conf,,,,cron_schedule,,
REST,Authorization,Roles,Role-level Concurrent Real-Time Search job limit,cumulativeRTSrchJobsQuota,,Maximum number of concurrently running real-time searches for all role members. A warning message is logged when this limit is reached. Note: If a user belongs to multiple roles then the user first consumes searches from the roles with the largest cumulative search quota. When the quota of a role is completely used up then roles with
REST,Authorization,Roles,Role-level Concurrent Search job limit,cumulativeSrchJobsQuota,,Maximum number of concurrently running searches for all role members. A warning message is logged when this limit is reached. Note: If a user belongs to multiple roles then the user first consumes searches from the roles with the largest cumulative search quota. When the quota of a role is completely used up then roles with lower quotas are examined.
Search job inspector,Search job properties,,,cursorTime,,The earliest time from which no events are later scanned. Can be used to indicate progress. See description for doneProgress.
Search job inspector,Search job properties,,,custom,,
_audit,audittrail,,Datamodel,datamodel,,Derived from savedsearch_name
CIM,,,,datamodel,,The name of the data model accelerated.
_audit,audittrail,,Decompressed Slices,decompressed_slices,,"How many slices were decompressed to fetch the raw events from (i.e., after searching in tsidx, we know exactly which slices to decompress to get the raw events). The larger the difference between this field and total_slices, the sparser the search. Slices: Collection of compressed (gzipped) blocks, called slices,
Concatenated together in a rawdata/journal.gz
Think “cat chunkA.gzchunkB.gz...chunkN.gz> journal.gz”).
Slices contain the actual raw events.
Pool of concatenated slices allows be seeked into
Locations offsets are pointed to by the values array pointers in tsidx.
Such organization allows us to zoom in to the right slice
reduces the amount of decompression time & volume compared to having a single, massive rawdatafile."
REST,HEC,,Number,dedicatedIoThreads,2,Number of threads used by HTTP Input server.
REST,Authorization,Roles,Default App,defaultApp,,Specify the folder name of the default app to use for this role. A user-specific default app overrides this.
Search job inspector,Search job properties,,,defaultSaveTTL,,
Search job inspector,Search job properties,,,defaultTTL,,
Search job inspector,Search job properties,,,delegate,,"For saved searches, specifies jobs that were started by the user. Defaults to scheduler."
REST,Authorization,Roles,Delete Indexes Allowed,deleteIndexesAllowed,,
_introspection,splunk_resource_usage,data.search_props,Delta Scan Count,delta_scan_count,,Delta event scan count for running process. Available only in Linux systems. This property is offered experimentally and might be changed or removed in a future release.
Introspection,iostats,,"Device name (e.g., as listed under /dev on UNIX)",device,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.","Device name (e.g., as listed under /dev on UNIX)."
CIM,,,,digest,,A hash of the current data model constraints.
REST,HEC,,,disabled,1,"Input disabled indicator:0= Input Not disabled,1= Input disabled."
Search job inspector,Search job properties,,,diskUsage,,"The total amount of disk space used, in bytes."
_internal,scheduler,,Dispatch Time,dispatch_time,,The execution time of the savedsearch in integer quantity of seconds into the Unix epoch.
Search job inspector,Search job properties,dispatch,,dispatchState,,"The state of the search. Can be any of QUEUED, PARSING, RUNNING, PAUSED, FINALIZING, FAILED, or DONE."
Search job inspector,Search job properties,,,doneProgress,,A number between 0 and 1.0 that indicates the approximate progress of the search.doneProgress = (latestTime – cursorTime) / (latestTime – earliestTime)
_audit,audittrail,,"In real-time searches only, the number of possible events dropped due to queue size.",drop_count,,"In real-time searches only, the number of possible events dropped due to queue size."
Search job inspector,Search job properties,,,dropCount,,"For real-time searches only, the number of possible events that were dropped due to the rt_queue_size (defaults to 100000)."
CIM,,,,duration,,"How long the action took to complete, in milliseconds."
Search job inspector,Search job properties,,,eai:acl,,"Describes the app and user-level permissions. For example, is the app shared globally, and what users can run or view the search?"
CIM,,,,earliest,,The earliest time that the data model summary was accessed.
Search job inspector,Execution costs of dispatched searches,dispatch,,earliest_time,,Specifies the earliest time for this search. Can be a relative or absolute time. The default is an empty string.
Search job inspector,Search job properties,,,earliestTime,,The earliest time a search job is configured to start. Can be used to indicate progress. See description for doneProgress.
_introspection,splunk_resource_usage,data,Total Run Time,elapsed,,"Elapsed wall time, accurate to within the collection period."
Introspection,PerProcess,,"Elapsed wall time, accurate to within the collection period",elapsed,Access operating system resource utilization information.,"Elapsed wall time, accurate to within the collection period."
_internal,splunkd_remote_searches,,"The amount of time the indexer spent working on this search. Includes time spent waiting for search head to receive data, so not exactly the time spent working, but it's the closest thing we have.",elapsedTime,,"The amount of time the indexer spent working on this search. Includes time spent waiting for search head to receive data, so not exactly the time spent working, but it's the closest thing we have."
_audit,audittrail,,Eliminated Buckets,eliminated_buckets,,"Buckets eliminated by bloom filter (we never looked at tsidx index). The more buckets eliminated, the sparser the search. See http://docs.splunk.com/Documentation/Splunk/latest/Search/Aboutsearch for more information about types of searches. How many of those that were eliminated (usually by bloom filters)."
Search job inspector,Execution costs of dispatched searches,dispatch,,emit_prereport_files,,"When running a transforming search, Splunk Enterprise cannot compute the statistical results of the report until the search completes. After it fetches events from the search peers (dispatch.fetch), it, writes out the results to local files. dispatch.emit_prereport_files provides the time that it takes for Splunk Enterprise to write the transforming search results to those local files."
Identities,,,,emp_bunit,,Employee Business Unit
Identities,,,,emp_cc,,Employee Cost Center
Identities,,,,emp_city,,Employee City
Identities,,,,emp_country,,Employee Country
Identities,,,,emp_dep,,Employee Department
Identities,,,,emp_endDate,,Employee Termination Date
Identities,,,,emp_first,,Employee First Name
Identities,,,,emp_floor,,Employee Floor Numner
Identities,,,,emp_last,,Employee Last Name
Identities,,,,emp_lob1,,Employee Line of  Business
Identities,,,,emp_location,,Employee Location Code
Identities,,,,emp_manager,,Employee Manager
Identities,,,,emp_name,,Employee Name
Identities,,,,emp_phone1,,Employee Phone Number
Identities,,,,emp_region,,Employee State/Region
Identities,,,,emp_startDate,,Employee Hire Date
Identities,,,,emp_status,,Employee Status
Identities,,,,emp_title,,Employee Title
Identities,,,,emp_type,,Employee Type
REST,HEC,,Boolean,enableSSL,1,"Enable SSL protocol for HTTP data input. 1 = SSL enabled, 0 = SSL disabled"
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,eval,,
Search job inspector,Search job properties,command,,eval,,Actual evals in the search string
_audit,audittrail,,Event Count,event_count,,"Number of events that were returned by the ""search"" command based on matched search terms.
This is the number of events that matched the search criteria
If the search retrieved or generated events, the count of events returned with the search."
CIM,,,,event_id,,The unique event_id for the web service error event.
Search job inspector,Search job properties,,,eventAvailableCount,,The number of events that are available for export.
Search job inspector,Search job properties,,,eventCount,,"The number of events returned by the search. In other words, this is the subset of scanned events (represented by the scanCount) that actually matches the search terms. (event_count)"
Search job inspector,Search job properties,,,eventFieldCount,,The number of fields found in the search results.
Search job inspector,Search job properties,,,eventIsStreaming,,Indicates if the events of this search are being streamed.
Search job inspector,Search job properties,,,eventIsTruncated,,"Indicates if events of the search have not been stored, and thus not available from the events endpoint for the search."
Search job inspector,Search job properties,,,eventSearch,,Subset of the entire search that is before any transforming commands. The timeline and events endpoint represents the result of this part of the search.
Search job inspector,Search job properties,,,eventSorting,,"Indicates if the events of this search are sorted, and in which order. asc = ascending; desc = descending; none = not sorted"
_audit,audittrail,,Dispatch Time,exec_time,,"The execution time of the search in integer quantity of seconds into the Unix epoch.
Timestamp of start of search"
Search job inspector,Search job properties,command.tstats,,execute_input,,
Search job inspector,Search job properties,command.tstats,,execute_output,,
Introspection,PerProcess,,Number of currently open files used by this process,fd_used,Access operating system resource utilization information.,Number of currently open files used by this process.
_introspection,splunk_resource_usage,data,FD Used,fd_used,,Number of currently open files used by this process.
REST,Authorization,Roles,Role Federated Providers,federatedProviders,,federated search https://docs.splunk.com/Documentation/DFS/1.1.1/DFS/Setupafederatedsearch
Search job inspector,Execution costs of dispatched searches,dispatch,,fetch,,"The time spent by the search head waiting for or fetching events from search peers. The dispatch.fetch value is different than the command.search value. The command.search value includes time spent by all indexers, which can be greater than the actual elapsed time of the search. If you have only a single node, then the dispatch.fetch and the command.search values will be similar. In a distributed environment, depending on the search, these values can be very different.
Time the SH spent waiting for the indexers to return."
Search job inspector,Search job properties,,,field summary,,Links to further information about your search. These links may not always be available
Search job inspector,Execution costs of search commands,command.search,,fieldalias,,tells how long it took to rename fields based according to props.conf.
Search job inspector,Execution costs of search commands,command.search.expand_search,,fieldaliaser,,
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,fields,,
Search job inspector,Execution costs of search commands,command,,fields,,
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,fillnull,,
Search job inspector,Search job properties,command,,fillnull,,
