Concurrency_Enforcement,Reason,Concurrency_Category,Concurrency_Context
User-based - real-time,The maximum number of concurrent real-time searches for this user based on their role quota has been reached,real-time,user
User-based - disk quota,The maximum disk usage quota for this user has been reached,,
User-based - disk quota,The maximum disk usage quota for this user on this cluster has been reached,,
"SHC-wide, user-based - real-time",The maximum number of concurrent real-time searches for this user on this cluster based on their role quota has been reached,real-time,user_cluster-wide
"SHC-wide, user-based - historical",The maximum number of concurrent historical searches for this user on this cluster based on their role quota has been reached,historical,user_cluster-wide
"SHC-wide, search-based",The maximum number of concurrent running jobs for this search on this cluster has been reached,historical or real-time,saved-search_cluster-wide
SHC-wide - scheduled real-time,The maximum number of concurrent real-time scheduled searches on this cluster has been reached,real-time_scheduled,cluster-wide
SHC-wide - scheduled historical,The maximum number of concurrent historical scheduled searches on this cluster has been reached,historical_scheduled,cluster-wide
SHC-wide - real-time,The maximum number of concurrent real-time searches on this cluster has been reached,real-time,cluster-wide
SHC-wide - historical,The maximum number of concurrent historical searches on this cluster has been reached,historical,cluster-wide
SHC-wide - auto-summary,The maximum number of concurrent auto-summarization searches on this cluster has been reached,summarization,cluster-wide
Role-based - real-time,The maximum number of concurrent real-time searches for this role has been reached,real-time,role
Role-based - historical,The maximum number of concurrent historical searches for this role has been reached,historical,role
Instance-wide - search-based,The maximum number of concurrent running jobs for this search on this instance has been reached,historical or real-time,saved-search
Instance-wide - scheduled real-time,The maximum number of concurrent real-time scheduled searches on this instance has been reached,real-time_scheduled,instance-wide
Instance-wide - scheduled historical,The maximum number of concurrent historical scheduled searches on this instance has been reached,historical_scheduled,instance-wide
Instance-wide - real-time,The maximum number of concurrent real-time searches on this instance has been reached,real-time,instance-wide
Instance-wide - historical,The maximum number of concurrent historical searches on this instance has been reached,historical,instance-wide
Instance-wide - auto-summary,The maximum number of concurrent auto-summarization searches on this instance has been reached,summarization,instance-wide
User-based - scheduled historical,The maximum number of concurrent historical searches for this user based on their role quota has been reached,historical,role
historical scheduled search,The maximum number of concurrent running jobs for this historical scheduled search on this cluster has been reached,historical_scheduled,cluster-wide
historical scheduled search,The maximum number of concurrent running jobs for this historical scheduled search on this instance has been reached,historical_scheduled,instance-wide
real-time scheduled search,The maximum number of concurrent running jobs for this real-time scheduled search on this cluster has been reached,real-time_scheduled,cluster-wide
historical scheduled search,The maximum number of concurrent scheduled searches has been reached,historical_scheduled,
Role-based - historical,The maximum number of concurrent searches has been reached for all roles,historical,
User-based - Capability,"user=<user> is not allowed to run historical scheduled search, skipping savedsearch_id=<savedsearch_id>",historical_scheduled,
Workload Management Rules,This search meets the filter conditions defined by an admission rule and will not be executed,historical_scheduled,Admission Rules
