"srch_num","srch_nme","srch_tag","srch_cat","srch_des","srch_str","srch_sts"
"IA4S-001","Get execution metrics on Dashboards","health,tracking",Dashboards,"Get execution metrics on Dashboards","`setup_summary_index_list` source=splunk_internal_web_access_idx_summary_tracker earliest=-7d@d 
| `get_dashboards_info(shcluster_label,app,view)`",
"IA4S-002","Jobs running for > Nm and investigate if Min Result Count & Max Result Count are both zero!",health,"Scheduled_Jobs","Jobs running for > Nm and investigate if Min Result Count & Max Result Count are both zero!","`setup_summary_index_list` source=splunk_internal_scheduler_jobs_idx_summary_tracker total_run_time>900 earliest=-7d@d 
| fields _time Splunk_Instance app total_run_time result_count savedsearch_name user 
| `get_shcluster_label(Splunk_Instance)` 
| fields - Splunk_Instance 
| stats Max(total_run_time) as Max_total_run_time Min(total_run_time) As Min_total_run_time Min(result_count) As Min_result_count Max(result_count) As Max_result_count count As Num_Executions by shcluster_label app user savedsearch_name 
| eval Run_Tume_Human=Max_total_run_time 
| `convert_runtime(Run_Tume_Human)` 
| `get_saved_searches_info(shcluster_label,app,savedsearch_name)` 
| eval dispatch_earliest_time=if(dispatch_earliest_time=1,""All-Time"", dispatch_earliest_time ) 
| lookup splunk_rest_data_macros_sh_kv_store_lookup shcluster_label app As app title As Macro_Reference OUTPUT definition 
| table shcluster_label app user savedsearch_name Num_Executions Min_result_count Max_result_count Min_total_run_time Max_total_run_time Run_Tume_Human savedsearch_type description author sharing cron_schedule realtime_schedule schedule_priority schedule_window updated allow_skew correlationsearch_enabled correlationsearch_label dispatch_auto_cancel dispatch_earliest_time dispatch_latest_time savedsearch_search Lookup_Reference Datamodel_Reference Macro_Reference Index_Reference Sourcetype_Reference Source_Reference Eventtype_Reference Rest_Reference",
"IA4S-003","Jobs running with no restults for extensive period of time",health,"Scheduled_Jobs","Jobs running with no results for extensive period of time","`setup_summary_index_list` source=splunk_internal_scheduler_jobs_idx_summary_tracker status=completed earliest=-7d@d
| fields _time app user savedsearch_name total_run_time result_count 
| stats
    max(total_run_time) as max_total_run_time max(result_count) as max_result_count 
    min(total_run_time) as min_total_run_time min(result_count) as min_result_count 
    count(eval(result_count==""0"")) AS No_Results
    count(eval(result_count>0)) AS With_Results
    count as total_runs
    by app user savedsearch_name
| eval pct_No_Results=round(No_Results/total_runs*100,2), pct_With_Results=round(With_Results/total_runs*100,2)
| where pct_No_Results > 50 AND pct_With_Results = 0",
"IA4S-004","Report on highest number of events by sourcetype enriched with sourcetype metadata",health,Sourcetypes,"Report on highest number of events by sourcetype enriched with sourcetype metadata","| metadata type=sourcetypes index=* 
| `get_sourcetype_info(sourcetype)` 
| table sourcetype totalCount firstTime lastTime recentTime author app sharing category rename SHOULD_LINEMERGE LINE_BREAKER TIME_PREFIX TIME_FORMAT MAX_TIMESTAMP_LOOKAHEAD TRUNCATE TZ KV_MODE EVENT_BREAKER_ENABLE EVENT_BREAKER DATETIME_CONFIG INDEXED_EXTRACTIONS LEARN_SOURCETYPE TRANSFORMS updated 
| sort 0 - totalCount",
"IA4S-005","Daily Total Index Size by Cluster By Index Over Time Trellis View report","health,indexes",Licensing,"Daily Total Index Size by Cluster By Index Over Time Trellis View report","`setup_summary_index_list` source=splunk_internal_index_license_usage_idx_summary_tracker Index_Name=""*"" idxcluster_label=""*"" earliest=-7d@d
| fields _time search_name idxcluster_label Lic_Pool Lic_Pool_Size type Index_Name Lic_Sourcetype Lic_Source Lic_Host License_Usage 
| `byte2mb(License_Usage)` 
| `byte2gb(License_Usage)` 
| `byte2tb(License_Usage)` 
| where License_Usage_MB>=0 
| bin _time span=1d 
| stats 
    sum(License_Usage) AS License_Usage
    by _time idxcluster_label Index_Name 
| timechart
    sum(License_Usage) AS License_Usage
    by Index_Name fixedrange=f span=1d 
| foreach ""*"" 
    [ eval <<FIELD>>=round('<<FIELD>>'/1024/1024/1024, 3)]",
"IA4S-006","Jobs Drifited from golden configuration",changes,"Scheduled_Jobs","Jobs Drifted from golden configuration","`setup_summary_index_list` source=""splunk_rest_saved_searches_sh_summary_data""  app!=insights_app_splunk earliest=-30d@d latest=-7d@d
| fields shcluster_label app savedsearch_name savedsearch_type description author disabled is_scheduled sharing cron_schedule realtime_schedule schedule_priority schedule_window updated allow_skew acl_perms_read acl_perms_write correlationsearch_enabled dispatch_earliest_time dispatch_latest_time savedsearch_search 
| rename 
    updated as old_updated
    disabled AS old_disabled
    is_scheduled as old_is_scheduled 
    cron_schedule as old_cron_schedule 
    dispatch_earliest_time as old_dispatch_earliest_time
    dispatch_latest_time as old_dispatch_latest_time 
    schedule_priority as old_schedule_priority 
    schedule_window as old_schedule_window
    allow_skew as old_allow_skew
    realtime_schedule as old_realtime_schedule 
    savedsearch_type as old_savedsearch_type 
    savedsearch_search as old_savedsearch_search 
| stats latest(*) as * by shcluster_label app savedsearch_name 
| join shcluster_label app savedsearch_name 
    [ search `setup_summary_index_list` source=""splunk_rest_saved_searches_sh_summary_data"" earliest=-7d@d 
    | fields shcluster_label app savedsearch_name savedsearch_type description author disabled is_scheduled sharing cron_schedule realtime_schedule schedule_priority schedule_window updated allow_skew acl_perms_read acl_perms_write correlationsearch_enabled dispatch_earliest_time dispatch_latest_time savedsearch_search 
    | rename 
        updated AS new_updated
        disabled as new_disabled 
        is_scheduled as new_is_scheduled
        cron_schedule as new_cron_schedule 
        dispatch_earliest_time as new_dispatch_earliest_time 
        dispatch_latest_time as new_dispatch_latest_time 
        schedule_priority as new_schedule_priority
        schedule_window as new_schedule_window 
        allow_skew as new_allow_skew
        realtime_schedule as new_realtime_schedule 
        search as new_search
        savedsearch_type as new_savedsearch_type 
        savedsearch_search as new_savedsearch_search 
    | stats latest(*) as * by shcluster_label app savedsearch_name ] 
| where old_disabled!=new_disabled OR old_is_scheduled!=new_is_scheduled OR old_cron_schedule!=new_cron_schedule 
| convert ctime(*_updated) 
| table shcluster_label app savedsearch_name old_updated new_updated old_disabled new_disabled old_is_scheduled new_is_scheduled old_cron_schedule new_cron_schedule",
"IA4S-007","Find users with empty LOB information","health,identities",Dashboards,"Find users with empty LOB information","| tstats SUMMARIESONLY=TRUE ALLOW_OLD_SUMMARIES=FALSE
    count
    values(Search_Activity.Audit_Search.emp_lob11) as emp_lob1
    FROM DataModel=IA4S
    WHERE nodename=Search_Activity.Audit_Search
    BY host Search_Activity.Audit_Search.user1 
| `drop_dm_object_name(Search_Activity.Audit_Search)` 
| rename user1 As user 
| where isnull(emp_lob1) 
| stats count by user 
| search NOT 
    [| inputlookup splunk_identities_exceptions_sh_csv_lookup 
    | fields identity 
    | rename identity As user] 
| rename user as identity 
    `ia4s_comment(""| outputlookup append=true splunk_identities_exceptions_sh_csv_lookup"")`",
"IA4S-008","Provides information on knowledge bundle replication configuration on a search head","knowledge_bundle,onprem","Search_Head","Provides information on knowledge bundle replication configuration on a search head.

Usage details
See Troubleshoot knowledge bundle replication in Distributed Search. http://docs.splunk.com/Documentation/Splunk/8.0.8/DistSearch/Troubleshootknowledgebundlereplication","| rest /servicesNS/-/-/search/distributed/bundle/replication/config splunk_server=* timeout=0 
| table splunk_server title concerningReplicatedFileSize connectionTimeout maxBundleSize receiveTimeout replicationPeriod replicationPolicy replicationThreads sendTimeout statusQueueSize warnMaxBundleSizePerc",
"IA4S-009","Users Logged into the Platform Today",health,Dashboards,"Users Logged into the Platform Today","`setup_summary_index_list` source=splunk_audit_user_login_idx_summary_tracker earliest=-0d@d
| fields _time host cluster_label Splunk_Instance user login_source os_name os_version browser_name browser_version, emp_* 
| stats 
    Latest(_time) As _time
    Latest(*) As *
    BY cluster_label Splunk_Instance user
    `ia4s_comment(""| `set_geo_defaults`"")` 
| stats 
    Values(cluster_label) As cluster_label
    Latest(_time) As Latest_Activity
    Latest(*) As *
    dc(Splunk_Instance) As num_sh
    BY user 
| `ustime_format(Latest_Activity)` 
| table user Latest_Activity cluster_label num_sh emp_name emp_first emp_last login_source os_name os_version browser_name browser_version emp_email emp_title emp_city emp_region1 emp_country emp_type emp_status emp_dep emp_lob1 emp_lob2 emp_lob3 count",
"IA4S-010","Multiple indexes getting full without reaching retention policy","health,indexes,onprem","Indexer_Cluster","Multiple indexes getting full without reaching retention policy","| rest /services/data/indexes splunk_server_group=dmc_group_indexer search=""totalEventCount!=0""
| eval coldPath.maxDataSizeMB=if('coldPath.maxDataSizeMB' = 0, null(), 'coldPath.maxDataSizeMB')
| eval homePath.maxDataSizeMB=if('homePath.maxDataSizeMB' = 0, null(), 'homePath.maxDataSizeMB')
| eval roof=min((coalesce('homePath.maxDataSizeMB', 4294967295) + coalesce('coldPath.maxDataSizeMB', 4294967295)), maxTotalDataSizeMB)
| eval span=tostring(currentDBSizeMB) + "" / "" + tostring(roof) + "" MB""
| eval PercentFull=tostring(round(currentDBSizeMB * 100 / roof)) + ""%""
| eval ""Total Events""=tostring(totalEventCount,""commas"")
| stats first(span) AS ""Capacity vs Limit"" by splunk_server title minTime maxTime ""Total Events"" PercentFull
| rename splunk_server AS Indexer title AS Index minTime AS ""Oldest Event"" maxTime AS ""Newest Event""
| table Indexer Index ""Capacity vs Limit"" ""Oldest Event"" ""Newest Event"" ""Total Events"" PercentFull
| sort Index, Indexer, -PercentFull
| where match(PercentFull, ""^(10|9|8).%"")",
