number,id,kpi_name,description,category,subcategory,quotient_type,feasibility,impact
01,AdKpi01,num_indexers,Number of indexers in the Splunk ecosystem,Architecture,Splunk Ecosystem,Adoption,2,2
02,AdKpi02,num_forwarders,Number of forwarders in the Splunk ecosystem,Architecture,Splunk Ecosystem,Adoption,2,2
03,AdKpi03,num_search_heads,Number of search heads in the Splunk ecosystem,Architecture,Splunk Ecosystem,Adoption,2,2
04,AdKpi04,accelerated_data_models,Number of accelerated data models,Data,Data Definition,Adoption,1,2
05,AdKpi05,data_models_constrained,Number of data models constrained by indexes,Data,Data Definition,Adoption,1,3
06,AdKpi06,searches_using_tstats,Number of searches using tstats/DMA,Data,Data Definition,Adoption,2,3
07,AdKpi07,distinct_data_sources,Number of distinct data sources,Data,Data Definition,Adoption,1,2
08,AdKpi08,avg_ingest,Average ingest in GBs,Data,Data Indexing,Adoption,2,3
09,AdKpi09,avg_daily_searches,Average daily searches,Search,Search,Adoption,3,2
10,AdKpi10,avg_daily_searches_distinct,Average daily distinct searches,Search,Search,Adoption,3,2
11,AdKpi11,avg_daily_scheduled_searches,Average daily scheduled searches,Search,Search,Adoption,3,3
12,AdKpi12,total_search_concurrency,Total search concurrency,Search,Search,Adoption,2,3
13,AdKpi13,total_dashboards,Total number of dashboards,Search,Dashboard,Adoption,2,2
14,RuKpi01,high_disk_usage_count,Number of indexers reaching disk capacity,Architecture,Platform Components,RU,3,1
15,RuKpi02,components_with_issues,Number of components throwing issues in logs,Architecture,Platform Components,RU,3,2
16,RuKpi03,high_load_instance_count,Number of instances with high CPU usage,Architecture,Platform Components,RU,3,3
17,RuKpi04,avg_count_per_day,Average daily deployment server errors,Architecture,Splunk Ecosystem,RU,2,2
18,RuKpi05,avg_daily_shc_issues,Average daily search head cluster issues,Architecture,Splunk Ecosystem,RU,2,2
19,RuKpi06,avg_daily_tcp_input_errors,Average daily incoming networking errors,Architecture,Transmission,RU,2,2
20,RuKpi07,avg_daily_tcp_output_errors,Average daily outgoing networking errors,Architecture,Transmission,RU,2,2
21,RuKpi08,avg_fwd_httpIssue,Average issues reading events via HEC,Architecture,Transmission,RU,2,3
22,RuKpi09,sourcetypes_impacted_with_quality_issues,Number of sourcetypes with data quality issues,Data,Data Definition,RU,3,3
23,RuKpi10,avg_daily_cluster_issues,Average daily index clustering issues,Data,Data Indexing,RU,2,3
24,RuKpi11,instances_with_blocked_queues,Number of instances with blocked queues,Data,Data Indexing,RU,3,3
25,RuKpi12,avg_daily_clustering_issues,Average daily bucket replication issues,Data,Data Indexing,RU,2,2
26,RuKpi13,indexers_with_high_data_distribution,Number of indexers with high data distribution,Data,Data Indexing,RU,2,2
27,RuKpi14,indexers_throttling_forwarders,Number of indexers throttling forwarders,Data,Data Indexing,RU,1,3
28,RuKpi15,num_failed_alert_actions,Number of alerts failing to trigger,Search,Alert,RU,2,3
29,RuKpi16,high_resource_dashboards,Number of dashboards with high memory/runtime,Search,Dashboard,RU,3,2
30,RuKpi17,inefficient_dashboard_panels,Number of inefficient dashboard panels,Search,Dashboard,RU,2,1
31,RuKpi18,hosts_with_large_bundle_sizes,Number of hosts with large bundles,Search,Search,RU,3,3
32,RuKpi19,searches_over_10_minutes,Number of long-running searches (>10min),Search,Search,RU,3,3
33,RuKpi20,daily_avg_searches_w_no_results_not_alerts,Average daily searches returning no results,Search,Search,RU,2,2
34,RuKpi21,high_memory_searches,Number of searches with high memory use,Search,Search,RU,2,3
35,RuKpi22,skipped_searches,Number of skipped searches,Search,Search,RU,2,3
36,RuKpi23,users_exceeding_quota,Number of users exceeding quota,Search,Search,RU,1,2
37,RuKpi24,users_hitting_queue_limits,Number of users hitting search limits,Search,Search,RU,2,2
