field,required,min_non_null_pct,notes
al_key,true,100,sha256(_raw) -MUST match between customer-side normalise and server-side re-compute
alert_time_epoch,true,100,Epoch seconds of alert firing time
alert_time,true,100,Human-readable copy of alert_time_epoch
detector_name,true,95,Saved search / rule name that produced the alert
severity,false,50,Lowercased severity string
alert_type,false,50,MITRE tactic or kill-chain phase
username,false,30,Subject user if applicable
src_ip,false,30,Source IP if applicable
dst_ip,false,30,Destination IP if applicable
src_hostname,false,20,
dst_hostname,false,20,
process_name,false,10,
command_line,false,10,
file_hash,false,5,
url,false,5,
domain,false,5,
