error_group_id , error_code ,                          error_code_str
              0 ,          0 , Success
            100 ,        101 , Failed to perform service classification
            100 ,        102 , Failed to perform policy evaluation
            100 ,        103 , Failed to perform posture notification
            100 ,        104 , Failed to query authstatus
            100 ,        105 , Internal error in performing authentication
            100 ,        106 , Internal error in RADIUS server
            200 ,        201 , User not found
            200 ,        202 , Password mismatch
            200 ,        203 , Failed to contact AuthSource
            200 ,        204 , Failed to classify request to service
            200 ,        205 , AuthSource not configured for service
            200 ,        206 , Access denied by policy
            200 ,        207 , Failed to get client macAddress to perform webauth
            200 ,        208 , No response from home server
            200 ,        209 , No password in request
            200 ,        210 , Unknown CA in client certificate
            200 ,        211 , Client certificate not valid
            200 ,        212 , Client certificate has expired
            200 ,        213 , Certificate comparison failed
            200 ,        214 , No certificate in authentication source
            200 ,        215 , TLS session error
            200 ,        216 , User authentication failed
            200 ,        217 , Search failed due to insufficient permissions
            200 ,        218 , Authentication source timed out
            200 ,        219 , Bad search filter
            200 ,        220 , Search failed
            200 ,        221 , Authentication source error
            200 ,        222 , Password change error
            200 ,        223 , Username not available in request
            200 ,        224 , CallingStationID not available in request
            200 ,        225 , User account disabled
            200 ,        226 , User account expired or not active yet
            200 ,        227 , User account needs approval
            200 ,        228 , User account has exceeded bandwidth limit
            200 ,        229 , User account has exceeded session duration limit
            200 ,        230 , User account has exceeded session count limit
           6000 ,       6001 , Unsupported Tacacs parameter in request
           6000 ,       6002 , Invalid sequence number
           6000 ,       6003 , Sequence number overflow
           6100 ,       6101 , Not enough inputs to perform authentication
           6100 ,       6102 , Authentication privilege level mismatch
           6100 ,       6103 , No enforcement profiles matched to perform authentication
           6200 ,       6201 , Authorization failed as session is not authenticated
           6200 ,       6202 , Authorization privilege level mismatch
           6200 ,       6203 , Command not allowed
           6200 ,       6204 , No enforcement profiles matched to perform command authorization
           6300 ,       6301 , New password entered does not match
           6300 ,       6302 , Empty password
           6300 ,       6303 , Change password allowed only for local users
           6300 ,       6304 , Internal error in performing change password
           9000 ,       9001 , Wrong shared secret
           9000 ,       9002 , Request timed out
           9000 ,       9003 , Phase2 PAC failure
           9000 ,       9004 , Client rejected after PAC provisioning
           9000 ,       9005 , Client does not support posture request
           9000 ,       9006 , Received error TLV from client
           9000 ,       9007 , Received failure TLV from client
           9000 ,       9008 , Phase2 PAC not found
           9000 ,       9009 , Unknown Phase2 PAC
           9000 ,       9010 , Invalid Phase2 PAC
           9000 ,       9011 , PAC verification failed
           9000 ,       9012 , PAC binding failed
           9000 ,       9013 , Session resumption failed
           9000 ,       9014 , Cached session data error
           9000 ,       9015 , Client does not support configured EAP methods
           9000 ,       9016 , Client did not send cryptobinding
           9000 ,       9017 , Could not contact the OCSP server
           9000 ,       9018 , RADIUS protocol error
           9000 ,       9019 , Client sent conflicting identities
           5000 ,       5001 , Internal Error
           5000 ,       5002 , Invalid MAC Address
           5000 ,       5003 , Invalid request received
           5000 ,       5004 , Insufficient parameters received
           5000 ,       5005 , Query - No MAC address record found
           5000 ,       5006 , Query - No supported actions
           5000 ,       5007 , Query - Cannot fetch MAC address details
           5000 ,       5008 , Request - MAC address not online
           5000 ,       5009 , Request - No MAC address record found
