id,action,"activity_action","change_type",template
10000,modified,"Agent Failed To Move To Another Console",agent,"The agent {{ computer_name }} failed to move to the console at {{ target_url }}. Error message: ""{{ error_message }}"""
1001,modified,"Agent Disconnected From Network",agent,"Agent {{ computer_name }} was disconnected from network."
1002,modified,"Agent Reconnected To Network",agent,"Agent {{ computer_name }} was connected to network."
101,modified,"User Changed Agent's Customer Identifier",mgmt,"{{ username }} changed the Customer Identifier string of {{ computer_name }} to {{ external_id }}."
102,deleted,"User Deleted",user,"The user {{ username }} was deleted by SentinelOne because it was inactive for {{ deactivation_period_in_days }} days."
1023,created,"SSO User Added",user,"The management SSO user {{ username }} was added {% if role %}as {{ role }}{% else %}to multiple {{ user_scope }}s{% endif %} during login with SSO."
1024,modified,"SSO User Modified",user,"The management SSO user {{ username }} was updated during login with SSO."
103,deleted,"User Deleted",user,"The user {{ username }} requires reactivation with a verification email because it was inactive for {{ deactivation_period_in_days }} days."
104,modified,"Global licenses modified",unknown,"The management global licenses were modified. {% if bundle_message %}{{ bundle_message }}{% endif %} {% if module_message %}{{ module_message }}{% endif %} {% if setting_message %}{{ setting_message }}{% endif %}"
105,modified,"Deep Visibility Settings Modified",mgmt,"The management user {{username}} turned {{ ""on"" if new_value else ""off"" }} Deep Visibility configuration ""{{ attr }}"" for {% if group_name %}group {{ group_name }} in site {{ site_name }}{% elif site_name %}site {{ site_name }} in account {{ account_name }}{% elif account_name %}account {{ account_name }}{% else %}global{% endif %}."
106,unknown,"User Commanded Agents To Move To Another Console",user,"The management user {{ username }} commanded {{ total_agent_count }} agents to move to the console, {{ console_url }}, but {{ excluded_agent_count }} did not move successfully."
107,created,"User Created RBAC Role",role,"The Management user {{username}} created role {{role_name}}"
108,modified,"User Edited RBAC Role",role,"The Management user {{username}} edited role {{role_name}}"
109,deleted,"User Deleted RBAC Role",role,"The Management user {{username}} deleted role {{role_name}}"
110,"acl_modified","Enable API Token Generation","api token","The management user {{ by_user }} gave permission to the management user {{ username }} to generate API tokens."
1100,modified,"User Network Quarantine Container",user,"The management user {{ username }} issued a {{ pod_or_container }} disconnect from network command to the container {{ container_name }} on the machine {{ computer_name }} related to threat {{ file_display_name }}."
1101,modified,"User Network Unquarantine Container",user,"The management user {{ username }} issued a {{ pod_or_container }} reconnect from network command to the container {{ container_name }} on the machine {{ computer_name }} related to threat {{ file_display_name }}."
1102,modified,"User Network Quarantine Container",user,"The {{ pod_or_container }} {{ container_name }} on the machine {{ computer_name }} related to threat {{ file_display_name }} has been successfully disconnected from network."
1103,modified,"User Network Unquarantine Container",user,"The {{ pod_or_container }} {{ container_name }} on the machine {{ computer_name }} related to threat {{ file_display_name }} has been successfully reconnected to network."
1104,modified,"User Network Unquarantine Container",user,"Failed to reconnect the {{ pod_or_container }} {{ container_name }} on the machine {{ computer_name }} related to threat {{ file_display_name }} because {{ failure_reason }}"
1105,modified,"User Network Quarantine Container",user,"Failed to disconnect the {{ pod_or_container }} {{ container_name }} on the machine {{ computer_name }} related to threat {{ file_display_name }} because {{ failure_reason }}"
111,"acl_modified","Disable API Token Generation","api token","The management user {{ by_user }} blocked the management user {{ username }} from generating API tokens."
112,created,"API token Generated",mgmt,"The management user {{ username }} generated a new API token."
113,"acl_modified","API Token Revoked","api token","The management user {{ username }} revoked their own API token."
114,"acl_modified","API Token Revoked","api token","The management user {{ by_user }} revoked the API token of the Management user {{ username }}."
116,modified,"Policy Settings Modified",mgmt,"The management user {{username}} turned off policy inheritance for {% if group_name %}group {{ group_name }} in site {{ site_name }}{% elif site_name %}site {{ site_name }} in account {{ account_name }}{% elif account_name %}account {{ account_name }}{% else %}global{% endif %}."
117,modified,"User Disabled Agent",agent,"The management user {{ username }} issued a Disable Agent command to {{ computer_name }} {% if expiration %}that will expire at {{ expiration }}{% else %}with no time expiration{% endif %} and {{ ""with"" if should_reboot else ""without"" }} automatic reboot."
118,modified,"User Enabled Agent",agent,"The management user {{ username }} issued an Enable Agent command to {{ computer_name }} {{ ""with"" if should_reboot else ""without"" }} automatic reboot."
119,modified,"Agent Disabled",agent,"{% if disabled_level == ""disabled and not rebooted"" %}The Agent failed to disable on {{ computer_name }}{% else %}The {{ computer_name }} Agent is {{ disabled_level }}{% if expiration %} until {{ expiration }}{% endif %}{% endif %}."
120,modified,"Agent Enabled",agent,"The {{ computer_name }} Agent is enabled{% if enabled_reason %} due to {% if enabled_reason == ""command"" %}Enable Agent command issued{% else %}time expiration{% endif %}{% endif %}."
121,modified,"User Started Remote Profiling",agent,"The management user {{ username }} started Remote Profiler on endpoint {{ computer_name }} ({{ external_ip }}) with {% if timeout_minutes %}a time limit of  {{ timeout_minutes }} minutes{% else %} no time limit {% endif %}."
122,modified,"User Stopped Remote Profiling",agent,"The management user {{ username }} stopped Remote Profiler on endpoint {{ computer_name }} ({{ external_ip }})."
123,modified,"Remote Profiler Enabled",agent,"Remote Profiler started on endpoint {{ computer_name }} ({{ external_ip }}) with {% if timeout_minutes %}a time limit of {{ timeout_minutes }} minutes{% else %}no time limit{% endif %}."
124,modified,"Remote Profiler Disabled",agent,"The Remote Profiler was stopped on endpoint {{ computer_name }} ({{ external_ip }}) due to {% if disabled_reason_command %} Stop Remote Profiler command issued{% else %} time expiration {% endif %}."
125,modified,"Disable Agent Error",agent,"The {{ computer_name }} Agent reported error in the disable process. Fetch logs and contact SentinelOne Support."
126,modified,"Agent Disabled",agent,"Unexpected error on the SentinelOne Agent on {{ computer_name }}. The Agent is disabled."
127,modified,"Agent Disabled",agent,"Specific functionalities of the SentinelOne Agent on {{ computer_name }} are disabled. To complete the disable action, reboot."
128,modified,"Agent Disabled Because of Database Corruption",agent,"Functionality of the SentinelOne Agent on {{ computer_name }} is limited, due to a database corruption. Contact Support."
129,modified,"Allowed Domains Settings Changed",unknown,"The management user {{ username }} added/removed the allowed user domain/s: {{ allowed_domains_changes }}"
130,"acl_modified","Opt-in To EA program",unknown,"The management user {{ username }} added the account {{ account_name }} to the SentinelOne Early Access Program. The account can now get access to Agent Packages for: {{ platform_types}}"
131,"acl_modified","Opt-out From EA Program",unknown,"The management user {{ username }} removed the account {{ account_name }} from the SentinelOne Early Access Program. The account can’t access EA Packages."
132,modified,"EA Platform Settings Changed",settings,"The management user {{ username }} changed the SentinelOne Early Access Program settings:{{ platform_changes }}"
133,failure,"Existing User Login Failure",user,"The management user {{ username }} failed to log in to the management console{% if ip_address %} with IP Address {{ ip_address }}{% endif %}."
134,failure,"Unknown User Login",user,"Unknown user {{ email }} tried to log in to the management console{% if ip_address %} with IP Address {{ ip_address }} and failed{% endif %}."
135,stopped,"Remote Profiler Completed",scan,"Endpoint {{ computer_name }} ({{ external_ip }}) profiling completed successfully."
136,stopped,"Remote Profiler Failure",scan,"Endpoint {{ computer_name }} ({{ external_ip }}) profiling failure. The Agent did not manage to start profiling. Make sure the agent is online and try again."
137,stopped,"Remote Profiler Upload Failure",scan,"Endpoint {{ computer_name }} ({{ external_ip }}) profiling failure. The Agent did not manage to upload the profiling logs due to a network issue. Make sure the Agent is online and try again."
138,started,"User Started an Unrestricted Session",user,"The Management user, {{ username }}, has initiated a protected actions session that will end in {{ duration }} minutes, at {{ expiration | datetime }}."
139,unknown,"User Failed to Start an Unrestricted Session",user,"The Management user, {{ username }}, attempted to initiate a protected actions session but entered an incorrect 2FA code."
140,created,"Service User creation",user,"The management user {{ by_user }} added a new Service User {{ username }} with the description {{ description }} to {{ scope_name }} with role {{ role_name }}."
141,modified,"Service User modification",user,"The management user {{ by_user }} changed {% if description_changed %}the description of the Service User {{ username }} from {{ old_description}} to {{ description}}.{% else %}the role of the Service User {{ username }} on scope {{ scope_name }}. Previous role: {{ old_role }}. New role: {{ role }}.{% endif %}"
142,deleted,"Service User deletion",user,"The management user {{ by_user }} deleted the Service User {{ username }} from scope {{ scope_name }}."
143,lockout,"User Locked from Unrestricted Session",user,"The Management user, {{ username }}, has been temporarily locked out of protected actions due to {{ attempts }} unsuccessful 2FA code attempts. The lock will be lifted on {{ expiration | datetime }}."
144,lockout,"User Temporarily Locked",user,"The management user {{ username }} is temporarily locked."
145,"acl_modified","2FA - Enroll",AAA,"The management user {{ username }} applied the Enroll 2FA action for {{ affected_user }}."
146,"acl_modified","2FA - Reset",AAA,"The management user {{ username }} applied the Reset 2FA action for {{ affected_user }}."
147,created,"2FA - Configured",AAA,"The Management User {{ username }} successfully configured 2FA."
148,deleted,"2FA - Delete",AAA,"The management user {{ username }} applied the Delete 2FA action for {{ affected_user }}."
15,modified,"User Marked Agent As Up To Date",mgmt,"The management user {{ username }} marked agent {{ computer_name }} as up to date."
150,modified,"Live Updates Policy Modified",policy,"The management user {{ username }} turned {{ ""on"" if policy_enabled == ""true"" else ""off"" }} Live Updates {% if group_name %}for group ""{{ group_name }}"" in site ""{{ site_name }}""{% elif site_name %}for site ""{{ site_name }}"" in account ""{{ account_name }}""{% elif account_name %}for account ""{{ account_name }}""{% else %}on the global level{% endif %}."
1501,created,"Location Created",mgmt,"The management user {{ username }} added location {{ name }} to {{scope_name}}."
1502,modified,"Location Copied",mgmt,"The management user {{ username }} copied location {{ name }} to {{scope_name}}."
1503,modified,"Location Modified",mgmt,"The management user {{ username }} modified location {{ name }} in {{scope_name}}."
1504,deleted,"Location Deleted",mgmt,"The management user {{ username }} deleted location {{ name }} from {{ scope_name }}."
151,modified,"Live Updates Policy Inheritance Setting Changed",policy,"The management user {{ username }} changed the Live Updates Policy inheritance setting. The {% if group_name %}group ""{{ group_name }}"" {% elif site_name %}site ""{{ site_name }}"" {% elif account_name %}account ""{{ account_name }}""{% endif %}{% if policy_inherit == ""false"" %} no longer{% else %} now{% endif %} inherits the Live Updates Policy from the {% if group_name %}site {% elif site_name %} account {% elif account_name %} global {% endif %}level."
16,modified,"Agent software updated",agent,"{{ username }} created a software update package."
17,modified,"Agent subscribed",agent,"{{ computer_name }} (OS Family: {{ os_type }}, Type: {{ machine_type }}, Cloud Provider: {% if cloud_provider_names %}{{ "", "".join(cloud_provider_names) }}{% else %}N/A{% endif %}) subscribed and joined the group {{ group }} of site {{ site_name }}."
18,created,"New Threat Mitigated",threat,"Threat with confidence level {{ confidence_level }} detected and Mitigated: {{ file_display_name }}."
19,created,"New Malicious Threat Not Mitigated",threat,"Threat with confidence level malicious detected: {{ file_display_name }}"
2,created,"Hash Defined as Malicious By Cloud",unknown,"Auto immune added {{ ""suspicious"" if suspicious else ""threat"" }} with hash {{ file_content_hash }} to blocklist for {{ os_family | osFamilyFilter }} after verification by cloud."
20,modified,"New Threat Preemptive Block",threat,"Threat with confidence level {{ confidence_level }} detected and Mitigated preemptivley: {{ file_display_name }}."
200,modified,"File Upload Settings Modified",mgmt,"The management user {{ username }} modified Binary Vault settings for{% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
2001,modified,"Threat Mitigation Report Kill Success",agent,"The agent {{ computer_name }} successfully killed the threat: {{ file_display_name }}.{% if global_status == ""groupNotFound"" or global_status == ""other"" %} The report is not available because the threat doesn't exist anymore on the endpoint. {% endif %}"
2002,modified,"Threat Mitigation Report Remediate Success",agent,"The agent {{ computer_name }} successfully remediated the threat: {{ file_display_name }}.{% if global_status == ""groupNotFound"" or global_status == ""other"" %} The report is not available because the threat doesn't exist anymore on the endpoint. {% endif %}"
2003,modified,"Threat Mitigation Report Rollback Success",agent,"The agent {{ computer_name }} successfully rolled back the threat: {{ file_display_name }}.{% if global_status == ""groupNotFound"" or global_status == ""other"" %} The report is not available because the threat doesn't exist anymore on the endpoint. {% endif %}"
2004,modified,"Threat Mitigation Report Quarantine Success",agent,"The agent {{ computer_name }} successfully quarantined the threat: {{ file_display_name }}.{% if global_status == ""groupNotFound"" or global_status == ""other"" %} The report is not available because the threat doesn't exist anymore on the endpoint. {% endif %}"
2005,unknown,unknown,agent,unknown
2006,modified,"Threat Mitigation Report Kill Failed",agent,"The agent {{ computer_name }} failed to kill the threat: {{ file_display_name }}."
2007,modified,"Threat Mitigation Report Remediate Failed",agent,"The agent {{ computer_name }} failed to remediate the threat: {{ file_display_name }}."
2008,modified,"Threat Mitigation Report Rollback Failed",agent,"The agent {{ computer_name }} failed to roll back the threat: {{ file_display_name }}."
2009,modified,"Threat Mitigation Report Quarantine Failed",agent,"The agent {{ computer_name }} failed to quarantine the threat: {{ file_display_name }}."
201,modified,"File Upload Enabled/Disabled",mgmt,"The management user {{ username }}{% if new_value %} enabled {% else %} disabled {% endif %}Binary Vault for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
2010,modified,"Agent Mitigation Report Quarantine Network Failed",agent,"Agent {{ computer_name }} was unable to disconnect from network."
2011,modified,"User Issued Kill Command",agent,"The management user {{ username }} issued a kill command to threat {{ file_display_name }} on agent {{ computer_name }}."
2012,modified,"User Issued Remediate Command",agent,"The management user {{ username }} issued a remediate command to threat {{ file_display_name }} on agent {{ computer_name }}."
2013,modified,"User Issued Rollback Command",agent,"The management user {{ username }} issued a rollback command to threat {{ file_display_name }} on agent {{ computer_name }}."
2014,modified,"User Issued Quarantine Command",agent,"The management user {{ username }} issued a quarantine command to threat {{ file_display_name }} on agent {{ computer_name }}."
2015,modified,"User Issued Unquarantine Command",agent,"The management user {{ username }} issued an unquarantine command to threat {{ file_display_name }} on agent {{ computer_name }}."
2016,modified,"User Marked Application As Threat",agent,"The management user {{ username }} marked the application ""{{ application_path }}"" on agent {{ computer_name }} as threat."
2017,deleted,"User Issued Remove Macros Command",user,"The management user {{ username }} issued a Remove Macros command to threat {{ file_display_name }} on agent {{ computer_name }}."
2018,modified,"User Issued Restore Macros Command",user,"The management user {{ username }} issued a Restore Macros command to threat {{ file_display_name }} on agent {{ computer_name }}."
2021,modified,"Threat Killed By Policy",agent,"Kill command issued by policy to threat {{ file_display_name }} on agent {{ computer_name }}."
2022,modified,"Threat Remediated By Policy",agent,"Remediate command issued by policy to threat {{ file_display_name }} on agent {{ computer_name }}."
2023,modified,"Threat Rolled Back By Policy",agent,"Rollback command issued by policy to threat {{ file_display_name }} on agent {{ computer_name }}."
2024,modified,"Threat Quarantined By Policy",agent,"Quarantine command issued by policy to threat {{ file_display_name }} on agent {{ computer_name }}."
2025,modified,"Agent Disconnected From Network Due to Threat Mitigation By Policy",agent,"Disconnect from network command issued by policy to threat {{ file_display_name }} on agent {{ computer_name }}."
2026,modified,"Threat Mitigation Report Unquarantine Success",agent,"The agent {{ computer_name }} successfully unquarantined the threat: {{ file_display_name }}."
2027,modified,"Threat Mitigation Report Unquarantine Failed",agent,"The agent {{ computer_name }} failed to unquarantine the threat: {{ file_display_name }}.{% if global_status == ""groupNotFound"" or global_status == ""other"" %} The report is not available because the quarantined threat is not available on the endpoint.{% endif %}"
2028,modified,"Threat Incident Status Changed",incident,"The management user {{ username }} changed the incident status for {{ file_display_name }} from {{ old_incident_status_title }} to {{ new_incident_status_title }}"
2029,modified,"Ticket Number Changes",incident,"The escalation ticket for the threat {{ file_display_name }} was modified by {{ username }} from {{ old_ticket_id }} to {{ new_ticket_id }}."
203,modified,"User Downloaded File",mgmt,"The management user {{ username }} downloaded file name {{ file_name }} with hash {{ file_hash }} from Binary Vault."
2030,modified,"Analyst Verdict Changes",incident,"The management user {{ username }} changed the analyst verdict for {{ file_display_name }} from {{ old_analyst_verdict_title }} to {{ new_analyst_verdict_title }}."
2031,modified,"Threat Mitigation Report Kill Pending Reboot",agent,"A reboot is required for the endpoint {{ computer_name }} to complete the kill mitigation process on the threat {{ file_display_name }}."
2032,modified,"Threat Mitigation Report Remediate Pending Reboot",agent,"A reboot is required for the endpoint {{ computer_name }} to complete the remediate mitigation process on the threat {{ file_display_name }}."
2033,modified,"Threat Mitigation Report Rollback Pending Reboot",agent,"A reboot is required for the endpoint {{ computer_name }} to complete the rollback mitigation process on the threat {{ file_display_name }}."
2034,modified,"Threat Mitigation Report Quarantine Pending Reboot",agent,"A reboot is required for the endpoint {{ computer_name }} to complete the quarantine mitigation process on the threat {{ file_display_name }}."
2035,modified,"Threat Mitigation Report Unquarantine Pending Reboot",agent,"A reboot is required for the endpoint {{ computer_name }} to complete the unquarantine mitigation process on the threat {{ file_display_name }}."
2036,modified,"Threat Confidence Level Changed By Agent",mgmt,"Agent {{ computer_name }} changed the Confidence Level of the threat {{ file_display_name }} from {{ old_confidence_level }} to {{ new_confidence_level }}"
2037,modified,"Threat Confidence Level Changed By Cloud",mgmt,"Cloud changed the Confidence Level of the threat {{ file_display_name }} from {{ old_confidence_level }} to {{ new_confidence_level }}"
2038,deleted,"Threat Mitigation Report Remove Macros Success",threat,"The agent {{ computer_name }} successfully removed the malicious macros from the Office document in threat: {{ file_display_name }}. {{ macros_removed_success }} macros were removed."
2039,deleted,"Threat Mitigation Report Remove Macros Failed",threat,"The agent {{ computer_name }} failed to remove the malicious macros from the Office document in threat: {{ file_display_name }}. {{ macros_removed_failed }} macros failed to be removed."
204,deleted,"Scheduled Report Removed",unknown,"Scheduled Report {{ report_name }} was removed from the report tasks because its creator, User {{ username }}, was deleted."
2040,modified,"Threat Mitigation Report Restore Macros Success",threat,"The agent {{ computer_name }} successfully restored the malicious macros in the Office document in threat: {{ file_display_name }}. {{ macros_restored_success }} macros were restored."
2041,modified,"Threat Mitigation Report Restore Macros Failed",threat,"The agent {{ computer_name }} failed to restore the malicious macros in the Office document in threat: {{ file_display_name }}. {{ macros_restored_failed }} macros failed to be restored."
2042,deleted,"Threat Mitigation Report Remove Macros Pending Reboot",threat,"A reboot is required for the endpoint {{ computer_name }} to complete the remove macros mitigation process on the threat {{ file_display_name }}."
2043,modified,"Threat Mitigation Report Restore Macros Pending Reboot",threat,"A reboot is required for the endpoint {{ computer_name }} to complete the restore macros mitigation process on the threat {{ file_display_name }}."
21,modified,"Threat Resolved",threat,"The management user {{ username }} marked {{ file_display_name }} as resolved."
2100,modified,"Upgrade Policy - Concurrency Limit Changed",agent,"The Management user {{username}} changed the maximum concurrent download limit from {{old_value}} to {{new_value}} for the {{full_scope_details}}"
2101,modified,"Upgrade Policy - Concurrency Limit Inheritance Changed",agent,"The Management user {{username}} changed the maximum concurrent download inheritance mode from {{ old_value}} to {{new_value}} for the {{full_scope_details}}"
2110,modified,"Upgrade Policy - Maintenance Window Time Changed",agent,"The Management user {{username}} changed Agents Upgrade Maintenance Window for the scope {{full_scope_details}}"
2111,modified,"Upgrade Policy - Maintenance Window Time Inheritance Changed",agent,"The Management user {{username}} changed Agents Upgrade Maintenance Window inheritance mode from {{ old_value}} to {{new_value}} for the {{full_scope_details}}"
22,modified,"Threat Benign",threat,"The management user {{ username }} marked {{ file_display_name }} as benign."
221,modified,"Threat Automatically Resolved",mgmt,"Threat {{ file_display_name }} was automatically resolved by SentinelOne."
23,created,"User Added",user,"The management user {{ by_user }} added user {{ username }} {% if role %}as {{ role }}{% else %}to multiple {{ user_scope }}s{% endif %}."
24,modified,"User Modified",user,"The management user {{ by_user }} updated the management user {{ username }}.{% if modified_fields %}
{{modified_fields}}{% endif %}"
25,deleted,"User Deleted",user,"The management user {{ by_user }} deleted the user {{ username }}."
26,modified,"Management Updated",mgmt,"The management console was updated with build {{ build_version }}."
27,success,"User Logged In",user,"The management user {{ username }} logged in to the management console{% if ip_address %} with IP Address {{ ip_address }}{% endif %}{% if reason %} for {{ reason }}{% elif source %}{% if source == ""sso_saml"" %} with single sign-on{% elif source == ""active_directory"" %} with active directory{% endif %}{% endif %}."
28,modified,"Activity Marked As Resolved By Cloud",mgmt,"SentinelOne cloud marked suspicious activity {{ file_display_name }} as resolved."
29,modified,"Activity Marked As Unresolved By Cloud",mgmt,"The SentinelOne cloud marked the threat {{ file_display_name }} as unresolved."
30,unknown,,unknown,
