Server,sourcetype
"WIN-H8EG9QHMFC9",Logon
BLCORPUSEAST1D,Logon
"WIN-SV8","generic_single_line"
"WIN-6069448DT37","Active_Directory"
"WIN-SV2","generic_single_line"
"WIN-SV1","generic_single_line"
"WIN-PP","generic_single_line"
"WIN-O2SPAMGIUGM","Health_Check"
"SHANKARPUTI-PC","Health_Check"
"WIN-ADMIN06","File_Audit"
"WIN-ADMIN02","File_Audit"
"WIN-ADMIN07","File_Audit"
"WIN-PROJ07","File_Audit"
"WIN-PROJ05","File_Audit"
"WIN-PROJ03","File_Audit"
"WIN-PROJ02","File_Audit"
"WIN-PROJ01","File_Audit"
BL2012R2,"Active_Directory"
BL2012R26,"Group_Policy"
BL2012R24,"Group_Policy"
BL2012R23,"Group_Policy"
BL2012R21,"Group_Policy"
