action,Description,Detailed Description
private_channel_archive,Private Channel Archive,A private channel was archived.
public_channel_unarchive,Public Channel Unarchive,A public channel was unarchived.
private_channel_unarchive,Private Channel Unarchive,A private channel was unarchived.
public_channel_deleted,Public Channel Deleted,A public channel was deleted.
private_channel_deleted,Private Channel Deleted,A private channel was deleted.
mpim_converted_to_private,Multi Party Direct Message Converted To Private,A multi-party direct message was converted to a private channel.
public_channel_converted_to_private,Public Channel Converted To Private,A channel which was once public is now private.
external_shared_channel_connected,External Shared Channel Connected,A shared channel with another workspace has been connected with this one.
external_shared_channel_disconnected,External Shared Channel Disconnected,A shared channel with another workspace is no longer connected with this one.
external_shared_channel_reconnected,External Shared Channel Reconnected,A previously connected and then disconnected shared channel with another workspace is once again shared with this one.
external_shared_channel_invite_sent,External Shared Channel Invite Sent,An invitation to join a shared channel was sent.
external_shared_channel_invite_accepted,External Shared Channel Invite Accepted,An invitation to join a shared channel was accepted! Nice.
external_shared_channel_invite_approved,External Shared Channel Invite Approved,An invitation to join a shared channel was approved by an admin.
external_shared_channel_invite_created,External Shared Channel Invite Created,An invitation url to join a shared channel was created.
external_shared_channel_invite_declined,External Shared Channel Invite Declined,An invitation to join a shared channel was declined.
external_shared_channel_invite_expired,External Shared Channel Invite Expired,An invitation to join a shared channel expired.
external_shared_channel_invite_revoked,External Shared Channel Invite Revoked,An invitation to join a shared channel was revoked.
role_change_to_owner,Role Change To Owner,A team member was made an owner.
role_change_to_admin,Role Change To Admin,A team member was made an admin.
role_change_to_user,Role Change To User,A team member was a user.
role_change_to_guest,Role Change To Guest,A team member was made a guest.
owner_transferred,Owner Transferred,An owner was transferred.
user_created,User Created,A team member was created.
user_deactivated,User Deactivated,A team member was deactivated.
user_reactivated,User Reactivated,A team member was reactivated after having been deactivated.
guest_created,Guest Created,A guest was created.
guest_deactivated,Guest Deactivated,A guest was deactivated.
guest_reactivated,Guest Reactivated,A guest was reactivated after having been deactivated.
guest_expiration_set,Guest Expiration Set,A guest had an account expiration time set.
guest_expired,Guest Expired,A guest was deactivated when the expiration time was reached.
guest_expiration_cleared,Guest Expiration Cleared,A guest had an expiration time cleared (before this time arrived).
user_login,User Login,A team member logged in.
user_logout,User Logout,A team member logged out.
custom_tos_accepted,Custom Terms of Service Accepted,A team member accepted a custom terms of service agreement.
app_approved,App Approved,"On workspaces that have admin approved apps enabled, an app has been approved but not yet installed."
app_restricted,App Restricted,"On workspaces that have admin approved apps enabled, an app has been restricted and cannot be installed."
app_installed,App Installed,"An app has been installed. If a custom integration had been disabled, this event will also be triggered if it is re-enabled."
app_scopes_expanded,App Scopes Expanded,"An app has been granted additional access to resources on a workspace, via OAuth scopes. For most apps, this requires a re-install. For workspace apps, this may also happen via the permissions API."
app_resources_added,App Resources Added,"Workspace apps have the ability to request access to a specific resource on a workspace, such as a channel or a DM, including wildcard resources (such as all public channels). This event is triggered when access has been granted."
app_uninstalled,App Uninstalled,A Slack app was uninstalled.
app_token_preserved,App Token Preserved,"An app's token was preserved instead of revoked, usually due to an app owner or installer being removed from an organization."
file_downloaded,File Downloaded,A file was downloaded.
file_downloaded_blocked,File Downloaded Blocked,A file was blocked from being downloaded.
file_uploaded,File Uploaded,A file was uploaded. This action contains a team identifier so that you can see which team the uploading user comes from (useful for externally shared channels).
file_public_link_created,File Public Link Created,A public link was created for a file. This action contains a team identifier so that you can see which team the creating user comes from (useful for externally shared channels).
file_public_link_revoked,File Public Link Revoked,A public link was revoked from a file. This action contains a team identifier so that you can see which team the revoking user comes from (useful for externally shared channels).
file_shared,File Shared,A file was shared in another channel.
workflow_created,Workflow Created,A workflow has been created.
workflow_deleted,Workflow Deleted,A workflow has been deleted.
workflow_published,Workflow Published,A workflow has been published.
workflow_unpublished,Workflow Unpublished,A workflow has been unpublished.
workflow_responses_csv_download,Workflow Responses CSV Download,A user downloaded a workflow’s responses as a CSV file.
