threat_classification_code,threat_classification,category_id,category
G,Benign,-1,Unavailable
Y,Suspicious,0,Uncategorized
G,Benign,1,Real Estate
G,Benign,2,Computer and Internet Security
G,Benign,3,Financial Services
G,Benign,4,Business and Economy
G,Benign,5,Computer and Internet Info
G,Benign,6,Auctions
G,Benign,7,Shopping
Y,Suspicious,8,Cult and Occult
G,Benign,9,Travel
Y,Suspicious,10,Abused Drugs
Y,Suspicious,11,Adult and Pornography
G,Benign,12,Home
G,Benign,13,Military
G,Benign,14,Social Network
G,Benign,15,Dead Sites
G,Benign,16,Individual Stock Advice and Tools
G,Benign,17,Training and Tools
G,Benign,18,Dating
G,Benign,19,Sex Education
G,Benign,20,Religion
G,Benign,21,Entertainment and Arts
G,Benign,22,Personal Sites and Blogs
G,Benign,23,Legal
G,Benign,24,Local Information
G,Benign,25,Streaming Media
G,Benign,26,Job Search
Y,Suspicious,27,Gambling
G,Benign,28,Translation
G,Benign,29,Reference and Research
G,Benign,30,Shareware and Freeware
G,Benign,31,P2P
Y,Suspicious,32,Marijuana
Y,Suspicious,33,Hacking
G,Benign,34,Games
G,Benign,35,Philosophy and Political Advocacy
Y,Suspicious,36,Weapons
G,Benign,37,Pay to Surf
G,Benign,38,Hunting and Fishing
G,Benign,39,Society
G,Benign,40,Educational Institutions
G,Benign,41,Online Greeting cards
G,Benign,42,Sports
G,Benign,43,Swimsuits & Intimate Apparel
Y,Suspicious,44,Questionable
G,Benign,45,Kids
Y,Suspicious,46,Hate and Racism
G,Benign,47,Online Personal Storage
Y,Suspicious,48,Violence
R,Malicious,49,Keyloggers and Monitoring
G,Benign,50,Search Engines
G,Benign,51,Internet Portals
G,Benign,52,Web Advertisements
Y,Suspicious,53,Cheating
G,Benign,54,Gross
G,Benign,55,Web based Email
R,Malicious,56,Malware Sites
R,Malicious,57,Phishing and Other Frauds
G,Benign,58,Proxy Avoid and Anonymizers
G,Benign,59,Spyware and Adware
G,Benign,60,Music
G,Benign,61,Government
Y,Suspicious,62,Nudity
G,Benign,63,News and Media
Y,Suspicious,64,Illegal
G,Benign,65,CDNs
G,Benign,66,Internet Communications
R,Malicious,67,Bot Nets
G,Benign,68,Abortion
G,Benign,69,Health & Medicine
R,Malicious,70,Confirmed SPAM Sources
R,Malicious,71,SPAM URLs
R,Malicious,72,Unconfirmed SPAM Sources
R,Malicious,73,Open HTTP Proxies
G,Benign,74,Dynamic Content
R,Malicious,75,Parked Sites
G,Benign,76,Alcohol and Tobacco
G,Benign,77,Private IP Addresses
G,Benign,78,Image and Video Search
G,Benign,79,Fashion and Beauty
G,Benign,80,Recreation and Hobbies
G,Benign,81,Motor Vehicles
G,Benign,82,Web Hosting
G,Benign,83,Food and Dining
