setting_name,setting_value,description
detection_frequency,5,Detection search frequency in minutes (1-60)
default_threshold,60,Default threshold for new source types in minutes
detection_lookback,1440,Detection lookback window in minutes - how far back each run scans (default 1440 = 24h; tolerates timezone/lag skew; tighten to 15-60 for max performance on very large clean-timestamp deployments). Drives the search event window.
