disposition,disposition_description,disposition_blocking
,,
1024,"Category permitted, not set",0
,,
1025,Category blocked,1
,,
1026,Category permitted,0
,,
1027,"Custom URL, category blocked",1
,,
1028,"Custom URL, category permitted",0
,,
1029,Always blocked,1
,,
1030,Never blocked,0
,,
1031,Blocked by limited access filter,1
,,
1032,Blocked by keyword,1
,,
1033,Blocked - subscription level exceeded,1
,,
1034,Permitted - subscription level exceeded,0
,,
1035,Password override page,1
,,
1037,Permitted by password override,0
,,
1040,Permitted with confirm option,0
,,
1041,Blocked - authentication required,1
,,
1042,Permitted - category not purchased,0
,,
1043,Permitted by quota,0
,,
1044,Permitted with keyword match,0
,,
1045,Blocked due to network bandwidth,1
,,
1046,Blocked due to protocol bandwidth,1
,,
1047,File type blocked,1
,,
1048,File type permitted,0
,,
1049,Protocol blocked,1
,,
1050,Protocol permitted,0
,,
1051,"Protocol permitted, not set",0
,,
1052,Permitted by limited access filter,0
,,
1053,Redirected for safe search,1
,,
1054,Blocked with confirm option,1
,,
1055,Blocked by quota,1
,,
1056,Permitted - protocol not purchased,0
,,
1057,Blocked by security override,1
,,
1058,Blocked by Hosted Anti-Virus Scanning - Inbound,1
,,
1059,Blocked by Hosted Anti-Virus Scanning - Outbound,1
,,
1281,Category blocked real time,1
,,
1282,Category permitted real time,0
,,
1293,Permitted by password override real time,0
,,
1296,Permitted with confirm option real time,0
,,
1299,Permitted by quota real time,0
,,
1301,Blocked due to network bandwidth real time,1
,,
1302,Blocked due to protocol bandwidth real time,1
,,
1303,File type blocked real time,1
,,
1304,File type permitted real time,0
,,
1310,Blocked with confirm option real time,1
,,
1311,Blocked by quota real time,1
,,
1313,Blocked by security override real time,1
,,
1537,Permitted by scanning link analysis,0
,,
1538,Web 2.0 request permitted,0
,,
1539,Permitted after Web 2.0 scanning and link analysis,0
,,
1553,Blocked by scanning link analysis,1
,,
1554,Web 2.0 request blocked,1
,,
1555,Blocked after Web 2.0 scanning and link analysis,1
,,
1556,Zipbomb Permitted Real Time,0
,,
1557,Zipbomb Blocked Real Time,1
