type,category
computer,ot|computer
switch,ot|switch
router,ot|router
printer_scanner,ot|printer_scanner
group,ot|group
OT_device,ot|OT_device
broadcast,ot|broadcast
-,ot
camera,ot|camera
PLC,ot|PLC
HMI,ot|HMI
barcode_reader,ot|barcode_reader
digital_io,ot|digital_io
inverter,ot|inverter
sensor,ot|sensor
controller,ot|controller
subnet,ot|subnet
historian,ot|historian
IED,ot|IED
voip_phone,ot|voip_phone
mobile_phone,ot|mobile_phone
tablet,ot|tablet
mobile_device,ot|mobile_device
WAP,ot|WAP
IOT_device,ot|IOT_device
light_bridge,ot|light_bridge
firewall,ot|firewall
RTU,ot|RTU
teleprotection,ot|teleprotection
radio_transmitter,ot|radio_transmitter
UPS,ot|UPS
data_concentrator,ot|data_concentrator
gateway,ot|gateway
AVR,ot|AVR
DSL_modem,ot|DSL_modem
IO_module,ot|IO_module
media_converter,ot|media_converter
NTP_appliance,ot|NTP_appliance
time_appliance,ot|time_appliance
PDU,ot|PDU
power_line_carrier,ot|power_line_carrier
power_quality_meter,ot|power_quality_meter
meter,ot|meter
protection_relay,ot|protection_relay
medical_device,ot|medical_device
patient_monitor,ot|patient_monitor
actuator,ot|actuator
power_generator,ot|power_generator
repeater,ot|repeater
server,ot|server
robot,ot|robot
medical_imager,ot|medical_imager
infusion_system,ot|infusion_system
drone,ot|drone
audio_video,ot|audio_video
network_security_appliance,ot|network_security_appliance
