"mime_type"
"application/chrome-ext"
"application/font-woff"
"application/font-woff2"
"application/javascript"
"application/msword"
"application/ocsp-request"
"application/ocsp-response"
"application/soap+xml"
"application/vnd.ms-cab-compressed"
"application/vnd.ms-fontobject"
"application/x-bzip2"
"application/x-debian-package"
"application/x-dosexec"
"application/x-font-ttf"
"application/x-rpm"
"application/x-shockwave-flash"
"application/x-x509-ca-cert"
"application/x-x509-user-cert"
"application/xml"
"application/zip"
"image/gif"
"image/jpeg"
"image/png"
"image/x-icon"
"image/x-ms-bmp"
"text/html"
"text/ini"
"text/json"
"text/plain"
"text/x-php"
"application/java-archive"
"application/pdf"
"application/pgp-signature"
"application/x-7z-compressed"
"application/x-gzip"
"application/x-java-applet"
"application/x-java-jnlp-file"
"application/xml-rpc"
"audio/mpeg"
"audio/x-mp4a-latm"
"audio/x-wav"
"image/svg+xml"
"text/x-cross-domain-policy"
"video/mp4"
"application/ogg"
"image/jp2"
"video/x-flv"
"application/x-xz"
"application/EDIFACT"
"application/alto-costmap+json"
"application/pkixcmp"
"application/srgs"
"application/ttml+xml"
"application/vnd-wap-wmlc"
"application/vnd.3gpp.mcptt-signed+xml"
"application/vnd.3gpp.pic-bw-large"
"application/vnd.3gpp2.sms"
"application/vnd.accpac.simply.imp"
"application/vnd.cybank"
"application/vnd.dvb.ait"
"application/vnd.ericsson.quickcall"
"application/vnd.geospace"
"application/vnd.groove-tool-message"
"application/vnd.hcl-bireports"
"application/vnd.igloader"
"application/vnd.innopath.wamp.notification"
"application/vnd.iptc.g2.conceptitem+xml"
"application/vnd.japannet-payment-wakeup"
"application/vnd.marlin.drm.license+xml"
"application/vnd.medcalcdata"
"application/vnd.ms-windows.nwprinting.oob"
"application/vnd.mseq"
"application/vnd.nokia.iSDS-radio-presets"
"application/vnd.nokia.ncd"
"application/vnd.oasis.opendocument.image-template"
"application/vnd.openxmlformats-officedocument.drawingml.chart+xml"
"application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml"
"application/vnd.openxmlformats-officedocument.theme+xml"
"application/vnd.osgi.subsystem"
"application/vnd.pvi.ptid1"
"application/vnd.radisys.moml+xml"
"application/vnd.shana.informed.formdata"
"application/vnd.software602.filler.form+xml"
"application/vnd.uplanet.listcmd-wbxml"
"application/vnd.vcx"
"application/vnd.wt.stf"
