service
"dce_rpc"
dhcp
dns
ftp
"gssapi,smb,krb"
http
"krb_tcp"
ntp
smb
"smb,gssapi,ntlm"
"smb,ntlm,gssapi"
smtp
ssh
ssl
"xmpp,ssl"
vxlan
"dce_rpc,gssapi,ntlm,smb"
"dce_rpc,smb"
"dnp3_tcp"
"ftp-data"
gssapi
"gssapi,ntlm,smb"
"gssapi,smb"
"http,socks"
imap
irc
"irc-dcc-data"
mqtt
rdp
"smb,gssapi"
socks
"ssl,ftp"
"ssl,socks"
"ssl,xmpp"
xmpp
"ftp,ssl"
"ntlm,gssapi,smb"
"ntlm,gssapi,smb,dce_rpc"
"smb,dce_rpc"
"socks,http"
"ssl,smtp"
bacnet
"ntlm,smb,gssapi"
"smtp,ssl"
"gssapi,smb,ntlm"
"gssapi,dce_rpc,ntlm,smb"
"smb,dce_rpc,gssapi,ntlm"
"socks,ssl"
"ntlm,dce_rpc,gssapi,smb"
"ntlm,dce_rpc,smb,gssapi"
"gssapi,ntlm,dce_rpc,smb"
"smtp/ssl"
"xmpp/ssl"
