severity_name,severity_id,severity_description,severity_syslog_definition
emergencies,0,System unstable,LOG_EMERG
alerts,1,Immediate action needed,LOG_ALERT
critical,2,Critical conditions,LOG_CRIT
errors,3,Error conditions,LOG_ERR
warnings,4,Warning conditions,LOG_WARNING
notifications,5,Normal but significant condition,LOG_NOTICE
informational,6,Informational messages only,LOG_INFO
debugging,7,Debugging messages,LOG_DEBUG
