target_dashboard,use_case,description,significance,anomalous_behavior,baseline_behavior
corelight_insights_anomaly_details_http_user_agents,http_user_agents,A host is observed using an anomalous or unexpected HTTP user agent. This could indicate unauthorized or malicious activity on the network.,"The use of an anomalous HTTP user agent can indicate unauthorized access or malicious activity, as adversaries might employ user agents that are either non-standard or atypical for the given host.",":original_entity: used :item:, a user agent they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: for HTTP connections during baselining
corelight_insights_anomaly_details_ssh_connections,ssh_connections,A host established an SSH connection to an unexpected subnet. This may indicate lateral movement or unauthorized access attempts.,Anomalous SSH connections to unexpected subnets can indicate lateral movement by adversaries or unauthorized access to sensitive resources.,":original_entity: established an SSH connection to subnet :item, a destination they and similar entities had not connected to during baselining",:entity: established SSH connections to these :entity_training_items_combined: during baselining
corelight_insights_anomaly_details_ssh_clients,ssh_clients,A host established an SSH connection using an unexpected or anomalous SSH client. This could indicate the use of malicious tools or unauthorized access.,"The use of an anomalous SSH client can indicate malicious activity, as adversaries might employ SSH clients that are either non-standard or atypical for the given host.",":original_entity: used SSH client :item:, an SSH client they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
corelight_insights_anomaly_details_ew_servers_services,ew_servers_services,"A host communicated with another internal subnet over an anomalous or unexpected network service, indicating potential lateral movement or misconfiguration.",Anomalous services between internal subnets can indicate lateral movement by adversaries or unauthorized access to resources.,":original_entity: used :item:, a service they and similar entities had not used during baselining",:entity: communicated with internal subnet using :entity_training_items_combined: during baselining
corelight_insights_anomaly_details_ns_servers_services,ns_servers_services,An internet-facing server found in connections with an unexpected network service. This may indicate exploitation or misconfiguration.,Internet-facing servers can be exploited by adversaries to gain unauthorized access or disrupt operations.,":original_entity: used :item:, a service they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
corelight_insights_anomaly_details_rdp,rdp,A host established an RDP connection to an unexpected subnet using an unusual SSL/TLS fingerprint.,"Anomalous RDP connections to unexpected destinations can indicate lateral movement by adversaries, unauthorized remote access, or compromise of legitimate credentials for unauthorized system access.",":original_entity: used RDP or Port 3389/tcp to connect to :item: for at least 15 seconds, a subnet to which it had unexpectedly connected using an unusual SSL/TLS fingerprint",:entity: used :entity_training_items_combined: during baselining
corelight_insights_anomaly_details_admin_shares,admin_shares,"A host accessed an unexpected administrative network share (ADMIN$, IPC$, SYSVOL, NETLOGON).","Anomalous administrative share access can indicate lateral movement by adversaries or unauthorized access to sensitive administrative resources and network infrastructure.",":original_entity: unexpectedly accessed :item:, an administrative network share (ADMIN$, IPC$, SYSVOL, NETLOGON) in a way that deviated from its baseline",:entity: used :entity_training_items_combined: during baselining
corelight_insights_anomaly_details_exe_files,exe_files,"A host downloaded an unexpected executable file from an external or internal source.","Anomalous executable downloads can indicate malicious tool transfer, malware distribution, or unauthorized software installation that could be used for persistence or lateral movement.",":original_entity: transferred :item:, an executable file they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
