source,                                       belong,                   eventClassification
"DasAdmissionControlDisabledEvent",           "WarningEvents",          "WarningEvents;StorageEvents;ClusterEvents;HA/DRSEvents;Events"
"DasDisabledEvent",                           "WarningEvents",          "WarningEvents;StorageEvents;ClusterEvents;Events"
"DatastoreDestroyedEvent",                    "WarningEvents",          "WarningEvents;StorageEvents;VCEvents;Events"
"DatastoreRemovedOnHostEvent",                "WarningEvents",          "WarningEvents;HostEvents;StorageEvents;Events"
"DatastoreRenamedOnHostEvent",                "WarningEvents",          "WarningEvents;HostEvents;StorageEvents;VCEvents;Events"
"DrsDisabledEvent",                           "WarningEvents",          "WarningEvents;HA/DRSEvents;ClusterEvents;Events"
"DuplicateIpDetectedEvent",                   "WarningEvents",          "WarningEvents;HostEvents;HA/DRSEvents;VMEvents;Events"
"DvsHostWentOutOfSyncEvent",                  "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;Events"
"DvsPortBlockedEvent",                        "WarningEvents",          "WarningEvents;NetworkEvents;Events"
"DvsPortLeavePortgroupEvent",                 "WarningEvents",          "WarningEvents;NetworkEvents;Events"
"DvsPortLinkDownEvent",                       "WarningEvents",          "WarningEvents;NetworkEvents;Events"
"DvsPortUnblockedEvent",                      "WarningEvents",          "WarningEvents;NetworkEvents;Events"
"EnteringMaintenanceModeEvent",               "WarningEvents",          "WarningEvents;MaintenanceEvents;VMEvents;HostEvents;Events"
"EnteringStandbyModeEvent",                   "WarningEvents",          "WarningEvents;MaintenanceEvents;VMEvents;HostEvents;Events"
"FailoverLevelRestored",                      "WarningEvents",          "WarningEvents;HA/DRSEvents;ClusterEvents;Events"
"GeneralHostWarningEvent",                    "WarningEvents",          "WarningEvents;InfoEvents;HostEvents;Events"
"GeneralVmWarningEvent",                      "WarningEvents",          "WarningEvents;InfoEvents;VMEvents;Events"
"GhostDvsProxySwitchRemovedEvent",            "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;Events"
"HostAdminDisableEvent",                      "WarningEvents",          "WarningEvents;HostEvents;PermissionEvents;Events"
"HostDasDisabledEvent",                       "WarningEvents",          "WarningEvents;StorageEvents;HostEvents;HA/DRSEvents;Events"
"HostDasDisablingEvent",                      "WarningEvents",          "WarningEvents;StorageEvents;HostEvents;HA/DRSEvents;Events"
"HostInventoryFullEvent",                     "WarningEvents",          "WarningEvents;HostEvents;PermissionEvents;Events"
"HostIpInconsistentEvent",                    "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;Events"
"HostLicenseExpiredEvent",                    "WarningEvents",          "WarningEvents;PermissionEvents;HostEvents;Events"
"HostMissingNetworksEvent",                   "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;StorageEvents;HA/DRSEvents;Events"
"HostNoAvailableNetworksEvent",               "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;StorageEvents;HA/DRSEvents;Events"
"HostNoHAEnabledPortGroupsEvent",             "WarningEvents",          "WarningEvents;NetworkEvents;HA/DRSEvents;HostEvents;StorageEvents;Events"
"HostNoRedundantManagementNetworkEvent",      "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;StorageEvents;Events"
"HostNonCompliantEvent",                      "WarningEvents",          "WarningEvents;HostEvents;Events"
"HostNotInClusterEvent",                      "WarningEvents",          "WarningEvents;ClusterEvents;HostEvents;StorageEvents;Events"
"HostRemovedEvent",                           "WarningEvents",          "WarningEvents;HostEvents;VCEvents;Events"
"HostShortNameInconsistentEvent",             "WarningEvents",          "WarningEvents;HostEvents;StorageEvents;NetworkEvents;Events"
"HostUserWorldSwapNotEnabledEvent",           "WarningEvents",          "WarningEvents;HostEvents;HA/DRSEvents;PermissionEvents;Events"
"HostWwnConflictEvent",                       "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;Events"
"IncorrectHostInformationEvent",              "WarningEvents",          "WarningEvents;HostEvents;PermissionEvents;Events"
