source,                                       belong,                   eventClassification
"VmDisconnectedEvent",                        "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"VmMacAssignedEvent",                         "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"VmMacChangedEvent",                          "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"VmRemoteConsoleConnectedEvent",              "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"VmRemoteConsoleDisconnectedEvent",           "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"VmWwnAssignedEvent",                         "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"VmWwnChangedEvent",                          "NetworkEvents",          "NetworkEvents;VMEvents;Events"
"DrsEnabledEvent",                            "HA/DRSEvents",           "HA/DRSEvents;ClusterEvents;Events"
"DrsResourceConfigureSyncedEvent",            "HA/DRSEvents",           "HA/DRSEvents;HostEvents;Events"
"DrsRuleComplianceEvent",                     "HA/DRSEvents",           "HA/DRSEvents;VMEvents;Events"
"AlreadyAuthenticatedSessionEvent",           "SessionEvents",          "SessionEvents;PermissionEvents;Events"
"GlobalMessageChangedEvent",                  "SessionEvents",          "SessionEvents;Events"
"ServerStartedSessionEvent",                  "SessionEvents",          "SessionEvents;VCEvents;Events"
"SessionEvent",                               "SessionEvents",          "SessionEvents;Events"
"SessionTerminatedEvent",                     "SessionEvents",          "SessionEvents;Events"
"UserLoginSessionEvent",                      "SessionEvents",          "SessionEvents;PermissionEvents;Events"
"UserLogoutSessionEvent",                     "SessionEvents",          "SessionEvents;PermissionEvents;NetworkEvents;Events"
"AccountCreatedEvent",                        "PermissionEvents",       "PermissionEvents;HostEvents;Events"
"AccountUpdatedEvent",                        "PermissionEvents",       "PermissionEvents;HostEvents;Events"
"AdminPasswordNotChangedEvent",               "PermissionEvents",       "PermissionEvents;HostEvents;Events"
"AllVirtualMachinesLicensedEvent",            "PermissionEvents",       "PermissionEvents;VMEvents;HostEvents;Events"
"AuthorizationEvent",                         "PermissionEvents",       "PermissionEvents;Events"
"LicenseEvent",                               "PermissionEvents",       "PermissionEvents;Events"
"LicenseServerAvailableEvent",                "PermissionEvents",       "PermissionEvents;Events"
"LicenseServerUnavailableEvent",              "PermissionEvents",       "PermissionEvents;Events"
"NoAccessUserEvent",                          "PermissionEvents",       "PermissionEvents;SessionEvents;Events"
"PermissionAddedEvent",                       "PermissionEvents",       "PermissionEvents;Events"
"PermissionEvent",                            "PermissionEvents",       "PermissionEvents;Events"
"PermissionUpdatedEvent",                     "PermissionEvents",       "PermissionEvents;Events"
"RoleAddedEvent",                             "PermissionEvents",       "PermissionEvents;Events"
"RoleEvent",                                  "PermissionEvents",       "PermissionEvents;Events"
"RoleUpdatedEvent",                           "PermissionEvents",       "PermissionEvents;Events"
"UserAssignedToGroup",                        "PermissionEvents",       "PermissionEvents;HostEvents;Events"
"UserPasswordChanged",                        "PermissionEvents",       "PermissionEvents;HostEvents;Events"
"UserUpgradeEvent",                           "PermissionEvents",       "PermissionEvents;InfoEvents;Events"
"VimAccountPasswordChangedEvent",             "PermissionEvents",       "PermissionEvents;HostEvents;VCEvents;Events"
"HealthStatusChangedEvent",                   "VCEvents",               "VCEvents;Events"
"VcAgentUpgradedEvent",                       "VCEvents",               "VCEvents;HostEvents;Events"
"VmDateRolledBackEvent",                      "VCEvents",               "VCEvents;VMEvents;MaintenanceEvents;Events"
"VmRequirementsExceedCurrentEVCModeEvent",    "VCEvents",               "VCEvents;VMEvents;MaintenanceEvents;ClusterEvents;HostEvents;Events"
"CustomizationEvent",                         "VMEvents",               "VMEvents;Events"
"CustomizationStartedEvent",                  "VMEvents",               "VMEvents;Events"
"CustomizationSucceeded",                     "VMEvents",               "VMEvents;Events"
"DrsVmMigratedEvent",                         "VMEvents",               "VMEvents;HA/DRSEvents;Events"
"NotEnoughResourcesToStartVmEvent",           "VMEvents",               "VMEvents;WarningEvents;HA/DRSEvents;Events"
"VmAcquiredMksTicketEvent",                   "VMEvents",               "VMEvents;PermissionEvents;Events"
"VmAcquiredTicketEvent",                      "VMEvents",               "VMEvents;PermissionEvents;Events"
"VmBeingClonedEvent",                         "VMEvents",               "VMEvents;Events"
"VmBeingClonedNoFolderEvent",                 "VMEvents",               "VMEvents;Events"
"VmBeingCreatedEvent",                        "VMEvents",               "VMEvents;Events"
"VmBeingDeployedEvent",                       "VMEvents",               "VMEvents;TemplateEvents;Events"
"VmBeingHotMigratedEvent",                    "VMEvents",               "VMEvents;Events"
"VmBeingMigratedEvent",                       "VMEvents",               "VMEvents;Events"
"VmBeingRelocatedEvent",                      "VMEvents",               "VMEvents;Events"
"VmCloneEvent",                               "VMEvents",               "VMEvents;Events"
"VmClonedEvent",                              "VMEvents",               "VMEvents;Events"
"VmCreatedEvent",                             "VMEvents",               "VMEvents;Events"
"VmDeployedEvent",                            "VMEvents",               "VMEvents;Events"
"VmDiscoveredEvent",                          "VMEvents",               "VMEvents;Events"
"VmEmigratingEvent",                          "VMEvents",               "VMEvents;Events"
"VmEndRecordingEvent",                        "VMEvents",               "VMEvents;SessionEvents;Events"
"VmEndReplayingEvent",                        "VMEvents",               "VMEvents;SessionEvents;Events"
"VmEvent",                                    "VMEvents",               "VMEvents;Events"
"VmHealthMonitoringStateChangedEvent",        "VMEvents",               "VMEvents;ClusterEvents;HostEvents;Events"
"VmInstanceUuidAssignedEvent",                "VMEvents",               "VMEvents;Events"
"VmInstanceUuidChangedEvent",                 "VMEvents",               "VMEvents;Events"
"VmMessageEvent",                             "VMEvents",               "VMEvents;Events"
"VmMigratedEvent",                            "VMEvents",               "VMEvents;Events"
"VmOrphanedEvent",                            "VMEvents",               "VMEvents;HostEvents;Events"
"VmReconfiguredEvent",                        "VMEvents",               "VMEvents;Events"
"VmRegisteredEvent",                          "VMEvents",               "VMEvents;Events"
"VmRelayoutSuccessfulEvent",                  "VMEvents",               "VMEvents;Events"
"VmRelayoutUpToDateEvent",                    "VMEvents",               "VMEvents;Events"
"VmReloadFromPathEvent",                      "VMEvents",               "VMEvents;Events"
"VmRelocateSpecEvent",                        "VMEvents",               "VMEvents;Events"
"VmRelocatedEvent",                           "VMEvents",               "VMEvents;Events"
"VmRenamedEvent",                             "VMEvents",               "VMEvents;Events"
"VmResourcePoolMovedEvent",                   "VMEvents",               "VMEvents;ResourcePoolEvents;Events"
"VmResourceReallocatedEvent",                 "VMEvents",               "VMEvents;Events"
"VmRestartedOnAlternateHostEvent",            "VMEvents",               "VMEvents;HostEvents;MaintenanceEvents;VCEvents;Events"
"VmResumingEvent",                            "VMEvents",               "VMEvents;Events"
"VmSecondaryAddedEvent",                      "VMEvents",               "VMEvents;Events"
"VmSecondaryEnabledEvent",                    "VMEvents",               "VMEvents;Events"
"VmSecondaryStartedEvent",                    "VMEvents",               "VMEvents;Events"
"VmStartRecordingEvent",                      "VMEvents",               "VMEvents;SessionEvents;Events"
"VmStartReplayingEvent",                      "VMEvents",               "VMEvents;SessionEvents;Events"
"VmStartingEvent",                            "VMEvents",               "VMEvents;Events"
"VmStartingSecondaryEvent",                   "VMEvents",               "VMEvents;HA/DRSEvents;Events"
"VmStoppingEvent",                            "VMEvents",               "VMEvents;Events"
"VmSuspendedEvent",                           "VMEvents",               "VMEvents;Events"
"VmSuspendingEvent",                          "VMEvents",               "VMEvents;Events"
"VmTimedoutStartingSecondaryEvent",           "VMEvents",               "VMEvents;AlarmEvents;Events"
"VmUnsupportedStartingEvent",                 "VMEvents",               "VMEvents;MaintenanceEvents;Events"
"VmUpgradeCompleteEvent",                     "VMEvents",               "VMEvents;Events"
"VmUpgradingEvent",                           "VMEvents",               "VMEvents;Events"
"VmUuidAssignedEvent",                        "VMEvents",               "VMEvents;Events"
"VmUuidChangedEvent",                         "VMEvents",               "VMEvents;Events"
"TemplateBeingUpgradedEvent",                 "TemplateEvents",         "TemplateEvents;Events"
"TemplateUpgradeEvent",                       "TemplateEvents",         "TemplateEvents;Events"
"TemplateUpgradedEvent",                      "TemplateEvents",         "TemplateEvents;Events"
"DatacenterCreatedEvent",                     "DatacenterEvents",       "DatacenterEvents;Events"
"DatacenterEvent",                            "DatacenterEvents",       "DatacenterEvents;Events"
"DatacenterRenamedEvent",                     "DatacenterEvents",       "DatacenterEvents;Events"
"ClusterComplianceCheckedEvent",              "ClusterEvents",          "ClusterEvents;Events"
"ClusterCreatedEvent",                        "ClusterEvents",          "ClusterEvents;Events"
"ClusterDestroyedEvent",                      "ClusterEvents",          "ClusterEvents;Events"
"ClusterEvent",                               "ClusterEvents",          "ClusterEvents;Events"
"ClusterOvercommittedEvent",                  "ClusterEvents",          "ClusterEvents;HostEvents;Events"
"ClusterReconfiguredEvent",                   "ClusterEvents",          "ClusterEvents;Events"
"ClusterStatusChangedEvent",                  "ClusterEvents",          "ClusterEvents;Events"
"DasClusterIsolatedEvent",                    "ClusterEvents",          "ClusterEvents;NetworkEvents;StorageEvents;HA/DRSEvents;HostEvents;Events"
"HostAddedEvent",                             "HostEvents",             "HostEvents;VCEvents;Events"
"HostAdminEnableEvent",                       "HostEvents",             "HostEvents;PermissionEvents;Events"
"HostComplianceCheckedEvent",                 "HostEvents",             "HostEvents;Events"
"HostCompliantEvent",                         "HostEvents",             "HostEvents;Events"
"HostConfigAppliedEvent",                     "HostEvents",             "HostEvents;Events"
"HostEvent",                                  "HostEvents",             "HostEvents;Events"
"HostInAuditModeEvent",                       "HostEvents",             "HostEvents;MaintenanceEvents;Events"
"HostLocalPortCreatedEvent",                  "HostEvents",             "HostEvents;NetworkEvents;Events"
"HostMonitoringStateChangedEvent",            "HostEvents",             "HostEvents;ClusterEvents;Events"
"HostOvercommittedEvent",                     "HostEvents",             "HostEvents;ClusterEvents;Events"
"HostPrimaryAgentNotShortNameEvent",          "HostEvents",             "HostEvents;StorageEvents;NetworkEvents;Events"
"HostProfileAppliedEvent",                    "HostEvents",             "HostEvents;InfoEvents;Events"
"HostStatusChangedEvent",                     "HostEvents",             "HostEvents;ClusterEvents;Events"
"UpdatedAgentBeingRestartedEvent",            "HostEvents",             "HostEvents;Events"
"ResourcePoolCreatedEvent",                   "ResourcePoolEvents",     "ResourcePoolEvents;Events"
"ResourcePoolDestroyedEvent",                 "ResourcePoolEvents",     "ResourcePoolEvents;Events"
"ResourcePoolEvent",                          "ResourcePoolEvents",     "ResourcePoolEvents;Events"
"ResourcePoolMovedEvent",                     "ResourcePoolEvents",     "ResourcePoolEvents;Events"
"ResourcePoolReconfiguredEvent",              "ResourcePoolEvents",     "ResourcePoolEvents;Events"
"ScheduledTaskCompletedEvent",                "TaskEvents",             "TaskEvents;Events"
"ScheduledTaskCreatedEvent",                  "TaskEvents",             "TaskEvents;Events"
"ScheduledTaskEmailCompletedEvent",           "TaskEvents",             "TaskEvents;Events"
"ScheduledTaskEvent",                         "TaskEvents",             "TaskEvents;Events"
"ScheduledTaskReconfiguredEvent",             "TaskEvents",             "TaskEvents;Events"
"ScheduledTaskStartedEvent",                  "TaskEvents",             "TaskEvents;Events"
"TaskEvent",                                  "TaskEvents",             "TaskEvents;Events"
"CustomFieldDefAddedEvent",                   "InfoEvents",             "InfoEvents;Events"
"CustomFieldDefEvent",                        "InfoEvents",             "InfoEvents;Events"
"CustomFieldDefRenamedEvent",                 "InfoEvents",             "InfoEvents;Events"
"CustomFieldEvent",                           "InfoEvents",             "InfoEvents;Events"
"CustomFieldValueChangedEvent",               "InfoEvents",             "InfoEvents;Events"
"ExtendedEvent",                              "InfoEvents",             "InfoEvents;Events"
"GeneralEvent",                               "InfoEvents",             "InfoEvents;Events"
"GeneralHostInfoEvent",                       "InfoEvents",             "InfoEvents;HostEvents;Events"
"GeneralUserEvent",                           "InfoEvents",             "InfoEvents;PermissionEvents;Events"
"GeneralVmInfoEvent",                         "InfoEvents",             "InfoEvents;VMEvents;Events"
"InfoUpgradeEvent",                           "InfoEvents",             "InfoEvents;Events"
"ProfileAssociatedEvent",                     "InfoEvents",             "InfoEvents;Events"
"ProfileChangedEvent",                        "InfoEvents",             "InfoEvents;Events"
"ProfileCreatedEvent",                        "InfoEvents",             "InfoEvents;Events"
"ProfileDissociatedEvent",                    "InfoEvents",             "InfoEvents;Events"
"ProfileEvent",                               "InfoEvents",             "InfoEvents;Events"
"ProfileReferenceHostChangedEvent",           "InfoEvents",             "InfoEvents;HostEvents;Events"
"VMwareEvent",                                "Events",                 "Events"
"ExEvent",                                    "Events",                 "Events"
"UpgradeEvent",                               "Events",                 "Events"
