command,entity,field,metric,perftype,nodename,metricperf,unit
average,hostsystem,"p_average_cpu_coreUtilization_percent","average_cpu_coreUtilization_percent",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.coreUtilization","percent"
average,hostsystem,"p_average_cpu_demand_megaHertz","average_cpu_demand_megaHertz",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.demand","megaHertz"
average,hostsystem,"p_average_cpu_latency_percent","average_cpu_latency_percent",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.latency","percent"
average,hostsystem,"p_average_cpu_reservedCapacity_megaHertz","average_cpu_reservedCapacity_megaHertz",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.reservedCapacity","megaHertz"
average,hostsystem,"p_average_cpu_totalCapacity_megaHertz","average_cpu_totalCapacity_megaHertz",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.totalCapacity","megaHertz"
average,hostsystem,"p_average_cpu_usage_percent","average_cpu_usage_percent",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.usage","percent"
average,hostsystem,"p_average_cpu_usagemhz_megaHertz","average_cpu_usagemhz_megaHertz",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.usagemhz","megaHertz"
average,hostsystem,"p_average_cpu_utilization_percent","average_cpu_utilization_percent",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.utilization","percent"
summation,hostsystem,"p_summation_cpu_costop_millisecond","summation_cpu_costop_millisecond",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.costop","millisecond"
summation,hostsystem,"p_summation_cpu_idle_millisecond","summation_cpu_idle_millisecond",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.idle","millisecond"
summation,hostsystem,"p_summation_cpu_ready_millisecond","summation_cpu_ready_millisecond",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.ready","millisecond"
summation,hostsystem,"p_summation_cpu_run_millisecond","summation_cpu_run_millisecond",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.run","millisecond"
summation,hostsystem,"p_summation_cpu_swapwait_millisecond","summation_cpu_swapwait_millisecond",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.swapwait","millisecond"
summation,hostsystem,"p_summation_cpu_used_millisecond","summation_cpu_used_millisecond",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.used","millisecond"
summation,hostsystem,"p_summation_cpu_wait_millisecond","summation_cpu_wait_millisecond",cpu,"vmperformance.cpu.HostSystemCPU","vsphere.esxihost.cpu.wait","millisecond"
average,hostsystem,"p_average_mem_active_kiloBytes","average_mem_active_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.active","kiloBytes"
average,hostsystem,"p_average_mem_activewrite_kiloBytes","average_mem_activewrite_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.activewrite","kiloBytes"
average,hostsystem,"p_average_mem_compressed_kiloBytes","average_mem_compressed_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.compressed","kiloBytes"
average,hostsystem,"p_average_mem_compressionRate_kiloBytesPerSecond","average_mem_compressionRate_kiloBytesPerSecond",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.compressionRate","kiloBytesPerSecond"
average,hostsystem,"p_average_mem_consumed_kiloBytes","average_mem_consumed_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.consumed","kiloBytes"
average,hostsystem,"p_average_mem_decompressionRate_kiloBytesPerSecond","average_mem_decompressionRate_kiloBytesPerSecond",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.decompressionRate","kiloBytesPerSecond"
average,hostsystem,"p_average_mem_granted_kiloBytes","average_mem_granted_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.granted","kiloBytes"
average,hostsystem,"p_average_mem_heap_kiloBytes","average_mem_heap_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.heap","kiloBytes"
average,hostsystem,"p_average_mem_heapfree_kiloBytes","average_mem_heapfree_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.heapfree","kiloBytes"
average,hostsystem,"p_average_mem_latency_percent","average_mem_latency_percent",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.latency","percent"
average,hostsystem,"p_average_mem_llSwapIn_kiloBytes","average_mem_llSwapIn_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.llSwapIn","kiloBytes"
average,hostsystem,"p_average_mem_llSwapInRate_kiloBytesPerSecond","average_mem_llSwapInRate_kiloBytesPerSecond",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.llSwapInRate","kiloBytesPerSecond"
average,hostsystem,"p_average_mem_llSwapOut_kiloBytes","average_mem_llSwapOut_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.llSwapOut","kiloBytes"
average,hostsystem,"p_average_mem_llSwapOutRate_kiloBytesPerSecond","average_mem_llSwapOutRate_kiloBytesPerSecond",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.llSwapOutRate","kiloBytesPerSecond"
average,hostsystem,"p_average_mem_llSwapUsed_kiloBytes","average_mem_llSwapUsed_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.llSwapUsed","kiloBytes"
average,hostsystem,"p_average_mem_lowfreethreshold_kiloBytes","average_mem_lowfreethreshold_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.lowfreethreshold","kiloBytes"
average,hostsystem,"p_average_mem_overhead_kiloBytes","average_mem_overhead_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.overhead","kiloBytes"
average,hostsystem,"p_average_mem_reservedCapacity_megaBytes","average_mem_reservedCapacity_megaBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.reservedCapacity","megaBytes"
average,hostsystem,"p_average_mem_shared_kiloBytes","average_mem_shared_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.shared","kiloBytes"
average,hostsystem,"p_average_mem_sharedcommon_kiloBytes","average_mem_sharedcommon_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.sharedcommon","kiloBytes"
average,hostsystem,"p_average_mem_swapin_kiloBytes","average_mem_swapin_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.swapin","kiloBytes"
average,hostsystem,"p_average_mem_swapinRate_kiloBytesPerSecond","average_mem_swapinRate_kiloBytesPerSecond",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.swapinRate","kiloBytesPerSecond"
average,hostsystem,"p_average_mem_swapout_kiloBytes","average_mem_swapout_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.swapout","kiloBytes"
average,hostsystem,"p_average_mem_swapoutRate_kiloBytesPerSecond","average_mem_swapoutRate_kiloBytesPerSecond",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.swapoutRate","kiloBytesPerSecond"
average,hostsystem,"p_average_mem_swapused_kiloBytes","average_mem_swapused_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.swapused","kiloBytes"
average,hostsystem,"p_average_mem_sysUsage_kiloBytes","average_mem_sysUsage_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.sysUsage","kiloBytes"
average,hostsystem,"p_average_mem_totalCapacity_megaBytes","average_mem_totalCapacity_megaBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.totalCapacity","megaBytes"
average,hostsystem,"p_average_mem_unreserved_kiloBytes","average_mem_unreserved_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.unreserved","kiloBytes"
average,hostsystem,"p_average_mem_usage_percent","average_mem_usage_percent",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.usage","percent"
average,hostsystem,"p_average_mem_vmmemctl_kiloBytes","average_mem_vmmemctl_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.vmmemctl","kiloBytes"
average,hostsystem,"p_average_mem_zero_kiloBytes","average_mem_zero_kiloBytes",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.zero","kiloBytes"
latest,hostsystem,"p_latest_mem_state_number","latest_mem_state_number",mem,"vmperformance.memory.HostSystemMemory","vsphere.esxihost.mem.state","number"
average,hostsystem,"p_average_disk_read_kiloBytesPerSecond","average_disk_read_kiloBytesPerSecond",disk,"vmperformance.disk.HostSystemDisk","vsphere.esxihost.disk.read","kiloBytesPerSecond"
average,hostsystem,"p_average_disk_usage_kiloBytesPerSecond","average_disk_usage_kiloBytesPerSecond",disk,"vmperformance.disk.HostSystemDisk","vsphere.esxihost.disk.usage","kiloBytesPerSecond"
average,hostsystem,"p_average_disk_write_kiloBytesPerSecond","average_disk_write_kiloBytesPerSecond",disk,"vmperformance.disk.HostSystemDisk","vsphere.esxihost.disk.write","kiloBytesPerSecond"
