options,order,question,type,description
,1,"## Data Sources & Dependencies\nReview what this search consumes and confirm every dependency exists in this environment.\n\n- Indexes, data models, macros and lookups are auto-extracted from the SPL in the table above\n- Flag anything that is missing or pointing at the wrong source",markdown,
"Indexes,Data model / tstats,Macros,Lookups,External / custom command",2,Which data dependency types does this search rely on?,checkbox,"Tick every dependency type shown in the table above. Saved as a comma-separated list."
"yes,no,unknown",3,Are all referenced indexes valid and populated with current data?,radio,"Confirm each index in the table above exists and is receiving events."
,4,How many distinct indexes does this search read from?,number,"Enter the count of indexes shown above (0 if it uses only a data model or a generating command)."
"yes,no,partial,n/a",5,Are all macros and lookups present in this environment?,radio,"A missing macro or lookup will cause the search to error at runtime."
,6,Data sources review notes,freetext,
