Name,Threshold
"ZFMv3 - 01 - Configuration Changed",0
"ZFMv3 - 03 - Max Session Per Host Exceeded",50
"ZFMv3 - 02 - Anomalous Network Activity Alert",1
"ZFMv3 - 04 - Possible ARP Spoofing Alert",1
"ZFMv3 - 05 - Facebook Wi-Fi Daemon Alert",1
"ZFMv3 - 06 - Diagnostic Info Collection Alert",1
"ZFMv3 - 08 - Scan Detection",1
"ZFMv3 - 09 - Zyxel VPN Breach Detected Alert",1
"ZFMv3 - 10 - Zyxel Firewall High CPU Utilization Alert",40
"ZFMv3 - 11 - Zyxel Firewall Excessive Download Usage Alert (>30GB)",30
"ZFMv3 - 12 - Zyxel Firewall Elevated Memory Consumption Alert",10
"ZFMv3 - 13 - Zyxel Firewall Excessive Upload Data Alert",5
"ZFMv3 - 15 - Zyxel User Data Overconsumption (MB) Alert",250
"ZFMv3 - 16 - Zyxel VPN User Connectivity Lapse Alert",5
"ZFMv3 - 18 - Potential Denial-of-Service or Remote Code Execution Threat",3
"ZFMv3 - 07 - Authentication Failure Alert",1
