category,event,dataset_name,type
CONFIGURATION,EDIT_PROFILE,change,
CONFIGURATION,CREATE_OBJECT_GROUP,change,
CONFIGURATION,CREATE_PROFILE,change,
CONFIGURATION,EDGE_NEW_CONFIGURATION_ASSIGNED,change,
CONFIGURATION,FIREWALL_ENABLE,change,
EDGE,EDGE_DOWN,alert,alert
EDGE,EDGE_NEW_DEVICE,change,
EDGE,EDGE_UP,alert,alert
EDGE,MGD_CONF_APPLIED,change,
EDGE,MGD_DEVICE_CONFIG_WARNING,alert,alert
EDGE,MGD_SET_CERT_SUCCESS,change,
EDGE,REMOTE_ACTION,alert,alert
EDGE,DIAGNOSTIC_REQUEST,alert,alert
EDGE,EDGE_NYANSA_AMOND_SERVICE_FAILED,alert,warning
EDGE,EDGE_NYANSA_SYSLOG_SERVICE_FAILED,alert,warning
EDGE,MGD_EXITING,change,
EDGE,MGD_START,change,
EDGE,MGD_SWUP_INSTALLED,alert,alert
EDGE,MGD_SWUP_REBOOT,alert,event
EDGE,MGD_SWUP_STANDBY_UPDATED,change,
EDGE,MGD_SWUP_STANDBY_UPDATE_START,change,
EDGE,SET_EDGE_SOFTWARE,change,
EDGE,VCO_IDENTIFIED_HA_FAILOVER,alert,warning
EDGE,VCO_IDENTIFIED_HA_FAILURE,alert,warning
ENTERPRISE,CREATE_ENTERPRISE_NETWORK_SERVICE,change,
ENTERPRISE,AUTHENTICATION_MODE_UPDATED,change,
ENTERPRISE,CWS_EVENT,alert,event
ENTERPRISE,ENTERPRISE_GATEWAY_HANDOFF_UPDATED,change,
ENTERPRISE,ENTERPRISE_GATEWAY_POOL_UPDATED,change,
ENTERPRISE,SSO_CONFIG_UPDATED,change,
GATEWAY,GATEWAY_BGP_NEIGHBOR_DOWN,alert,alert
GATEWAY,GATEWAY_BGP_NEIGHBOR_UP,alert,alert
NETWORK,LINK_ALIVE,alert,alert
NETWORK,LINK_DEAD,alert,alert
SECURITY,CREATE_API_TOKEN,change,
SECURITY,DOWNLOAD_API_TOKEN,alert,event
SYSTEM,EDGE_INTERFACE_DOWN,alert,alert
SYSTEM,EDGE_INTERFACE_UP,alert,alert
SYSTEM,HA_FAILED,alert,alert
SYSTEM,HA_GOING_ACTIVE,alert,alert
SYSTEM,HA_INTF_STATE_CHANGED,alert,alert
SYSTEM,HA_READY,alert,alert
SYSTEM,EDGE_SSH_LOGIN,authentication,
SYSTEM,BIOS_PHY_RESET_CMOS_SET,alert,event
SYSTEM,EDGE_L2_LOOP_DETECTED,alert,alarm
SYSTEM,EDGE_SERVICES_STARTED,change,
SYSTEM,ENTERPRISE_ANALYTICS_SETTINGS_UPDATED,change,
SYSTEM,ENTERPRISE_SERVER_LICENSE_CHANGED,change,
USER,CREATE_USER,change,
USER,DELETE_USER,change,
USER,USER_LOGIN,authentication,
USER,BROWSER_ENTERPRISE_LOGIN,authentication,
USER,PASSWORD_RESET,alert,event
USER,ROLE_RESET,alert,event
USER,USER_LOGIN_FAILURE,authentication,
USER,USER_LOGIN_SSO,authentication,
