"_raw",host,source,sourcetype,"_indextime","_serial","_sourcetype","_time"
"Sep  3 21:52:50 a.a.a.d : 2014 Sep  4 10:16:16 UTC: %DAEMON-3-SYSTEM_MSG: error: PAM: Authentication failure for root from e.e.e.e - sshd[16950]","a.a.a.d","udp:514","syslog",1409795570,80,"syslog",1409795570
"Sep  3 21:52:54 a.a.a.d : 2014 Sep  4 10:16:20 UTC: %AUTHPRIV-3-SYSTEM_MSG: pam_aaa:Authentication failed for user root from e.e.e.e - sshd[16956]","a.a.a.d","udp:514","syslog",1409795574,79,"syslog",1409795574
"Sep  3 21:52:54 a.a.a.d : 2014 Sep  4 10:16:20 UTC: %DAEMON-3-SYSTEM_MSG: error: PAM: Authentication failure for root from e.e.e.e - sshd[16950]","a.a.a.d","udp:514","syslog",1409795574,78,"syslog",1409795574
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7473:root:","a.a.a.a","udp:514","syslog",1409795651,77,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7473:root:","a.a.a.a","udp:514","syslog",1409795651,76,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7478:root:","a.a.a.a","udp:514","syslog",1409795651,75,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7478:root:","a.a.a.a","udp:514","syslog",1409795651,74,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7484:root:","a.a.a.a","udp:514","syslog",1409795651,73,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7484:root:","a.a.a.a","udp:514","syslog",1409795651,72,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7490:root:","a.a.a.a","udp:514","syslog",1409795651,71,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7490:root:","a.a.a.a","udp:514","syslog",1409795651,70,"syslog",1409795651
"Sep  3 21:54:11 a.a.a.a : 2014 Sep  4 18:28:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7496:root:","a.a.a.a","udp:514","syslog",1409795651,69,"syslog",1409795651
"Sep  3 21:54:14 a.a.a.a : 2014 Sep  4 18:28:39 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7496:root:","a.a.a.a","udp:514","syslog",1409795654,68,"syslog",1409795654
"Sep  3 21:54:16 a.a.a.a : 2014 Sep  4 18:28:41 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7502:root:","a.a.a.a","udp:514","syslog",1409795656,67,"syslog",1409795656
"Sep  3 21:54:16 a.a.a.a : 2014 Sep  4 18:28:41 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7502:root:","a.a.a.a","udp:514","syslog",1409795656,66,"syslog",1409795656
