cave_search,label,about,icon,smith
"cave_dt_kvstore_prune","Splunk Collection Retention","Remove old and uneeded entries from various collections","cavedetective","setsolutions"
"opendns_quick_example","OpenDNS Quick Example","Enrich test data with information from OpenDNS using the quick method","cavedetective","setsolutions"
"opendns_smart_example","OpenDNS Smart Example","Enrich test data with information from OpenDNS using the smart method","cavedetective","setsolutions"
"opendns_extended_example","OpenDNS Extended Example","Enrich test data with information from OpenDNS using the extended method","cavedetective","setsolutions"
"opendns_whois_example","OpenDNS Whois Example","Enrich test data with information from OpenDNS using the whois method","cavedetective","setsolutions"
"virustotal_filereport_example","VirusTotal File Report Example","Enrich test data with information from VirusTotal using the file report method","cavedetective","setsolutions"
"virustotal_filebehaviour_example","VirusTotal File Behaviour Example","Enrich test data with information from VirusTotal using the file behaviour method","cavedetective","setsolutions"
"virustotal_urlreport_example","VirusTotal URL Report Example","Enrich test data with information from VirusTotal using the URL report method","cavedetective","setsolutions"
"virustotal_domainreport_example","VirusTotal Domain Report Example","Enrich test data with information from VirusTotal using the domain report method","cavedetective","setsolutions"
"virustotal_ipreport_example","VirusTotal IP Report Example","Enrich test data with information from VirusTotal using the IP report method","cavedetective","setsolutions"
