process,description
splunkd.exe,Example process to exclude
splunk-winprintmon.exe,Example process to exclude
splunk-powershell.exe,Example process to exclude
splunk-netmon.exe,Example process to exclude
splunk-winhostinfo.exe,Example process to exclude
splunk-MonitorNoHandle.exe,Example process to exclude
splunk-admon.exe,Example process to exclude
splunk-regmon.exe,Example process to exclude
splunk-winevtlog.exe,Example process to exclude
splunkd,Example process to exclude
